('10:37:39.189360', '')
('10:37:39.447850', '')
('10:37:39.478736', '')
('10:37:39.673838', '')
('10:37:39.704810', '')
('10:37:39.735742', '')
('10:37:39.766653', '')
('10:37:39.961487', '')
('10:37:40.094064', '')
('10:37:40.125978', '')
('10:37:40.521380', '')
('10:37:40.653084', '')
('10:37:40.685088', '')
('10:37:40.819951', '')
('10:37:40.911065', '')
('10:37:41.107088', '')
('10:37:41.138055', '')
('10:37:41.169050', '')
('10:37:41.202048', '')
('10:37:41.517827', '')
('10:37:41.548794', '')
('10:37:42.193155', '')
('10:37:42.611292', '')
('10:37:42.641376', '')
('10:37:42.859085', '')
('10:37:42.890003', '')
('10:37:42.920921', '')
('10:37:43.115366', '')
('10:37:43.471418', '')
('10:37:43.502336', '')
('10:37:43.636971', '')
('10:37:43.664894', '')
('10:37:44.164039', '')
('10:37:44.194996', '')
('10:37:44.225937', '')
('10:37:44.256859', '')
('10:37:44.287861', '')
('10:37:44.318934', '')
('10:37:44.575182', '')
('10:37:44.605600', '')
('10:37:44.636612', '')
('10:37:44.852741', '')
('10:37:45.110477', '')
('10:37:45.608414', '')
('10:37:45.763445', '')
('10:37:45.956190', '')
('10:37:46.252778', '')
('10:37:46.384483', '')
('10:37:46.618366', '')
('10:37:46.649401', '')
('10:37:46.945394', '')
('10:37:47.178537', '')
('10:37:47.271689', '')
('10:37:47.505506', '')
('10:37:47.739829', '')
('10:37:47.871164', '')
('10:37:48.129241', '')
('10:37:48.158163', '')
('10:37:48.189083', '')
('10:37:48.323191', '')
('10:37:48.678822', '')
('10:37:48.832410', '')
('10:37:49.066383', '')
('10:37:49.097897', '')
('10:37:49.128024', '')
('10:37:49.221974', '')
('10:37:49.251990', '')
('10:37:49.283959', '')
('10:37:49.416900', '')
('10:37:49.447015', '')
('10:37:49.642285', '')
('10:37:49.673314', '')
('10:37:49.704324', '')
('10:37:49.735357', '')
('10:37:49.828246', '')
('10:37:49.859217', '')
('10:37:49.890174', '')
('10:37:50.024204', '')
('10:37:50.156211', '')
('10:37:50.411384', '')
('10:37:50.729308', '')
('10:37:50.862361', '')
('10:37:50.892280', '')
('10:37:50.924194', '')
('10:37:50.954115', '')
('10:37:50.986149', '')
('10:37:51.016146', '')
('10:37:51.211236', '')
('10:37:51.344376', '')
('10:37:51.576895', '')
('10:37:51.670531', '')
('10:37:51.702435', '')
('10:37:51.733352', '')
('10:37:51.764336', '')
('10:37:51.795342', '')
('10:37:51.928379', '')
