(18:12:8.05568300, '2-8**************')
(18:12:9.95140600, '2-30*************')
(18:12:12.12264600, '2-46*************')
(18:12:12.72422800, '2-57*************')
(18:12:13.40400400, '2-68*************')
(18:12:14.46022100, '2-79*************')
(18:12:17.19826800, '2-97*************')
(18:12:17.19826800, '2-98*************')
(18:12:18.18637200, '2-114************')
(18:12:18.67193500, '2-117************')
(18:12:21.14476300, '2-143************')
(18:12:21.42595800, '2-144************')
(18:12:21.58210700, '2-148************')
(18:12:21.58210700, '2-149************')
(18:12:23.00739500, '2-159************')
(18:12:23.53862000, '2-166************')
(18:12:26.06748200, '2-190************')
(18:12:26.06748200, '2-189************')
(18:12:26.78616100, '2-199************')
(18:12:28.87915800, '2-215************')
(18:12:28.87915800, '2-214************')
(18:12:29.61356400, '2-226************')
(18:12:30.11487700, '2-229************')
(18:12:30.98992200, '2-232************')
(18:12:31.88030300, '2-239************')
(18:12:32.34900200, '2-243************')
(18:12:32.44270600, '2-245************')
(18:12:32.44270600, '2-246************')
(18:12:32.69265800, '2-248************')
(18:12:33.06846400, '2-252************')
(18:12:34.08414600, '2-269************')
(18:12:35.63064200, '2-279************')
(18:12:35.78685700, '2-282************')
(18:12:36.00547800, '2-283************')
(18:12:37.28780900, '2-293************')
(18:12:41.92944500, '2-328************')
(18:12:41.99197800, '2-330************')
(18:12:41.99197800, '2-331************')
(18:12:44.47675500, '2-350************')
(18:12:44.72669800, '2-354************')
(18:12:46.05663500, '2-370************')
(18:12:46.97855300, '2-383************')
(18:12:49.19854500, '2-404************')
(18:12:49.55780300, '2-410************')
(18:12:49.60474600, '2-411************')
(18:12:50.01062700, '2-413************')
(18:12:50.10463700, '2-415************')
(18:12:51.01062600, '2-423************')
(18:12:51.97892800, '2-434************')
(18:12:52.68218500, '2-440************')
(18:12:54.31429400, '2-449************')
(18:12:55.14196600, '2-457************')
(18:12:59.28384400, '2-488************')
(18:13:2.81556000, '2-529************')
(18:13:2.81556000, '2-530************')
(18:13:4.59649500, '2-548************')
(18:13:4.90885000, '2-554************')
(18:13:5.87746100, '2-559************')
(18:13:6.12741300, '2-563************')
(18:13:6.18973900, '2-564************')
(18:13:6.28333200, '2-565************')
(18:13:6.34595000, '2-566************')
(18:13:6.43611800, '2-567************')
(18:13:6.49880900, '2-569************')
(18:13:6.95746000, '2-572************')
(18:13:7.28569400, '2-578************')
(18:13:7.66070500, '2-585************')
(18:13:8.25433200, '2-595************')
(18:13:8.67584100, '2-601************')
(18:13:10.11299100, '2-618************')
(18:13:10.17547600, '2-621************')
(18:13:10.22234000, '2-622************')
(18:13:10.23796200, '2-623************')
(18:13:10.28483100, '2-624************')
(18:13:10.30044800, '2-625************')
(18:13:10.72237700, '2-630************')
(18:13:10.72237700, '2-631************')
(18:13:10.90968400, '2-634************')
(18:13:10.90968400, '2-635************')
(18:13:10.97217000, '2-636************')
(18:13:11.31613500, '2-641************')
(18:13:11.31613500, '2-642************')
(18:13:11.89629400, '2-647************')
(18:13:12.83356900, '2-655************')
(18:13:18.15647500, '2-709************')
(18:13:19.59975200, '2-715************')
(18:13:20.09965500, '2-723************')
(18:13:22.81315000, '2-753************')
(18:13:23.28204600, '2-757************')
(18:13:26.76727500, '2-784************')
(18:13:26.76727500, '2-785************')
(18:13:28.99164300, '2-804************')
(18:13:33.05075200, '2-844************')
(18:13:33.80478700, '2-851************')
(18:13:35.14852500, '2-863************')
(18:13:35.49211000, '2-869************')
(18:13:36.29356900, '2-876************')
(18:13:36.29356900, '2-877************')
(18:13:37.15293500, '2-884************')
(18:13:37.21547800, '2-886************')
(18:13:37.21547800, '2-885************')
(18:13:38.01218100, '2-890************')
(18:13:38.57427900, '2-896************')
(18:13:38.73057600, '2-899************')
(18:13:38.73057600, '2-898************')
(18:13:40.60704900, '2-919************')
(18:13:41.23162800, '2-933************')
(18:13:41.99737100, '2-937************')
(18:13:42.05984300, '2-938************')
(18:13:42.05984300, '2-939************')
(18:13:42.65320200, '2-954************')
(18:13:43.79356500, '2-961************')
(18:13:44.99847500, '2-973************')
(18:13:45.74833500, '2-974************')
(18:13:46.93706200, '2-987************')
(18:13:49.84274000, '2-1011***********')
(18:13:49.84274000, '2-1012***********')
(18:13:51.18257000, '2-1027***********')
(18:13:52.33913300, '2-1042***********')
(18:13:55.14766500, '2-1073***********')
(18:13:55.57913900, '2-1079***********')
(18:13:55.57913900, '2-1080***********')
(18:13:55.69553000, '2-1083***********')
(18:13:55.69553000, '2-1084***********')
(18:13:55.94912100, '2-1092***********')
(18:13:56.18064600, '2-1093***********')
(18:13:56.71304200, '2-1097***********')
(18:13:56.83520300, '2-1099***********')
(18:13:56.83520300, '2-1100***********')
(18:13:57.21414700, '2-1102***********')
(18:13:57.21414700, '2-1103***********')
(18:13:57.26752100, '2-1104***********')
(18:13:57.26752100, '2-1105***********')
(18:13:57.63747100, '2-1110***********')
(18:13:57.63747100, '2-1111***********')
(18:13:59.24153800, '2-1122***********')
(18:13:59.24153800, '2-1123***********')
(18:13:59.40420700, '2-1125***********')
(18:13:59.40420700, '2-1126***********')
(18:14:3.35332800, '2-1149***********')
(18:14:4.20082400, '2-1157***********')
(18:14:6.73143000, '2-1174***********')
(18:14:7.46567400, '2-1177***********')
(18:14:8.23106200, '2-1184***********')
(18:14:8.23106200, '2-1185***********')
(18:14:9.99751500, '2-1211***********')
(18:14:15.54092700, '2-1255***********')
(18:14:16.15848400, '2-1260***********')
(18:14:18.04413000, '2-1279***********')
(18:14:18.04517500, '2-1278***********')
(18:14:18.19945700, '2-1283***********')
(18:14:18.20245600, '2-1284***********')
(18:14:18.26228900, '2-1285***********')
(18:14:18.26431300, '2-1286***********')
(18:14:18.95433000, '2-1291***********')
(18:14:18.95732800, '2-1292***********')
(18:14:19.37256000, '2-1294***********')
(18:14:19.93629800, '2-1306***********')
(18:14:19.99906600, '2-1307***********')
(18:14:21.78442000, '2-1316***********')
(18:14:21.78442000, '2-1317***********')
(18:14:24.49593000, '2-1345***********')
(18:14:25.20335000, '2-1352***********')
(18:14:26.63537200, '2-1369***********')
(18:14:27.17616200, '2-1372***********')
(18:14:27.25868000, '2-1375***********')
(18:14:28.73161300, '2-1391***********')
(18:14:28.79931900, '2-1393***********')
(18:14:31.31445400, '2-1405***********')
(18:14:31.31744400, '2-1406***********')
(18:14:32.05684400, '2-1410***********')
(18:14:32.05684400, '2-1411***********')
(18:14:32.25443200, '2-1414***********')
(18:14:32.71888300, '2-1416***********')
(18:14:33.21177300, '2-1421***********')
(18:14:33.47778500, '2-1423***********')
(18:14:35.11025400, '2-1438***********')
(18:14:35.23463400, '2-1441***********')
(18:14:35.75117000, '2-1448***********')
(18:14:35.87584600, '2-1451***********')
(18:14:35.87584600, '2-1452***********')
(18:14:36.03233900, '2-1456***********')
(18:14:36.09860800, '2-1457***********')
(18:14:37.23467300, '2-1471***********')
(18:14:38.20513600, '2-1484***********')
(18:14:39.22990300, '2-1493***********')
(18:14:40.29442400, '2-1501***********')
(18:14:40.38697100, '2-1502***********')
(18:14:42.05305100, '2-1522***********')
(18:14:42.17217300, '2-1525***********')
(18:14:42.17217300, '2-1526***********')
(18:14:42.85529600, '2-1531***********')
(18:14:42.94886600, '2-1533***********')
(18:14:43.23381500, '2-1543***********')
(18:14:43.54460900, '2-1548***********')
(18:14:44.51706500, '2-1566***********')
(18:14:47.58772900, '2-1593***********')
(18:14:47.58772900, '2-1594***********')
(18:14:47.65021400, '2-1595***********')
(18:14:48.25096400, '2-1603***********')
(18:14:49.71939500, '2-1614***********')
(18:14:49.71939500, '2-1615***********')
(18:14:50.17241700, '2-1620***********')
(18:14:50.17241700, '2-1621***********')
(18:14:50.75040300, '2-1631***********')
(18:14:50.76574800, '2-1632***********')
(18:14:50.84413200, '2-1634***********')
(18:14:50.84413200, '2-1635***********')
(18:14:50.90634500, '2-1636***********')
(18:14:51.46162600, '2-1642***********')
(18:14:51.52433300, '2-1644***********')
(18:14:51.53975000, '2-1643***********')
(18:14:52.06538600, '2-1648***********')
(18:14:52.64310100, '2-1651***********')
(18:14:55.50194200, '2-1675***********')
(18:14:56.40790200, '2-1690***********')
(18:14:58.83229400, '2-1717***********')
(18:14:59.86333600, '2-1734***********')
(18:14:59.86333600, '2-1735***********')
(18:15:0.05077800, '2-1736***********')
(18:15:0.05077800, '2-1737***********')
(18:15:0.33171300, '2-1741***********')
(18:15:0.33171300, '2-1742***********')
(18:15:2.80197500, '2-1761***********')
(18:15:3.56735900, '2-1768***********')
(18:15:3.58279300, '2-1769***********')
(18:15:4.03608600, '2-1772***********')
(18:15:4.58254200, '2-1775***********')
