('15:47:49.189269', b'>\r\n', 'sent:1-15:47:49.169747*')
('15:47:49.208785', b'>\r\n', 'sent:1-15:47:49.189269*')
('15:47:49.229280', b'>\r\n', 'sent:1-15:47:49.208785*')
('15:47:49.249776', b'>\r\n', 'sent:1-15:47:49.229280*')
('15:47:49.272225', b'>\r\n', 'sent:1-15:47:49.249776*')
('15:47:49.354210', b'D2-15:47:49.285888************\r\n', '')
('15:47:49.362017', b'D2-15:47:49.279057************\r\n', '')
('15:47:49.365922', b'>\r\n', 'sent:1-15:47:49.362017*')
('15:47:49.385442', b'>\r\n', 'sent:1-15:47:49.365922*')
('15:47:49.471277', b'D2-15:47:49.404992************\r\n', '')
('15:47:49.476158', b'D2-15:47:49.381537************\r\n', '')
('15:47:49.528863', b'D2-15:47:49.429362************\r\n', '')
('15:47:49.532767', b'>\r\n', 'sent:1-15:47:49.528863*')
('15:47:49.552287', b'>\r\n', 'sent:1-15:47:49.532767*')
('15:47:49.572783', b'>\r\n', 'sent:1-15:47:49.552287*')
('15:47:49.592316', b'>\r\n', 'sent:1-15:47:49.572783*')
('15:47:49.612800', b'>\r\n', 'sent:1-15:47:49.592316*')
('15:47:49.692861', b'>\r\n', 'sent:1-15:47:49.612800*')
('15:47:49.713327', b'>\r\n', 'sent:1-15:47:49.692861*')
('15:47:49.735775', b'>\r\n', 'sent:1-15:47:49.713327*')
('15:47:49.818736', b'D2-15:47:49.788480************\r\n', '')
('15:47:49.822640', b'>\r\n', 'sent:1-15:47:49.818736*')
('15:47:49.842161', b'>\r\n', 'sent:1-15:47:49.822640*')
('15:47:49.923168', b'>\r\n', 'sent:1-15:47:49.842161*')
('15:47:50.064926', b'>\r\n', 'sent:1-15:47:49.923168*')
('15:47:50.189827', b'>\r\n', 'sent:1-15:47:50.064926*')
('15:47:50.341109', b'>\r\n', 'sent:1-15:47:50.189827*')
('15:47:50.362581', b'>\r\n', 'sent:1-15:47:50.341109*')
('15:47:50.383079', b'>\r\n', 'sent:1-15:47:50.362581*')
('15:47:50.402596', b'>\r\n', 'sent:1-15:47:50.383079*')
('15:47:50.422144', b'192.168.4.4\r\n', '')
('15:47:50.497269', b'>\r\n', 'sent:1-15:47:50.422144*')
('15:47:50.520715', b'>\r\n', 'sent:1-15:47:50.497269*')
('15:47:50.544134', b'>\r\n', 'sent:1-15:47:50.520715*')
('15:47:50.690125', b'>\r\n', 'sent:1-15:47:50.544134*')
