('15:47:50.438710', b'>\r\n', 'sent:2-15:47:50.411380*')
('15:47:50.461158', b'>\r\n', 'sent:2-15:47:50.438710*')
('15:47:50.488487', b'>\r\n', 'sent:2-15:47:50.461158*')
('15:47:50.510935', b'>\r\n', 'sent:2-15:47:50.488487*')
('15:47:50.534388', b'>\r\n', 'sent:2-15:47:50.511940*')
('15:47:50.558776', b'>\r\n', 'sent:2-15:47:50.534388*')
('15:47:50.581230', b'>\r\n', 'sent:2-15:47:50.558776*')
('15:47:50.684297', b'>\r\n', 'sent:2-15:47:50.581230*')
('15:47:50.709646', b'>\r\n', 'sent:2-15:47:50.689149*')
('15:47:51.821949', b'....................................................................................................0.0.0.0\r\n', '')
('15:47:51.825852', b'No Wi-Fi connection\r\n', '')
('15:47:51.930287', b'>\r\n', 'sent:2-15:47:51.825852*')
('15:47:51.953717', b'>\r\n', 'sent:2-15:47:51.930287*')
('15:47:51.978109', b'>\r\n', 'sent:2-15:47:51.953717*')
('15:47:52.082543', b'>\r\n', 'sent:2-15:47:51.978109*')
('15:47:52.287624', b'>\r\n', 'sent:2-15:47:52.082543*')
('15:47:52.310072', b'>\r\n', 'sent:2-15:47:52.287624*')
('15:47:52.394035', b'>\r\n', 'sent:2-15:47:52.310072*')
('15:47:52.479402', b'D1-15:47:52.411576************\r\n', '')
('15:47:52.486234', b'>\r\n', 'sent:2-15:47:52.479402*')
('15:47:52.509658', b'>\r\n', 'sent:2-15:47:52.486234*')
('15:47:52.532107', b'>\r\n', 'sent:2-15:47:52.509658*')
('15:47:52.555530', b'>\r\n', 'sent:2-15:47:52.532107*')
('15:47:52.579958', b'>\r\n', 'sent:2-15:47:52.555530*')
('15:47:52.690220', b'>\r\n', 'sent:2-15:47:52.580906*')
('15:47:52.780988', b'D1-15:47:52.713644************\r\n', '')
('15:47:52.784892', b'>\r\n', 'sent:2-15:47:52.780988*')
('15:47:52.811245', b'>\r\n', 'sent:2-15:47:52.784892*')
('15:47:52.831741', b'>\r\n', 'sent:2-15:47:52.811245*')
('15:47:52.861019', b'>\r\n', 'sent:2-15:47:52.831741*')
('15:47:52.986924', b'D1-15:47:52.856141************\r\n', '')
('15:47:52.996685', b'>\r\n', 'sent:2-15:47:52.986924*')
('15:47:53.018157', b'>\r\n', 'sent:2-15:47:52.996685*')
('15:47:53.042556', b'>\r\n', 'sent:2-15:47:53.018157*')
('15:47:53.067934', b'>\r\n', 'sent:2-15:47:53.042556*')
('15:47:53.178292', b'>\r\n', 'sent:2-15:47:53.067934*')
('15:47:53.204630', b'>\r\n', 'sent:2-15:47:53.178292*')
('15:47:53.224161', b'>\r\n', 'sent:2-15:47:53.204630*')
('15:47:53.247573', b'>\r\n', 'sent:2-15:47:53.224161*')
('15:47:53.274901', b'>\r\n', 'sent:2-15:47:53.247573*')
('15:47:53.301270', b'>\r\n', 'sent:2-15:47:53.274901*')
('15:47:54.421782', b'....................................................................................................0.0.0.0\r\n', '')
('15:47:54.425687', b'No Wi-Fi connection\r\n', '')
('15:47:54.443254', b'>\r\n', 'sent:2-15:47:54.425687*')
('15:47:54.467673', b'>\r\n', 'sent:2-15:47:54.443254*')
('15:47:54.492055', b'>\r\n', 'sent:2-15:47:54.467673*')
('15:47:54.578919', b'D1-15:47:54.509623************\r\n', '')
('15:47:54.583841', b'D1-15:47:54.486198************\r\n', '')
('15:47:54.639431', b'D1-15:47:54.559398************\r\n', '')
('15:47:54.643335', b'>\r\n', 'sent:2-15:47:54.639431*')
('15:47:54.668711', b'>\r\n', 'sent:2-15:47:54.643335*')
('15:47:54.691159', b'>\r\n', 'sent:2-15:47:54.668711*')
('15:47:54.800818', b'>\r\n', 'sent:2-15:47:54.691159*')
('15:47:54.823266', b'>\r\n', 'sent:2-15:47:54.800818*')
('15:47:54.934504', b'>\r\n', 'sent:2-15:47:54.823266*')
('15:47:55.043818', b'>\r\n', 'sent:2-15:47:54.934504*')
('15:47:55.168475', b'D1-15:47:55.037970************\r\n', '')
('15:47:55.189947', b'>\r\n', 'sent:2-15:47:55.168475*')
('15:47:55.215324', b'>\r\n', 'sent:2-15:47:55.189947*')
('15:47:55.242683', b'>\r\n', 'sent:2-15:47:55.215324*')
('15:47:55.268027', b'>\r\n', 'sent:2-15:47:55.242683*')
('15:47:55.291459', b'>\r\n', 'sent:2-15:47:55.268027*')
('15:47:55.318781', b'>\r\n', 'sent:2-15:47:55.291459*')
('15:47:55.341228', b'>\r\n', 'sent:2-15:47:55.318781*')
('15:47:55.364654', b'>\r\n', 'sent:2-15:47:55.341228*')
('15:47:56.423120', b'....................................................................................................0.0.0.0\r\n', '')
('15:47:56.439712', b'No Wi-Fi connection\r\n', '')
('15:47:56.497299', b'D1-15:47:56.444592************\r\n', '')
('15:47:56.501201', b'D1-15:47:56.450448************\r\n', '')
('15:47:56.505104', b'>\r\n', 'sent:2-15:47:56.501201*')
('15:47:56.615395', b'>\r\n', 'sent:2-15:47:56.505104*')
('15:47:56.859691', b'D1-15:47:56.609537************\r\n', '')
('15:47:56.863596', b'>\r\n', 'sent:2-15:47:56.859691*')
('15:47:56.887995', b'>\r\n', 'sent:2-15:47:56.863596*')
('15:47:57.939427', b'....................................................................................................0.0.0.0\r\n', '')
('15:47:57.948242', b'No Wi-Fi connection\r\n', '')
('15:47:57.956019', b'>\r\n', 'sent:2-15:47:57.948242*')
('15:47:58.073141', b'D1-15:47:57.943332************\r\n', '')
('15:47:58.081930', b'>\r\n', 'sent:2-15:47:58.073141*')
('15:47:58.109253', b'>\r\n', 'sent:2-15:47:58.081930*')
('15:47:58.134629', b'>\r\n', 'sent:2-15:47:58.109253*')
('15:47:58.279850', b'D1-15:47:58.102420************\r\n', '')
('15:47:58.341367', b'D1-15:47:58.247643************\r\n', '')
('15:47:58.345244', b'D1-15:47:58.271066************\r\n', '')
('15:47:58.351101', b'D1-15:47:58.295468************\r\n', '')
('15:47:58.355009', b'>\r\n', 'sent:2-15:47:58.351101*')
('15:47:58.463495', b'>\r\n', 'sent:2-15:47:58.355009*')
('15:47:58.486918', b'>\r\n', 'sent:2-15:47:58.463495*')
('15:47:58.512294', b'>\r\n', 'sent:2-15:47:58.486918*')
('15:47:58.535734', b'>\r\n', 'sent:2-15:47:58.512294*')
('15:47:58.640162', b'>\r\n', 'sent:2-15:47:58.535734*')
('15:47:58.785901', b'>\r\n', 'sent:2-15:47:58.640162*')
('15:47:58.808556', b'>\r\n', 'sent:2-15:47:58.785901*')
('15:47:58.912012', b'>\r\n', 'sent:2-15:47:58.808556*')
('15:48:00.052941', b'....................................................................................................0.0.0.0\r\n', '')
('15:48:00.056846', b'No Wi-Fi connection\r\n', '')
('15:48:00.071485', b'>\r\n', 'sent:2-15:48:00.056846*')
('15:48:00.157401', b'D1-15:48:00.059774************\r\n', '')
('15:48:00.161305', b'D1-15:48:00.085149************\r\n', '')
('15:48:00.168110', b'>\r\n', 'sent:2-15:48:00.161305*')
('15:48:01.267908', b'....................................................................................................0.0.0.0\r\n', '')
('15:48:01.271811', b'No Wi-Fi connection\r\n', '')
('15:48:01.275750', b'>\r\n', 'sent:2-15:48:01.271811*')
('15:48:01.379173', b'>\r\n', 'sent:2-15:48:01.275750*')
('15:48:01.402597', b'>\r\n', 'sent:2-15:48:01.379173*')
('15:48:01.426048', b'>\r\n', 'sent:2-15:48:01.402597*')
('15:48:01.453348', b'>\r\n', 'sent:2-15:48:01.426048*')
('15:48:01.476788', b'>\r\n', 'sent:2-15:48:01.453348*')
('15:48:01.499221', b'>\r\n', 'sent:2-15:48:01.476788*')
('15:48:01.523621', b'>\r\n', 'sent:2-15:48:01.503126*')
('15:48:01.668070', b'>\r\n', 'sent:2-15:48:01.523621*')
('15:48:01.817638', b'>\r\n', 'sent:2-15:48:01.668070*')
('15:48:02.969486', b'....................................................................................................0.0.0.0\r\n', '')
('15:48:02.973404', b'No Wi-Fi connection\r\n', '')
('15:48:03.025147', b'D1-15:48:02.856780************\r\n', '')
('15:48:03.029051', b'D1-15:48:02.962683************\r\n', '')
('15:48:03.035883', b'>\r\n', 'sent:2-15:48:03.029051*')
('15:48:03.187166', b'D1-15:48:03.139311************\r\n', '')
('15:48:03.191041', b'>\r\n', 'sent:2-15:48:03.187166*')
('15:48:03.217417', b'>\r\n', 'sent:2-15:48:03.191041*')
('15:48:03.241820', b'>\r\n', 'sent:2-15:48:03.217417*')
('15:48:03.265240', b'>\r\n', 'sent:2-15:48:03.241820*')
('15:48:03.352105', b'D1-15:48:03.270119************\r\n', '')
('15:48:03.356009', b'D1-15:48:03.273075************\r\n', '')
('15:48:03.360889', b'D1-15:48:03.297448************\r\n', '')
('15:48:03.413593', b'D1-15:48:03.320871************\r\n', '')
('15:48:03.419447', b'D1-15:48:03.368696************\r\n', '')
('15:48:03.423351', b'>\r\n', 'sent:2-15:48:03.419447*')
('15:48:03.451655', b'>\r\n', 'sent:2-15:48:03.423351*')
('15:48:03.477031', b'>\r\n', 'sent:2-15:48:03.451655*')
('15:48:03.566871', b'D1-15:48:03.479960************\r\n', '')
('15:48:03.571705', b'D1-15:48:03.484842************\r\n', '')
('15:48:03.575609', b'>\r\n', 'sent:2-15:48:03.571705*')
('15:48:03.600038', b'>\r\n', 'sent:2-15:48:03.575609*')
('15:48:03.624410', b'>\r\n', 'sent:2-15:48:03.600038*')
('15:48:03.650789', b'>\r\n', 'sent:2-15:48:03.624410*')
('15:48:03.674186', b'>\r\n', 'sent:2-15:48:03.650789*')
('15:48:03.702490', b'>\r\n', 'sent:2-15:48:03.674186*')
('15:48:03.727866', b'>\r\n', 'sent:2-15:48:03.702490*')
