('15:46:09.025277', '')
('15:46:09.119006', '')
('15:46:09.150249', '')
('15:46:09.181491', '')
('15:46:09.212733', '')
('15:46:09.306491', '')
('15:46:09.337992', '')
('15:46:09.431714', '')
('15:46:09.618991', '')
('15:46:09.650411', '')
('15:46:09.681653', '')
('15:46:09.712911', '')
('15:46:09.744155', '')
('15:46:09.775389', '')
('15:46:09.806536', '')
('15:46:09.837881', '')
('15:46:09.869017', '')
('15:46:09.900367', '')
('15:46:09.931598', '')
('15:46:10.056476', '')
('15:46:10.087802', '')
('15:46:10.119070', '')
('15:46:10.150292', '')
('15:46:10.447118', '')
('15:46:10.587422', '')
('15:46:10.618660', '')
('15:46:10.650198', '')
('15:46:10.681425', '')
('15:46:10.712667', '')
('15:46:10.743919', '')
('15:46:10.775142', '')
('15:46:10.868892', '')
('15:46:10.900136', '')
('15:46:10.931365', '')
('15:46:11.071946', '')
('15:46:11.103212', '')
('15:46:11.134442', '')
('15:46:11.165686', '')
('15:46:11.196940', '')
('15:46:11.228184', '')
('15:46:11.384392', '')
('15:46:11.415624', '')
('15:46:11.446882', '')
('15:46:11.634324', '')
('15:46:11.790498', '')
('15:46:11.821699', '')
('15:46:12.026348', '')
('15:46:12.042247', '')
('15:46:12.135992', '')
('15:46:12.229701', '')
('15:46:12.260946', '')
('15:46:12.354431', '')
('15:46:12.385672', '')
('15:46:12.620198', '')
('15:46:12.651385', '')
('15:46:12.682722', '')
('15:46:12.713969', '')
('15:46:12.745226', '')
('15:46:12.932618', '')
('15:46:12.963655', '')
('15:46:13.120114', '')
('15:46:13.338544', '')
('15:46:13.370060', '')
('15:46:13.401308', '')
('15:46:13.557511', '')
('15:46:13.773874', '')
('15:46:13.865649', '')
('15:46:14.019371', '')
('15:46:14.049999', '')
('15:46:14.081078', '')
('15:46:14.112153', '')
('15:46:14.307295', '')
('15:46:14.440149', '')
('15:46:14.533462', '')
('15:46:14.847665', '')
('15:46:14.879457', '')
('15:46:14.972101', '')
('15:46:15.064112', '')
('15:46:15.095322', '')
('15:46:15.126285', '')
('15:46:15.156855', '')
('15:46:15.188421', '')
('15:46:15.320149', '')
('15:46:15.473667', '')
('15:46:15.505923', '')
('15:46:15.535784', '')
('15:46:15.628516', '')
('15:46:15.888513', '')
('15:46:15.920032', '')
('15:46:16.025743', '')
('15:46:16.117712', '')
('15:46:16.149349', '')
('15:46:16.179846', '')
('15:46:16.272486', '')
('15:46:16.303103', '')
