(15:46:9.27522900, '2-5**************')
(15:46:9.58794000, '2-11*************')
(15:46:9.58794000, '2-12*************')
(15:46:11.05625700, '2-34*************')
(15:46:11.88423000, '2-43*************')
(15:46:13.04173800, '2-56*************')
(15:46:13.04173800, '2-55*************')
(15:46:13.30732800, '2-58*************')
(15:46:13.62000900, '2-63*************')
(15:46:13.62000900, '2-64*************')
(15:46:13.68249500, '2-65*************')
(15:46:13.68249500, '2-66*************')
(15:46:13.74693800, '2-67*************')
(15:46:13.74793500, '2-68*************')
(15:46:13.92845300, '2-70*************')
(15:46:14.50316900, '2-79*************')
(15:46:14.65689500, '2-81*************')
(15:46:14.94186200, '2-87*************')
(15:46:15.44379000, '2-91*************')
(15:46:15.75178700, '2-95*************')
(15:46:16.87877600, '2-102************')
(15:46:16.87980400, '2-103************')
(15:46:16.96926500, '2-105************')
(15:46:17.12187800, '2-108************')
(15:46:17.84409900, '2-116************')
(15:46:17.84409900, '2-117************')
(15:46:17.90173200, '2-119************')
(15:46:18.08553500, '2-122************')
(15:46:19.45404500, '2-134************')
(15:46:19.55125100, '2-136************')
(15:46:20.08363000, '2-140************')
(15:46:20.16611300, '2-143************')
(15:46:21.68039200, '2-163************')
(15:46:22.85489400, '2-177************')
(15:46:23.29377300, '2-186************')
(15:46:23.29377300, '2-187************')
(15:46:24.22267000, '2-205************')
(15:46:24.56980500, '2-209************')
(15:46:24.91510700, '2-213************')
(15:46:25.15062000, '2-216************')
(15:46:25.47038600, '2-219************')
(15:46:25.59393100, '2-221************')
(15:46:26.84386100, '2-230************')
(15:46:27.27272600, '2-234************')
(15:46:27.39603300, '2-235************')
(15:46:27.60879100, '2-237************')
(15:46:27.60879100, '2-238************')
(15:46:27.99424000, '2-245************')
(15:46:27.99524400, '2-246************')
(15:46:29.16232500, '2-263************')
(15:46:30.13715100, '2-272************')
(15:46:30.68641900, '2-278************')
(15:46:30.90133200, '2-281************')
(15:46:30.91669700, '2-282************')
(15:46:30.96380100, '2-283************')
(15:46:30.96380100, '2-284************')
(15:46:31.11996400, '2-286************')
(15:46:31.18250700, '2-287************')
(15:46:31.18250700, '2-288************')
(15:46:31.64083500, '2-296************')
(15:46:31.64167100, '2-297************')
(15:46:31.70151800, '2-298************')
(15:46:31.70151800, '2-299************')
(15:46:33.26489000, '2-315************')
(15:46:33.76006700, '2-319************')
(15:46:33.88994600, '2-321************')
(15:46:33.89081400, '2-322************')
(15:46:33.94857400, '2-323************')
(15:46:34.31813800, '2-327************')
(15:46:34.38209500, '2-328************')
(15:46:34.38209500, '2-329************')
(15:46:34.47052100, '2-330************')
(15:46:34.93564900, '2-336************')
(15:46:34.93665200, '2-337************')
(15:46:35.08891900, '2-339************')
(15:46:35.08891900, '2-340************')
(15:46:35.39545200, '2-342************')
(15:46:35.39645500, '2-343************')
(15:46:35.61167800, '2-347************')
(15:46:35.61167800, '2-348************')
(15:46:36.20499700, '2-357************')
(15:46:36.26599800, '2-358************')
(15:46:36.36153000, '2-360************')
(15:46:36.36232800, '2-361************')
(15:46:36.51407800, '2-363************')
(15:46:36.66407600, '2-366************')
(15:46:37.50971400, '2-372************')
(15:46:37.51073600, '2-373************')
(15:46:37.56824500, '2-374************')
(15:46:37.87529100, '2-378************')
(15:46:37.99739700, '2-381************')
(15:46:38.81676500, '2-388************')
(15:46:38.81754200, '2-389************')
(15:46:39.03275000, '2-391************')
(15:46:39.03377300, '2-392************')
(15:46:39.09356800, '2-393************')
(15:46:39.09437700, '2-394************')
(15:46:40.70932000, '2-409************')
(15:46:40.83961300, '2-411************')
(15:46:41.25050300, '2-418************')
(15:46:41.45596400, '2-420************')
(15:46:41.47129400, '2-421************')
(15:46:41.58093800, '2-422************')
(15:46:41.58093800, '2-423************')
(15:46:41.64340700, '2-425************')
(15:46:41.64340700, '2-424************')
(15:46:41.83367900, '2-428************')
(15:46:42.05263600, '2-430************')
(15:46:42.84470300, '2-441************')
(15:46:42.84570300, '2-442************')
(15:46:42.99427400, '2-446************')
(15:46:42.99427400, '2-447************')
(15:46:44.51218400, '2-458************')
(15:46:44.85945600, '2-462************')
(15:46:45.16838200, '2-465************')
(15:46:45.16937800, '2-466************')
(15:46:45.38103900, '2-471************')
(15:46:45.73215100, '2-475************')
(15:46:46.46576900, '2-482************')
(15:46:46.51235900, '2-483************')
(15:46:46.58846500, '2-484************')
(15:46:46.71473100, '2-487************')
(15:46:46.71562900, '2-488************')
(15:46:46.77560600, '2-489************')
(15:46:46.77660600, '2-490************')
(15:46:46.83644600, '2-491************')
(15:46:46.83744500, '2-492************')
(15:46:47.72395900, '2-497************')
(15:46:47.94382300, '2-501************')
(15:46:48.06876000, '2-503************')
(15:46:48.06876000, '2-504************')
(15:46:48.31873300, '2-507************')
(15:46:48.41243600, '2-509************')
(15:46:48.80297300, '2-514************')
(15:46:49.34153200, '2-518************')
(15:46:49.34153200, '2-519************')
(15:46:49.43126300, '2-521************')
(15:46:49.68886400, '2-524************')
(15:46:49.68886400, '2-525************')
(15:46:50.18254200, '2-529************')
(15:46:50.18254200, '2-530************')
(15:46:50.37212400, '2-532************')
(15:46:50.42933600, '2-533************')
(15:46:50.42933600, '2-534************')
(15:46:50.67953200, '2-537************')
(15:46:50.80450200, '2-540************')
(15:46:50.96043700, '2-542************')
(15:46:51.39812800, '2-548************')
(15:46:51.85102700, '2-549************')
(15:46:51.97609400, '2-553************')
(15:46:51.97609400, '2-554************')
(15:46:52.61534900, '2-559************')
(15:46:52.61534900, '2-560************')
(15:46:52.67809300, '2-561************')
(15:46:52.67809300, '2-562************')
(15:46:53.30829100, '2-571************')
(15:46:54.10861700, '2-589************')
(15:46:54.60475600, '2-599************')
