('13:34:09.454774', b'D1-13:34:09.408132************\trssi:-44\r\n', '')
('13:34:09.454774', b'>\r\n', 'sent:2-13:34:09.454774*')
('13:34:09.533095', b'D1-13:34:09.501847************\trssi:-43\r\n', '')
('13:34:09.533095', b'>\r\n', 'sent:2-13:34:09.533095*')
('13:34:09.611147', b'D1-13:34:09.579957************\trssi:-44\r\n', '')
('13:34:09.611147', b'>\r\n', 'sent:2-13:34:09.611147*')
('13:34:09.704928', b'D1-13:34:09.579957************\trssi:-44\r\n', '')
('13:34:09.704928', b'>\r\n', 'sent:2-13:34:09.704928*')
('13:34:09.783037', b'D1-13:34:09.751787************\trssi:-44\r\n', '')
('13:34:09.783037', b'>\r\n', 'sent:2-13:34:09.783037*')
('13:34:09.876767', b'>\r\n', 'sent:2-13:34:09.783037*')
('13:34:09.954871', b'D1-13:34:09.923382************\trssi:-43\r\n', '')
('13:34:09.954871', b'>\r\n', 'sent:2-13:34:09.954871*')
('13:34:10.032959', b'D1-13:34:10.001734************\trssi:-43\r\n', '')
('13:34:10.032959', b'>\r\n', 'sent:2-13:34:10.032959*')
('13:34:10.126684', b'D1-13:34:10.001734************\trssi:-43\r\n', '')
('13:34:10.126684', b'>\r\n', 'sent:2-13:34:10.126684*')
('13:34:10.204819', b'D1-13:34:10.079842************\trssi:-42\r\n', '')
('13:34:10.204819', b'>\r\n', 'sent:2-13:34:10.204819*')
('13:34:10.298558', b'D1-13:34:10.251676************\trssi:-43\r\n', '')
('13:34:10.298558', b'>\r\n', 'sent:2-13:34:10.298558*')
('13:34:10.376643', b'D1-13:34:10.329784************\trssi:-44\r\n', '')
('13:34:10.376643', b'>\r\n', 'sent:2-13:34:10.376643*')
('13:34:10.454745', b'D1-13:34:10.423483************\trssi:-42\r\n', '')
('13:34:10.454745', b'>\r\n', 'sent:2-13:34:10.454745*')
('13:34:10.548499', b'D1-13:34:10.501617************\trssi:-43\r\n', '')
('13:34:10.548499', b'>\r\n', 'sent:2-13:34:10.548499*')
('13:34:10.626604', b'>\r\n', 'sent:2-13:34:10.548499*')
('13:34:10.714939', b'D1-13:34:10.675757************\trssi:-44\r\n', '')
('13:34:10.714939', b'>\r\n', 'sent:2-13:34:10.714939*')
('13:34:10.801719', b'D1-13:34:10.746198************\trssi:-42\r\n', '')
('13:34:10.801719', b'>\r\n', 'sent:2-13:34:10.801719*')
('13:34:10.885615', b'D1-13:34:10.834522************\trssi:-42\r\n', '')
('13:34:10.885615', b'>\r\n', 'sent:2-13:34:10.885615*')
('13:34:10.956324', b'D1-13:34:10.834522************\trssi:-42\r\n', '')
('13:34:10.956324', b'>\r\n', 'sent:2-13:34:10.956324*')
('13:34:11.050113', b'D1-13:34:11.003236************\trssi:-44\r\n', '')
('13:34:11.050113', b'>\r\n', 'sent:2-13:34:11.050113*')
('13:34:11.128218', b'D1-13:34:11.081362************\trssi:-43\r\n', '')
('13:34:11.128218', b'>\r\n', 'sent:2-13:34:11.128218*')
('13:34:11.206262', b'D1-13:34:11.175073************\trssi:-44\r\n', '')
('13:34:11.221659', b'>\r\n', 'sent:2-13:34:11.206262*')
('13:34:11.300053', b'D1-13:34:11.253199************\trssi:-42\r\n', '')
('13:34:11.300053', b'>\r\n', 'sent:2-13:34:11.300053*')
('13:34:11.378171', b'D1-13:34:11.331292************\trssi:-43\r\n', '')
('13:34:11.378171', b'>\r\n', 'sent:2-13:34:11.378171*')
('13:34:11.471601', b'D1-13:34:11.425013************\trssi:-44\r\n', '')
('13:34:11.471601', b'>\r\n', 'sent:2-13:34:11.471601*')
('13:34:11.549983', b'>\r\n', 'sent:2-13:34:11.471601*')
('13:34:11.628093', b'D1-13:34:11.596846************\trssi:-42\r\n', '')
('13:34:11.628093', b'>\r\n', 'sent:2-13:34:11.628093*')
('13:34:11.706150', b'D1-13:34:11.674956************\trssi:-43\r\n', '')
('13:34:11.706150', b'>\r\n', 'sent:2-13:34:11.706150*')
('13:34:11.799934', b'>\r\n', 'sent:2-13:34:11.706150*')
('13:34:11.878038', b'D1-13:34:11.846800************\trssi:-44\r\n', '')
('13:34:11.878038', b'>\r\n', 'sent:2-13:34:11.878038*')
('13:34:11.955989', b'D1-13:34:11.846800************\trssi:-43\r\n', '')
('13:34:11.955989', b'>\r\n', 'sent:2-13:34:11.955989*')
('13:34:12.049687', b'>\r\n', 'sent:2-13:34:11.955989*')
('13:34:12.127983', b'D1-13:34:12.096743************\trssi:-44\r\n', '')
('13:34:12.127983', b'>\r\n', 'sent:2-13:34:12.127983*')
('13:34:12.206025', b'D1-13:34:12.174846************\trssi:-44\r\n', '')
('13:34:12.206025', b'>\r\n', 'sent:2-13:34:12.206025*')
('13:34:12.283916', b'>\r\n', 'sent:2-13:34:12.206025*')
('13:34:12.377935', b'D1-13:34:12.346675************\trssi:-43\r\n', '')
('13:34:12.377935', b'>\r\n', 'sent:2-13:34:12.377935*')
('13:34:12.455972', b'D1-13:34:12.424789************\trssi:-43\r\n', '')
('13:34:12.455972', b'>\r\n', 'sent:2-13:34:12.455972*')
('13:34:12.549509', b'D1-13:34:12.502896************\trssi:-42\r\n', '')
('13:34:12.549509', b'>\r\n', 'sent:2-13:34:12.549509*')
('13:34:12.627869', b'D1-13:34:12.596644************\trssi:-42\r\n', '')
('13:34:12.627869', b'>\r\n', 'sent:2-13:34:12.627869*')
('13:34:12.705717', b'D1-13:34:12.674721************\trssi:-44\r\n', '')
('13:34:12.705717', b'>\r\n', 'sent:2-13:34:12.705717*')
('13:34:12.799443', b'D1-13:34:12.674721************\trssi:-43\r\n', '')
('13:34:12.799443', b'>\r\n', 'sent:2-13:34:12.799443*')
('13:34:12.877551', b'D1-13:34:12.846308************\trssi:-42\r\n', '')
('13:34:12.877551', b'>\r\n', 'sent:2-13:34:12.877551*')
('13:34:12.955658', b'D1-13:34:12.924416************\trssi:-43\r\n', '')
('13:34:12.955658', b'>\r\n', 'sent:2-13:34:12.955658*')
('13:34:13.049397', b'>\r\n', 'sent:2-13:34:12.955658*')
('13:34:13.127504', b'D1-13:34:13.096264************\trssi:-44\r\n', '')
('13:34:13.127504', b'>\r\n', 'sent:2-13:34:13.127504*')
('13:34:13.205614', b'D1-13:34:13.174368************\trssi:-44\r\n', '')
('13:34:13.205614', b'>\r\n', 'sent:2-13:34:13.205614*')
('13:34:13.299340', b'D1-13:34:13.174368************\trssi:-44\r\n', '')
('13:34:13.299340', b'>\r\n', 'sent:2-13:34:13.299340*')
('13:34:13.377447', b'D1-13:34:13.330586************\trssi:-44\r\n', '')
('13:34:13.377447', b'>\r\n', 'sent:2-13:34:13.377447*')
('13:34:13.455554', b'D1-13:34:13.330586************\trssi:-44\r\n', '')
('13:34:13.455554', b'>\r\n', 'sent:2-13:34:13.455554*')
('13:34:13.549251', b'>\r\n', 'sent:2-13:34:13.455554*')
('13:34:13.627501', b'>\r\n', 'sent:2-13:34:13.549251*')
('13:34:13.705653', b'D1-13:34:13.580529************\trssi:-44\r\n', '')
('13:34:13.705653', b'>\r\n', 'sent:2-13:34:13.705653*')
('13:34:13.799227', b'D1-13:34:13.752625************\trssi:-44\r\n', '')
('13:34:13.799227', b'>\r\n', 'sent:2-13:34:13.799227*')
('13:34:13.877594', b'>\r\n', 'sent:2-13:34:13.799227*')
('13:34:13.955610', b'D1-13:34:13.924166************\trssi:-43\r\n', '')
('13:34:13.955610', b'>\r\n', 'sent:2-13:34:13.955610*')
('13:34:14.033795', b'D1-13:34:14.002565************\trssi:-44\r\n', '')
('13:34:14.049170', b'>\r\n', 'sent:2-13:34:14.033795*')
('13:34:14.127536', b'D1-13:34:14.080653************\trssi:-43\r\n', '')
('13:34:14.127536', b'>\r\n', 'sent:2-13:34:14.127536*')
('13:34:14.205564', b'D1-13:34:14.080653************\trssi:-43\r\n', '')
('13:34:14.205564', b'>\r\n', 'sent:2-13:34:14.205564*')
('13:34:14.299113', b'D1-13:34:14.252510************\trssi:-43\r\n', '')
('13:34:14.299113', b'>\r\n', 'sent:2-13:34:14.299113*')
('13:34:14.377480', b'D1-13:34:14.330616************\trssi:-45\r\n', '')
('13:34:14.377480', b'>\r\n', 'sent:2-13:34:14.377480*')
('13:34:14.455515', b'D1-13:34:14.330616************\trssi:-44\r\n', '')
('13:34:14.455515', b'>\r\n', 'sent:2-13:34:14.455515*')
('13:34:14.549151', b'>\r\n', 'sent:2-13:34:14.455515*')
('13:34:14.627411', b'>\r\n', 'sent:2-13:34:14.549151*')
('13:34:14.705453', b'D1-13:34:14.674282************\trssi:-44\r\n', '')
('13:34:14.705453', b'>\r\n', 'sent:2-13:34:14.705453*')
('13:34:14.798988', b'D1-13:34:14.752395************\trssi:-43\r\n', '')
('13:34:14.798988', b'>\r\n', 'sent:2-13:34:14.798988*')
('13:34:14.877365', b'D1-13:34:14.846112************\trssi:-44\r\n', '')
('13:34:14.877365', b'>\r\n', 'sent:2-13:34:14.877365*')
('13:34:14.970847', b'D1-13:34:14.924228************\trssi:-43\r\n', '')
('13:34:14.970847', b'>\r\n', 'sent:2-13:34:14.970847*')
('13:34:15.049202', b'D1-13:34:15.002339************\trssi:-43\r\n', '')
('13:34:15.049202', b'>\r\n', 'sent:2-13:34:15.049202*')
('13:34:15.127308', b'>\r\n', 'sent:2-13:34:15.049202*')
('13:34:15.205335', b'D1-13:34:15.174170************\trssi:-44\r\n', '')
('13:34:15.205335', b'>\r\n', 'sent:2-13:34:15.205335*')
('13:34:15.299129', b'D1-13:34:15.267886************\trssi:-44\r\n', '')
('13:34:15.299129', b'>\r\n', 'sent:2-13:34:15.299129*')
('13:34:15.377234', b'D1-13:34:15.345996************\trssi:-43\r\n', '')
('13:34:15.377234', b'>\r\n', 'sent:2-13:34:15.377234*')
('13:34:15.470687', b'D1-13:34:15.424093************\trssi:-41\r\n', '')
('13:34:15.470687', b'>\r\n', 'sent:2-13:34:15.470687*')
('13:34:15.549071', b'>\r\n', 'sent:2-13:34:15.470687*')
('13:34:15.627124', b'D1-13:34:15.595935************\trssi:-42\r\n', '')
('13:34:15.627124', b'>\r\n', 'sent:2-13:34:15.627124*')
('13:34:15.720714', b'D1-13:34:15.689546************\trssi:-43\r\n', '')
('13:34:15.720714', b'>\r\n', 'sent:2-13:34:15.720714*')
('13:34:15.799018', b'D1-13:34:15.767769************\trssi:-44\r\n', '')
('13:34:15.799018', b'>\r\n', 'sent:2-13:34:15.799018*')
('13:34:15.877125', b'>\r\n', 'sent:2-13:34:15.799018*')
('13:34:15.955145', b'D1-13:34:15.939576************\trssi:-44\r\n', '')
('13:34:15.955145', b'>\r\n', 'sent:2-13:34:15.955145*')
('13:34:16.048892', b'D1-13:34:16.017716************\trssi:-43\r\n', '')
('13:34:16.048892', b'>\r\n', 'sent:2-13:34:16.048892*')
('13:34:16.127065', b'D1-13:34:16.111165************\trssi:-43\r\n', '')
('13:34:16.127065', b'>\r\n', 'sent:2-13:34:16.127065*')
('13:34:16.220516', b'D1-13:34:16.189495************\trssi:-43\r\n', '')
('13:34:16.220516', b'>\r\n', 'sent:2-13:34:16.220516*')
('13:34:16.298905', b'D1-13:34:16.267664************\trssi:-42\r\n', '')
('13:34:16.298905', b'>\r\n', 'sent:2-13:34:16.298905*')
('13:34:16.377015', b'D1-13:34:16.361405************\trssi:-43\r\n', '')
('13:34:16.377015', b'>\r\n', 'sent:2-13:34:16.377015*')
('13:34:16.470546', b'>\r\n', 'sent:2-13:34:16.377015*')
('13:34:16.548840', b'D1-13:34:16.517621************\trssi:-44\r\n', '')
('13:34:16.548840', b'>\r\n', 'sent:2-13:34:16.548840*')
('13:34:16.626953', b'D1-13:34:16.517621************\trssi:-42\r\n', '')
('13:34:16.626953', b'>\r\n', 'sent:2-13:34:16.626953*')
('13:34:16.706960', b'>\r\n', 'sent:2-13:34:16.626953*')
('13:34:16.800702', b'D1-13:34:16.769475************\trssi:-42\r\n', '')
('13:34:16.800702', b'>\r\n', 'sent:2-13:34:16.800702*')
('13:34:16.878810', b'D1-13:34:16.863202************\trssi:-43\r\n', '')
('13:34:16.878810', b'>\r\n', 'sent:2-13:34:16.878810*')
('13:34:16.956913', b'D1-13:34:16.941247************\trssi:-43\r\n', '')
('13:34:16.956913', b'>\r\n', 'sent:2-13:34:16.956913*')
('13:34:17.050666', b'D1-13:34:17.035020************\trssi:-43\r\n', '')
('13:34:17.050666', b'>\r\n', 'sent:2-13:34:17.050666*')
('13:34:17.128745', b'D1-13:34:17.113152************\trssi:-43\r\n', '')
('13:34:17.128745', b'>\r\n', 'sent:2-13:34:17.128745*')
('13:34:17.222203', b'D1-13:34:17.191258************\trssi:-42\r\n', '')
('13:34:17.222203', b'>\r\n', 'sent:2-13:34:17.222203*')
('13:34:17.300607', b'>\r\n', 'sent:2-13:34:17.222203*')
('13:34:17.378700', b'>\r\n', 'sent:2-13:34:17.300607*')
('13:34:17.456523', b'D1-13:34:17.456523************\trssi:-42\r\n', '')
('13:34:17.456523', b'>\r\n', 'sent:2-13:34:17.456523*')
('13:34:17.550545', b'D1-13:34:17.456523************\trssi:-42\r\n', '')
('13:34:17.550545', b'>\r\n', 'sent:2-13:34:17.550545*')
('13:34:17.628654', b'D1-13:34:17.613015************\trssi:-42\r\n', '')
('13:34:17.628654', b'>\r\n', 'sent:2-13:34:17.628654*')
('13:34:17.706739', b'D1-13:34:17.613015************\trssi:-42\r\n', '')
('13:34:17.706739', b'>\r\n', 'sent:2-13:34:17.706739*')
('13:34:17.800491', b'D1-13:34:17.784843************\trssi:-42\r\n', '')
('13:34:17.800491', b'>\r\n', 'sent:2-13:34:17.800491*')
