('16:03:14.737752', b'>\r\n', 'sent:1-16:03:14.737752*')
('16:03:14.753661', b'>\r\n', 'sent:1-16:03:14.737752*')
('16:03:14.847391', b'D2-16:03:14.800293************\r\n', '')
('16:03:14.956740', b'D2-16:03:14.800293************\r\n', '')
('16:03:15.081709', b'>\r\n', 'sent:1-16:03:14.956740*')
('16:03:15.097261', b'>\r\n', 'sent:1-16:03:15.081709*')
('16:03:15.128301', b'>\r\n', 'sent:1-16:03:15.097261*')
('16:03:15.143900', b'>\r\n', 'sent:1-16:03:15.128301*')
('16:03:15.175166', b'>\r\n', 'sent:1-16:03:15.143900*')
('16:03:15.190764', b'>\r\n', 'sent:1-16:03:15.175166*')
('16:03:15.315923', b'>\r\n', 'sent:1-16:03:15.190764*')
('16:03:15.409490', b'D2-16:03:15.315923************\r\n', '')
('16:03:15.409490', b'D2-16:03:15.331649************\r\n', '')
('16:03:15.471983', b'D2-16:03:15.362600************\r\n', '')
('16:03:15.471983', b'>\r\n', 'sent:1-16:03:15.471983*')
('16:03:15.565701', b'D2-16:03:15.487862************\r\n', '')
('16:03:15.565701', b'D2-16:03:15.471983************\r\n', '')
('16:03:15.565701', b'>\r\n', 'sent:1-16:03:15.565701*')
('16:03:15.581585', b'>\r\n', 'sent:1-16:03:15.565701*')
('16:03:15.612811', b'>\r\n', 'sent:1-16:03:15.581585*')
('16:03:15.643807', b'>\r\n', 'sent:1-16:03:15.612811*')
('16:03:15.722168', b'D2-16:03:15.643807************\r\n', '')
('16:03:15.737533', b'D2-16:03:15.643807************\r\n', '')
('16:03:15.737533', b'D2-16:03:15.675182************\r\n', '')
('16:03:15.737533', b'>\r\n', 'sent:1-16:03:15.737533*')
('16:03:15.768776', b'>\r\n', 'sent:1-16:03:15.737533*')
('16:03:15.784377', b'>\r\n', 'sent:1-16:03:15.768776*')
('16:03:15.815742', b'>\r\n', 'sent:1-16:03:15.784377*')
('16:03:15.956508', b'>\r\n', 'sent:1-16:03:15.815742*')
('16:03:15.972110', b'>\r\n', 'sent:1-16:03:15.956508*')
('16:03:16.003210', b'>\r\n', 'sent:1-16:03:15.972110*')
('16:03:16.034391', b'>\r\n', 'sent:1-16:03:16.003210*')
('16:03:16.050068', b'>\r\n', 'sent:1-16:03:16.034391*')
('16:03:16.190808', b'D2-16:03:16.034391************\r\n', '')
('16:03:16.190808', b'>\r\n', 'sent:1-16:03:16.190808*')
('16:03:16.221795', b'>\r\n', 'sent:1-16:03:16.190808*')
('16:03:16.237687', b'>\r\n', 'sent:1-16:03:16.221795*')
('16:03:16.331145', b'D2-16:03:16.221795************\r\n', '')
('16:03:16.331145', b'D2-16:03:16.253037************\r\n', '')
('16:03:16.331145', b'>\r\n', 'sent:1-16:03:16.331145*')
('16:03:16.424872', b'D2-16:03:16.362395************\r\n', '')
('16:03:16.424872', b'D2-16:03:16.362395************\r\n', '')
('16:03:16.471951', b'>\r\n', 'sent:1-16:03:16.424872*')
('16:03:16.503236', b'>\r\n', 'sent:1-16:03:16.471951*')
('16:03:16.518848', b'>\r\n', 'sent:1-16:03:16.503236*')
('16:03:16.549957', b'>\r\n', 'sent:1-16:03:16.518848*')
('16:03:16.628208', b'>\r\n', 'sent:1-16:03:16.549957*')
('16:03:16.659208', b'>\r\n', 'sent:1-16:03:16.628208*')
('16:03:16.737555', b'>\r\n', 'sent:1-16:03:16.659208*')
('16:03:16.831028', b'D2-16:03:16.784411************\r\n', '')
('16:03:16.878156', b'D2-16:03:16.784411************\r\n', '')
('16:03:16.893517', b'D2-16:03:16.815385************\r\n', '')
('16:03:16.940632', b'>\r\n', 'sent:1-16:03:16.893517*')
('16:03:17.034084', b'D2-16:03:16.862528************\r\n', '')
('16:03:17.034084', b'D2-16:03:16.956002************\r\n', '')
('16:03:17.034084', b'D2-16:03:16.971865************\r\n', '')
('16:03:17.049735', b'>\r\n', 'sent:1-16:03:17.034084*')
('16:03:17.065356', b'>\r\n', 'sent:1-16:03:17.049735*')
('16:03:17.160995', b'D2-16:03:17.096592************\r\n', '')
('16:03:17.208116', b'D2-16:03:17.096592************\r\n', '')
('16:03:17.333025', b'>\r\n', 'sent:1-16:03:17.208116*')
('16:03:17.410939', b'D2-16:03:17.176865************\r\n', '')
('16:03:17.410939', b'D2-16:03:17.364075************\r\n', '')
('16:03:17.426536', b'D2-16:03:17.333025************\r\n', '')
('16:03:17.426536', b'>\r\n', 'sent:1-16:03:17.426536*')
('16:03:17.457779', b'>\r\n', 'sent:1-16:03:17.426536*')
('16:03:17.582939', b'>\r\n', 'sent:1-16:03:17.457779*')
('16:03:17.738963', b'>\r\n', 'sent:1-16:03:17.582939*')
('16:03:17.754586', b'>\r\n', 'sent:1-16:03:17.738963*')
('16:03:17.879849', b'>\r\n', 'sent:1-16:03:17.754586*')
('16:03:17.910819', b'>\r\n', 'sent:1-16:03:17.879849*')
('16:03:17.989184', b'D2-16:03:17.879849************\r\n', '')
('16:03:18.004548', b'D2-16:03:17.910819************\r\n', '')
('16:03:18.004548', b'>\r\n', 'sent:1-16:03:18.004548*')
('16:03:18.020443', b'>\r\n', 'sent:1-16:03:18.004548*')
('16:03:18.051392', b'>\r\n', 'sent:1-16:03:18.020443*')
('16:03:18.067225', b'>\r\n', 'sent:1-16:03:18.051392*')
('16:03:18.098254', b'>\r\n', 'sent:1-16:03:18.067225*')
('16:03:18.239039', b'>\r\n', 'sent:1-16:03:18.098254*')
('16:03:18.270110', b'>\r\n', 'sent:1-16:03:18.239039*')
('16:03:18.395352', b'>\r\n', 'sent:1-16:03:18.270110*')
('16:03:18.426573', b'>\r\n', 'sent:1-16:03:18.395352*')
('16:03:18.442200', b'>\r\n', 'sent:1-16:03:18.426573*')
('16:03:18.473460', b'>\r\n', 'sent:1-16:03:18.442200*')
('16:03:18.551552', b'D2-16:03:18.488788************\r\n', '')
