('11:15:18.873355', b'S\r\n', '')
('11:15:18.935810', b'D1-129************************\trssi:-35\r\n', '')
('11:15:18.951431', b'D1-128************************\trssi:-36\r\n', '')
('11:15:18.951431', b'D1-130************************\trssi:-36\r\n', '')
('11:15:18.951431', b's-dur: 61396\r\n', '')
('11:15:18.967052', b'S\r\n', '')
('11:15:19.029538', b'D1-133************************\trssi:-35\r\n', '')
('11:15:19.029538', b'D1-135************************\trssi:-35\r\n', '')
('11:15:19.045160', b'D1-134************************\trssi:-37\r\n', '')
('11:15:19.045160', b's-dur: 61541\r\n', '')
('11:15:19.092024', b'S\r\n', '')
('11:15:19.154509', b'D1-139************************\trssi:-36\r\n', '')
('11:15:19.154509', b'D1-141************************\trssi:-36\r\n', '')
('11:15:19.154509', b'D1-140************************\trssi:-37\r\n', '')
('11:15:19.170157', b's-dur: 61529\r\n', '')
('11:15:19.217015', b'S\r\n', '')
('11:15:19.279480', b'D1-147************************\trssi:-34\r\n', '')
('11:15:19.279480', b'D1-145************************\trssi:-35\r\n', '')
('11:15:19.279480', b'D1-146************************\trssi:-35\r\n', '')
('11:15:19.279480', b's-dur: 61532\r\n', '')
('11:15:19.279480', b'S\r\n', '')
('11:15:19.341964', b'D1-149************************\trssi:-34\r\n', '')
('11:15:19.341964', b'D1-148************************\trssi:-35\r\n', '')
('11:15:19.341964', b'D1-150************************\trssi:-35\r\n', '')
('11:15:19.341964', b's-dur: 61656\r\n', '')
('11:15:19.420093', b'S\r\n', '')
('11:15:19.498206', b'D1-156************************\trssi:-34\r\n', '')
('11:15:19.498206', b'D1-157************************\trssi:-35\r\n', '')
('11:15:19.498206', b'D1-155************************\trssi:-36\r\n', '')
('11:15:19.498206', b's-dur: 61526\r\n', '')
('11:15:19.607550', b'S\r\n', '')
('11:15:19.670035', b'D1-165************************\trssi:-34\r\n', '')
('11:15:19.670035', b'D1-166************************\trssi:-34\r\n', '')
('11:15:19.685668', b'D1-167************************\trssi:-35\r\n', '')
('11:15:19.685668', b's-dur: 61523\r\n', '')
('11:15:19.732501', b'S\r\n', '')
('11:15:19.795013', b'D1-171************************\trssi:-34\r\n', '')
('11:15:19.795013', b'D1-172************************\trssi:-35\r\n', '')
('11:15:19.795013', b's-dur: 61290\r\n', '')
('11:15:19.904363', b'S\r\n', '')
('11:15:19.983645', b'D1-181************************\trssi:-34\r\n', '')
('11:15:19.986638', b'D1-180************************\trssi:-37\r\n', '')
('11:15:19.987634', b's-dur: 61388\r\n', '')
('11:15:19.988635', b'S\r\n', '')
('11:15:20.036021', b'D1-183************************\trssi:-35\r\n', '')
('11:15:20.036021', b'D1-184************************\trssi:-35\r\n', '')
('11:15:20.036021', b's-dur: 61247\r\n', '')
('11:15:20.036021', b'S\r\n', '')
('11:15:20.098538', b'D1-186************************\trssi:-35\r\n', '')
('11:15:20.098538', b'D1-187************************\trssi:-35\r\n', '')
('11:15:20.098538', b'D1-188************************\trssi:-35\r\n', '')
('11:15:20.114162', b's-dur: 61383\r\n', '')
('11:15:20.162473', b'S\r\n', '')
('11:15:20.219433', b'D1-192************************\trssi:-33\r\n', '')
('11:15:20.219433', b'D1-193************************\trssi:-33\r\n', '')
('11:15:20.235044', b'D1-194************************\trssi:-33\r\n', '')
('11:15:20.235044', b's-dur: 61400\r\n', '')
('11:15:20.235044', b'S\r\n', '')
('11:15:20.281919', b'D1-195************************\trssi:-33\r\n', '')
('11:15:20.281919', b'D1-196************************\trssi:-34\r\n', '')
('11:15:20.281919', b'D1-197************************\trssi:-34\r\n', '')
('11:15:20.297507', b's-dur: 61704\r\n', '')
('11:15:20.313129', b'S\r\n', '')
('11:15:20.375636', b'D1-200************************\trssi:-33\r\n', '')
('11:15:20.375636', b'D1-202************************\trssi:-34\r\n', '')
('11:15:20.375636', b'D1-201************************\trssi:-35\r\n', '')
('11:15:20.375636', b's-dur: 61436\r\n', '')
('11:15:20.484993', b'S\r\n', '')
('11:15:20.563104', b'D1-209************************\trssi:-34\r\n', '')
('11:15:20.563104', b'D1-211************************\trssi:-34\r\n', '')
('11:15:20.563104', b'D1-208************************\trssi:-35\r\n', '')
('11:15:20.563104', b'D1-210************************\trssi:-35\r\n', '')
('11:15:20.563104', b's-dur: 64391\r\n', '')
('11:15:20.563104', b'S\r\n', '')
('11:15:20.625578', b'D1-212************************\trssi:-34\r\n', '')
('11:15:20.625578', b'D1-213************************\trssi:-35\r\n', '')
('11:15:20.625578', b'D1-214************************\trssi:-35\r\n', '')
('11:15:20.625578', b's-dur: 61691\r\n', '')
('11:15:20.766184', b'S\r\n', '')
