('14:17:08.670283', b'D3-71*************************\trssi:-64\r\n', '')
('14:17:08.670283', b's-dur: 71267\r\n', '')
('14:17:08.670283', b'S\r\n', '')
('14:17:08.732761', b'D3-82*************************\trssi:-57\r\n', '')
('14:17:08.732761', b'D3-83*************************\trssi:-57\r\n', '')
('14:17:08.732761', b'D3-81*************************\trssi:-58\r\n', '')
('14:17:08.732761', b'D3-80*************************\trssi:-59\r\n', '')
('14:17:08.748362', b'D3-78*************************\trssi:-60\r\n', '')
('14:17:08.748362', b'D3-79*************************\trssi:-60\r\n', '')
('14:17:08.748362', b's-dur: 71598\r\n', '')
('14:17:08.748362', b'>\r\n', 'sent:100-20*')
('14:17:08.787905', b'b-dur: 41675\r\n', '')
('14:17:08.787905', b'S\r\n', '')
('14:17:08.840915', b'D3-93*************************\trssi:-56\r\n', '')
('14:17:08.840915', b'D3-89*************************\trssi:-57\r\n', '')
('14:17:08.856530', b'D3-90*************************\trssi:-57\r\n', '')
('14:17:08.856530', b'D3-91*************************\trssi:-57\r\n', '')
('14:17:08.856530', b'D3-92*************************\trssi:-57\r\n', '')
('14:17:08.856530', b'D3-94*************************\trssi:-57\r\n', '')
('14:17:08.856530', b's-dur: 71243\r\n', '')
('14:17:08.856530', b'S\r\n', '')
('14:17:08.918990', b'D3-101************************\trssi:-52\r\n', '')
('14:17:08.918990', b'D3-100************************\trssi:-53\r\n', '')
('14:17:08.918990', b'D3-98*************************\trssi:-54\r\n', '')
('14:17:08.934612', b'D3-99*************************\trssi:-54\r\n', '')
('14:17:08.934612', b'D3-96*************************\trssi:-56\r\n', '')
('14:17:08.934612', b'D3-97*************************\trssi:-56\r\n', '')
('14:17:08.934612', b's-dur: 71614\r\n', '')
('14:17:08.934612', b'>\r\n', 'sent:100-21*')
('14:17:08.965880', b'b-dur: 40683\r\n', '')
('14:17:08.965880', b'>\r\n', 'sent:100-22*')
('14:17:08.997119', b'b-dur: 29960\r\n', '')
('14:17:08.997119', b'>\r\n', 'sent:100-23*')
('14:17:09.028361', b'b-dur: 29964\r\n', '')
('14:17:09.028361', b'S\r\n', '')
('14:17:09.090825', b'D3-115************************\trssi:-54\r\n', '')
('14:17:09.090825', b'D3-114************************\trssi:-55\r\n', '')
('14:17:09.090825', b'D3-117************************\trssi:-55\r\n', '')
('14:17:09.106468', b'D3-118************************\trssi:-55\r\n', '')
('14:17:09.106468', b'D3-119************************\trssi:-55\r\n', '')
('14:17:09.106468', b'D3-116************************\trssi:-56\r\n', '')
('14:17:09.106468', b's-dur: 71312\r\n', '')
('14:17:09.106468', b'>\r\n', 'sent:100-24*')
('14:17:09.137711', b'b-dur: 39443\r\n', '')
('14:17:09.137711', b'S\r\n', '')
('14:17:09.200203', b'D3-125************************\trssi:-54\r\n', '')
('14:17:09.200203', b'D3-129************************\trssi:-54\r\n', '')
('14:17:09.215825', b'D3-126************************\trssi:-55\r\n', '')
('14:17:09.215825', b'D3-127************************\trssi:-55\r\n', '')
('14:17:09.215825', b'D3-128************************\trssi:-55\r\n', '')
('14:17:09.215825', b'D3-130************************\trssi:-55\r\n', '')
('14:17:09.215825', b's-dur: 71243\r\n', '')
('14:17:09.215825', b'>\r\n', 'sent:100-25*')
('14:17:09.247061', b'b-dur: 39508\r\n', '')
('14:17:09.247061', b'>\r\n', 'sent:100-26*')
('14:17:09.278282', b'b-dur: 28960\r\n', '')
('14:17:09.278282', b'S\r\n', '')
('14:17:09.340788', b'D3-140************************\trssi:-54\r\n', '')
('14:17:09.340788', b'D3-141************************\trssi:-54\r\n', '')
('14:17:09.356410', b'D3-142************************\trssi:-54\r\n', '')
('14:17:09.356410', b'D3-143************************\trssi:-54\r\n', '')
('14:17:09.356410', b'D3-139************************\trssi:-55\r\n', '')
('14:17:09.356410', b'D3-144************************\trssi:-55\r\n', '')
('14:17:09.356410', b's-dur: 71258\r\n', '')
('14:17:09.356410', b'S\r\n', '')
('14:17:09.418902', b'D3-147************************\trssi:-55\r\n', '')
('14:17:09.418902', b'D3-146************************\trssi:-56\r\n', '')
('14:17:09.418902', b'D3-148************************\trssi:-56\r\n', '')
('14:17:09.434523', b'D3-149************************\trssi:-57\r\n', '')
('14:17:09.434523', b'D3-150************************\trssi:-58\r\n', '')
('14:17:09.434523', b'D3-151************************\trssi:-59\r\n', '')
('14:17:09.434523', b's-dur: 72604\r\n', '')
('14:17:09.434523', b'S\r\n', '')
('14:17:09.497002', b'D3-158************************\trssi:-55\r\n', '')
('14:17:09.497002', b'D3-159************************\trssi:-55\r\n', '')
('14:17:09.497002', b'D3-157************************\trssi:-56\r\n', '')
('14:17:09.497002', b'D3-156************************\trssi:-57\r\n', '')
