('14:55:09.504516', b'>\r\n', 'sent:80-8357*')
('14:55:09.547633', b'b-dur: 30964\r\n', '')
('14:55:09.548634', b'>\r\n', 'sent:80-8358*')
('14:55:09.571156', b'b-dur: 29964\r\n', '')
('14:55:09.571156', b'>\r\n', 'sent:80-8359*')
('14:55:09.602402', b'b-dur: 30964\r\n', '')
('14:55:09.602402', b'S\r\n', '')
('14:55:09.671653', b'D3-88792**********************\trssi:-53\r\n', '')
('14:55:09.671653', b'D3-88798**********************\trssi:-53\r\n', '')
('14:55:09.671653', b'D3-88790**********************\trssi:-54\r\n', '')
('14:55:09.671653', b'D3-88791**********************\trssi:-54\r\n', '')
('14:55:09.671653', b'D3-88793**********************\trssi:-54\r\n', '')
('14:55:09.687468', b'D3-88794**********************\trssi:-54\r\n', '')
('14:55:09.687468', b'D3-88795**********************\trssi:-54\r\n', '')
('14:55:09.687468', b'D3-88796**********************\trssi:-54\r\n', '')
('14:55:09.687468', b'D3-88797**********************\trssi:-54\r\n', '')
('14:55:09.687468', b's-dur: 81966\r\n', '')
('14:55:09.687468', b'>\r\n', 'sent:80-8360*')
('14:55:09.732801', b'b-dur: 40795\r\n', '')
('14:55:09.733905', b'>\r\n', 'sent:80-8361*')
('14:55:09.762717', b'b-dur: 30958\r\n', '')
('14:55:09.764807', b'>\r\n', 'sent:80-8362*')
('14:55:09.787659', b'b-dur: 29964\r\n', '')
('14:55:09.787659', b'S\r\n', '')
('14:55:09.855720', b'D3-88817**********************\trssi:-54\r\n', '')
('14:55:09.855720', b'D3-88818**********************\trssi:-54\r\n', '')
('14:55:09.855720', b'D3-88819**********************\trssi:-54\r\n', '')
('14:55:09.855720', b'D3-88821**********************\trssi:-54\r\n', '')
('14:55:09.871538', b'D3-88823**********************\trssi:-54\r\n', '')
('14:55:09.871538', b'D3-88820**********************\trssi:-55\r\n', '')
('14:55:09.871538', b'D3-88822**********************\trssi:-55\r\n', '')
('14:55:09.871538', b'D3-88824**********************\trssi:-55\r\n', '')
('14:55:09.871538', b's-dur: 78463\r\n', '')
('14:55:09.871538', b'>\r\n', 'sent:80-8363*')
('14:55:09.902879', b'b-dur: 40290\r\n', '')
('14:55:09.902879', b'>\r\n', 'sent:80-8364*')
('14:55:09.943665', b'b-dur: 29958\r\n', '')
('14:55:09.944618', b'S\r\n', '')
('14:55:10.002968', b'D3-88840**********************\trssi:-54\r\n', '')
('14:55:10.002968', b'D3-88841**********************\trssi:-54\r\n', '')
('14:55:10.002968', b'D3-88843**********************\trssi:-54\r\n', '')
('14:55:10.002968', b'D3-88844**********************\trssi:-54\r\n', '')
('14:55:10.021764', b'D3-88845**********************\trssi:-54\r\n', '')
('14:55:10.025508', b'D3-88838**********************\trssi:-55\r\n', '')
('14:55:10.028609', b'D3-88839**********************\trssi:-55\r\n', '')
('14:55:10.032780', b'D3-88842**********************\trssi:-55\r\n', '')
('14:55:10.035585', b'D3-88846**********************\trssi:-55\r\n', '')
('14:55:10.036581', b's-dur: 81949\r\n', '')
('14:55:10.037579', b'S\r\n', '')
('14:55:10.089312', b'D3-88850**********************\trssi:-54\r\n', '')
('14:55:10.089312', b'D3-88852**********************\trssi:-54\r\n', '')
('14:55:10.089312', b'D3-88854**********************\trssi:-54\r\n', '')
('14:55:10.089312', b'D3-88855**********************\trssi:-54\r\n', '')
('14:55:10.105022', b'D3-88856**********************\trssi:-54\r\n', '')
('14:55:10.108040', b'D3-88858**********************\trssi:-54\r\n', '')
('14:55:10.112542', b'D3-88851**********************\trssi:-55\r\n', '')
('14:55:10.115659', b'D3-88853**********************\trssi:-55\r\n', '')
('14:55:10.119227', b'D3-88857**********************\trssi:-55\r\n', '')
('14:55:10.120041', b's-dur: 82332\r\n', '')
('14:55:10.120041', b'>\r\n', 'sent:80-8365*')
('14:55:10.150774', b'b-dur: 40259\r\n', '')
('14:55:10.151806', b'>\r\n', 'sent:80-8366*')
('14:55:10.170965', b'b-dur: 29958\r\n', '')
('14:55:10.170965', b'S\r\n', '')
('14:55:10.244800', b'D3-88878**********************\trssi:-53\r\n', '')
('14:55:10.246793', b'D3-88880**********************\trssi:-53\r\n', '')
('14:55:10.250783', b'D3-88872**********************\trssi:-54\r\n', '')
('14:55:10.255121', b'D3-88873**********************\trssi:-54\r\n', '')
('14:55:10.255121', b'D3-88874**********************\trssi:-54\r\n', '')
('14:55:10.255121', b'D3-88875**********************\trssi:-54\r\n', '')
('14:55:10.255121', b'D3-88876**********************\trssi:-54\r\n', '')
('14:55:10.255121', b'D3-88877**********************\trssi:-54\r\n', '')
('14:55:10.270761', b'D3-88879**********************\trssi:-54\r\n', '')
('14:55:10.270761', b's-dur: 82017\r\n', '')
('14:55:10.270761', b'S\r\n', '')
('14:55:10.327360', b'D3-88884**********************\trssi:-54\r\n', '')
('14:55:10.331427', b'D3-88885**********************\trssi:-54\r\n', '')
('14:55:10.335417', b'D3-88886**********************\trssi:-54\r\n', '')
('14:55:10.338409', b'D3-88887**********************\trssi:-54\r\n', '')
('14:55:10.341788', b'D3-88888**********************\trssi:-54\r\n', '')
('14:55:10.345531', b'D3-88889**********************\trssi:-54\r\n', '')
('14:55:10.348806', b'D3-88890**********************\trssi:-54\r\n', '')
('14:55:10.351839', b'D3-88891**********************\trssi:-54\r\n', '')
('14:55:10.353836', b's-dur: 78784\r\n', '')
('14:55:10.353836', b'S\r\n', '')
('14:55:10.402078', b'D3-88895**********************\trssi:-54\r\n', '')
('14:55:10.402078', b'D3-88896**********************\trssi:-54\r\n', '')
('14:55:10.402078', b'D3-88898**********************\trssi:-54\r\n', '')
('14:55:10.417949', b'D3-88899**********************\trssi:-54\r\n', '')
('14:55:10.421939', b'D3-88900**********************\trssi:-54\r\n', '')
('14:55:10.424953', b'D3-88901**********************\trssi:-54\r\n', '')
('14:55:10.429563', b'D3-88902**********************\trssi:-54\r\n', '')
('14:55:10.432582', b'D3-88903**********************\trssi:-54\r\n', '')
('14:55:10.436572', b'D3-88897**********************\trssi:-55\r\n', '')
('14:55:10.437562', b's-dur: 82421\r\n', '')
('14:55:10.437562', b'S\r\n', '')
('14:55:10.487855', b'D3-88907**********************\trssi:-54\r\n', '')
('14:55:10.487855', b'D3-88908**********************\trssi:-54\r\n', '')
('14:55:10.487855', b'D3-88909**********************\trssi:-54\r\n', '')
('14:55:10.487855', b'D3-88910**********************\trssi:-54\r\n', '')
('14:55:10.503636', b'D3-88911**********************\trssi:-54\r\n', '')
('14:55:10.503636', b'D3-88912**********************\trssi:-54\r\n', '')
('14:55:10.503636', b'D3-88913**********************\trssi:-54\r\n', '')
('14:55:10.503636', b'D3-88914**********************\trssi:-54\r\n', '')
('14:55:10.519354', b'D3-88915**********************\trssi:-54\r\n', '')
('14:55:10.521346', b's-dur: 82335\r\n', '')
('14:55:10.521346', b'S\r\n', '')
('14:55:10.572475', b'D3-88922**********************\trssi:-53\r\n', '')
('14:55:10.572475', b'D3-88919**********************\trssi:-54\r\n', '')
('14:55:10.572475', b'D3-88920**********************\trssi:-54\r\n', '')
('14:55:10.572475', b'D3-88921**********************\trssi:-54\r\n', '')
('14:55:10.587934', b'D3-88923**********************\trssi:-54\r\n', '')
('14:55:10.587934', b'D3-88924**********************\trssi:-54\r\n', '')
('14:55:10.587934', b'D3-88925**********************\trssi:-54\r\n', '')
('14:55:10.587934', b'D3-88926**********************\trssi:-54\r\n', '')
('14:55:10.603661', b'D3-88927**********************\trssi:-55\r\n', '')
('14:55:10.603661', b's-dur: 82418\r\n', '')
('14:55:10.603661', b'>\r\n', 'sent:80-8367*')
('14:55:10.635097', b'b-dur: 40932\r\n', '')
('14:55:10.635949', b'>\r\n', 'sent:80-8368*')
('14:55:10.665676', b'b-dur: 29958\r\n', '')
('14:55:10.666614', b'S\r\n', '')
('14:55:10.729680', b'D3-88941**********************\trssi:-54\r\n', '')
('14:55:10.732633', b'D3-88942**********************\trssi:-54\r\n', '')
('14:55:10.736680', b'D3-88943**********************\trssi:-54\r\n', '')
('14:55:10.739566', b'D3-88944**********************\trssi:-54\r\n', '')
('14:55:10.743627', b'D3-88945**********************\trssi:-54\r\n', '')
('14:55:10.746648', b'D3-88946**********************\trssi:-54\r\n', '')
('14:55:10.749642', b'D3-88947**********************\trssi:-54\r\n', '')
('14:55:10.753631', b'D3-88948**********************\trssi:-54\r\n', '')
('14:55:10.755687', b'D3-88949**********************\trssi:-54\r\n', '')
('14:55:10.755687', b's-dur: 81922\r\n', '')
('14:55:10.755687', b'>\r\n', 'sent:80-8369*')
('14:55:10.787225', b'b-dur: 39830\r\n', '')
('14:55:10.787225', b'>\r\n', 'sent:80-8370*')
('14:55:10.802845', b'b-dur: 28958\r\n', '')
('14:55:10.818621', b'>\r\n', 'sent:80-8371*')
('14:55:10.846073', b'b-dur: 28964\r\n', '')
('14:55:10.847086', b'S\r\n', '')
('14:55:10.903193', b'D3-88967**********************\trssi:-54\r\n', '')
('14:55:10.903193', b'D3-88968**********************\trssi:-54\r\n', '')
('14:55:10.903193', b'D3-88969**********************\trssi:-54\r\n', '')
('14:55:10.919948', b'D3-88970**********************\trssi:-54\r\n', '')
('14:55:10.923938', b'D3-88971**********************\trssi:-54\r\n', '')
('14:55:10.928114', b'D3-88972**********************\trssi:-54\r\n', '')
('14:55:10.931273', b'D3-88973**********************\trssi:-54\r\n', '')
('14:55:10.934743', b'D3-88974**********************\trssi:-54\r\n', '')
('14:55:10.937736', b'D3-88975**********************\trssi:-54\r\n', '')
('14:55:10.939732', b's-dur: 81976\r\n', '')
('14:55:10.939732', b'>\r\n', 'sent:80-8372*')
('14:55:10.971080', b'b-dur: 41778\r\n', '')
('14:55:10.972353', b'S\r\n', '')
('14:55:11.035647', b'D3-88985**********************\trssi:-54\r\n', '')
('14:55:11.038609', b'D3-88986**********************\trssi:-54\r\n', '')
('14:55:11.042637', b'D3-88987**********************\trssi:-54\r\n', '')
('14:55:11.046662', b'D3-88989**********************\trssi:-54\r\n', '')
('14:55:11.049658', b'D3-88991**********************\trssi:-54\r\n', '')
('14:55:11.053008', b'D3-88992**********************\trssi:-54\r\n', '')
('14:55:11.056003', b'D3-88993**********************\trssi:-54\r\n', '')
('14:55:11.060219', b'D3-88988**********************\trssi:-55\r\n', '')
('14:55:11.063612', b'D3-88990**********************\trssi:-55\r\n', '')
('14:55:11.065630', b's-dur: 81991\r\n', '')
('14:55:11.065863', b'>\r\n', 'sent:80-8373*')
('14:55:11.087724', b'b-dur: 39756\r\n', '')
('14:55:11.087724', b'S\r\n', '')
('14:55:11.156180', b'D3-89003**********************\trssi:-54\r\n', '')
('14:55:11.156180', b'D3-89004**********************\trssi:-54\r\n', '')
('14:55:11.156180', b'D3-89005**********************\trssi:-54\r\n', '')
('14:55:11.156180', b'D3-89007**********************\trssi:-54\r\n', '')
('14:55:11.171804', b'D3-89008**********************\trssi:-54\r\n', '')
('14:55:11.171804', b'D3-89009**********************\trssi:-54\r\n', '')
('14:55:11.171804', b'D3-89006**********************\trssi:-55\r\n', '')
('14:55:11.171804', b'D3-89010**********************\trssi:-55\r\n', '')
('14:55:11.171804', b's-dur: 78416\r\n', '')
('14:55:11.171804', b'>\r\n', 'sent:80-8374*')
('14:55:11.203322', b'b-dur: 39331\r\n', '')
('14:55:11.203322', b'S\r\n', '')
('14:55:11.272234', b'D3-89022**********************\trssi:-53\r\n', '')
('14:55:11.272234', b'D3-89023**********************\trssi:-53\r\n', '')
('14:55:11.272234', b'D3-89024**********************\trssi:-53\r\n', '')
('14:55:11.287856', b'D3-89026**********************\trssi:-53\r\n', '')
('14:55:11.287856', b'D3-89027**********************\trssi:-53\r\n', '')
('14:55:11.287856', b'D3-89020**********************\trssi:-54\r\n', '')
('14:55:11.287856', b'D3-89021**********************\trssi:-54\r\n', '')
('14:55:11.287856', b'D3-89025**********************\trssi:-54\r\n', '')
('14:55:11.303510', b's-dur: 78393\r\n', '')
('14:55:11.303510', b'S\r\n', '')
('14:55:11.357322', b'D3-89032**********************\trssi:-53\r\n', '')
('14:55:11.360516', b'D3-89036**********************\trssi:-53\r\n', '')
('14:55:11.364509', b'D3-89037**********************\trssi:-53\r\n', '')
('14:55:11.368643', b'D3-89038**********************\trssi:-53\r\n', '')
('14:55:11.371625', b'D3-89031**********************\trssi:-54\r\n', '')
