('14:57:24.130813', b's-dur: 68022\r\n', '')
('14:57:24.131818', b'>\r\n', 'sent:64-26*')
('14:57:24.159907', b'b-dur: 38837\r\n', '')
('14:57:24.160916', b'>\r\n', 'sent:64-27*')
('14:57:24.183533', b'b-dur: 26962\r\n', '')
('14:57:24.183533', b'>\r\n', 'sent:64-28*')
('14:57:24.215050', b'b-dur: 29964\r\n', '')
('14:57:24.215050', b'S\r\n', '')
('14:57:24.267778', b'D3-61*************************\trssi:-39\r\n', '')
('14:57:24.283403', b'D3-62*************************\trssi:-40\r\n', '')
('14:57:24.283403', b'D3-63*************************\trssi:-41\r\n', '')
('14:57:24.283403', b'D3-64*************************\trssi:-42\r\n', '')
('14:57:24.283403', b'D3-65*************************\trssi:-42\r\n', '')
('14:57:24.283403', b's-dur: 67764\r\n', '')
('14:57:24.283403', b'S\r\n', '')
('14:57:24.349572', b'D3-66*************************\trssi:-42\r\n', '')
('14:57:24.353561', b'D3-67*************************\trssi:-43\r\n', '')
('14:57:24.357559', b'D3-68*************************\trssi:-43\r\n', '')
('14:57:24.360557', b'D3-70*************************\trssi:-43\r\n', '')
('14:57:24.364547', b'D3-69*************************\trssi:-44\r\n', '')
('14:57:24.365543', b's-dur: 68085\r\n', '')
('14:57:24.366540', b'>\r\n', 'sent:64-29*')
('14:57:24.385196', b'b-dur: 40695\r\n', '')
('14:57:24.385196', b'>\r\n', 'sent:64-30*')
('14:57:24.426569', b'b-dur: 29962\r\n', '')
('14:57:24.426839', b'S\r\n', '')
('14:57:24.482751', b'D3-77*************************\trssi:-44\r\n', '')
('14:57:24.482751', b'D3-78*************************\trssi:-44\r\n', '')
('14:57:24.482751', b'D3-79*************************\trssi:-44\r\n', '')
('14:57:24.498266', b'D3-80*************************\trssi:-44\r\n', '')
('14:57:24.498266', b'D3-81*************************\trssi:-44\r\n', '')
('14:57:24.498266', b's-dur: 67680\r\n', '')
('14:57:24.498266', b'>\r\n', 'sent:64-31*')
('14:57:24.536039', b'b-dur: 41075\r\n', '')
('14:57:24.536039', b'>\r\n', 'sent:64-32*')
('14:57:24.565248', b'b-dur: 28961\r\n', '')
('14:57:24.565248', b'S\r\n', '')
('14:57:24.614596', b'D3-89*************************\trssi:-42\r\n', '')
('14:57:24.632526', b'D3-88*************************\trssi:-43\r\n', '')
('14:57:24.635498', b'D3-90*************************\trssi:-43\r\n', '')
('14:57:24.639563', b'D3-91*************************\trssi:-43\r\n', '')
('14:57:24.640529', b's-dur: 64193\r\n', '')
('14:57:24.641552', b'>\r\n', 'sent:64-33*')
('14:57:24.670876', b'b-dur: 40562\r\n', '')
('14:57:24.670876', b'S\r\n', '')
('14:57:24.734477', b'D3-97*************************\trssi:-42\r\n', '')
('14:57:24.738461', b'D3-98*************************\trssi:-42\r\n', '')
('14:57:24.742527', b'D3-96*************************\trssi:-43\r\n', '')
('14:57:24.745600', b'D3-99*************************\trssi:-43\r\n', '')
('14:57:24.749567', b'D3-100************************\trssi:-43\r\n', '')
('14:57:24.749567', b's-dur: 67746\r\n', '')
('14:57:24.750565', b'>\r\n', 'sent:64-34*')
('14:57:24.766716', b'b-dur: 39999\r\n', '')
('14:57:24.766716', b'>\r\n', 'sent:64-35*')
('14:57:24.801921', b'b-dur: 26962\r\n', '')
('14:57:24.801921', b'>\r\n', 'sent:64-36*')
('14:57:24.836684', b'b-dur: 29964\r\n', '')
('14:57:24.836684', b'>\r\n', 'sent:64-37*')
('14:57:24.867017', b'b-dur: 29964\r\n', '')
('14:57:24.867017', b'S\r\n', '')
('14:57:24.930719', b'D3-111************************\trssi:-42\r\n', '')
('14:57:24.933710', b'D3-112************************\trssi:-42\r\n', '')
('14:57:24.938455', b'D3-113************************\trssi:-43\r\n', '')
('14:57:24.941452', b'D3-114************************\trssi:-43\r\n', '')
('14:57:24.942457', b's-dur: 64139\r\n', '')
('14:57:24.943447', b'S\r\n', '')
('14:57:24.983573', b'D3-116************************\trssi:-43\r\n', '')
('14:57:24.999345', b'D3-117************************\trssi:-43\r\n', '')
('14:57:24.999345', b'D3-118************************\trssi:-43\r\n', '')
('14:57:24.999345', b'D3-119************************\trssi:-43\r\n', '')
('14:57:24.999345', b'D3-120************************\trssi:-44\r\n', '')
('14:57:24.999345', b's-dur: 68013\r\n', '')
('14:57:24.999345', b'S\r\n', '')
('14:57:25.065608', b'D3-121************************\trssi:-42\r\n', '')
('14:57:25.069448', b'D3-123************************\trssi:-42\r\n', '')
('14:57:25.072512', b'D3-122************************\trssi:-43\r\n', '')
('14:57:25.076516', b'D3-124************************\trssi:-43\r\n', '')
('14:57:25.080606', b'D3-125************************\trssi:-43\r\n', '')
('14:57:25.081603', b's-dur: 68027\r\n', '')
('14:57:25.081603', b'>\r\n', 'sent:64-38*')
('14:57:25.100495', b'b-dur: 39153\r\n', '')
('14:57:25.100495', b'S\r\n', '')
('14:57:25.173567', b'D3-131************************\trssi:-42\r\n', '')
('14:57:25.177532', b'D3-132************************\trssi:-43\r\n', '')
('14:57:25.181551', b'D3-133************************\trssi:-43\r\n', '')
('14:57:25.184648', b'D3-130************************\trssi:-44\r\n', '')
('14:57:25.184648', b's-dur: 64123\r\n', '')
('14:57:25.184648', b'>\r\n', 'sent:64-39*')
('14:57:25.200271', b'b-dur: 39630\r\n', '')
('14:57:25.215899', b'>\r\n', 'sent:64-40*')
('14:57:25.245159', b'b-dur: 29962\r\n', '')
('14:57:25.245159', b'>\r\n', 'sent:64-41*')
('14:57:25.274576', b'b-dur: 28964\r\n', '')
('14:57:25.274576', b'>\r\n', 'sent:64-42*')
('14:57:25.300908', b'b-dur: 28964\r\n', '')
('14:57:25.300908', b'>\r\n', 'sent:64-43*')
('14:57:25.333272', b'b-dur: 29964\r\n', '')
('14:57:25.333272', b'>\r\n', 'sent:64-44*')
('14:57:25.362168', b'b-dur: 28964\r\n', '')
('14:57:25.362168', b'S\r\n', '')
('14:57:25.413567', b'D3-150************************\trssi:-42\r\n', '')
('14:57:25.429584', b'D3-149************************\trssi:-43\r\n', '')
('14:57:25.432605', b'D3-151************************\trssi:-43\r\n', '')
('14:57:25.436565', b'D3-152************************\trssi:-43\r\n', '')
('14:57:25.440504', b'D3-153************************\trssi:-44\r\n', '')
('14:57:25.441511', b's-dur: 67762\r\n', '')
('14:57:25.441511', b'>\r\n', 'sent:64-45*')
('14:57:25.467000', b'b-dur: 38993\r\n', '')
('14:57:25.467000', b'>\r\n', 'sent:64-46*')
