('14:29:44.420189', b'b-dur: 41509\r\n', '')
('14:29:44.422275', b'>\r\n', 'sent:100-10897*')
('14:29:44.447514', b'b-dur: 29959\r\n', '')
('14:29:44.447514', b'S\r\n', '')
('14:29:44.514586', b'D3-75654**********************\trssi:-42\r\n', '')
('14:29:44.517862', b'D3-75655**********************\trssi:-42\r\n', '')
('14:29:44.522146', b'D3-75657**********************\trssi:-43\r\n', '')
('14:29:44.524589', b'D3-75656**********************\trssi:-44\r\n', '')
('14:29:44.529004', b'D3-75658**********************\trssi:-44\r\n', '')
('14:29:44.530137', b's-dur: 67666\r\n', '')
('14:29:44.530137', b'>\r\n', 'sent:100-10898*')
('14:29:44.548653', b'b-dur: 39091\r\n', '')
('14:29:44.548653', b'>\r\n', 'sent:100-10899*')
('14:29:44.580177', b'b-dur: 31960\r\n', '')
('14:29:44.580177', b'>\r\n', 'sent:100-10900*')
('14:29:44.621150', b'b-dur: 29964\r\n', '')
('14:29:44.622117', b'>\r\n', 'sent:100-10901*')
('14:29:44.651264', b'b-dur: 29964\r\n', '')
('14:29:44.651849', b'S\r\n', '')
('14:29:44.715001', b'D3-75677**********************\trssi:-40\r\n', '')
('14:29:44.718305', b'D3-75678**********************\trssi:-40\r\n', '')
('14:29:44.722312', b'D3-75676**********************\trssi:-41\r\n', '')
('14:29:44.725289', b'D3-75675**********************\trssi:-42\r\n', '')
('14:29:44.729286', b'D3-75679**********************\trssi:-42\r\n', '')
('14:29:44.732209', b'D3-75674**********************\trssi:-44\r\n', '')
('14:29:44.734258', b's-dur: 71259\r\n', '')
('14:29:44.734544', b'>\r\n', 'sent:100-10902*')
('14:29:44.763905', b'b-dur: 40497\r\n', '')
('14:29:44.764962', b'S\r\n', '')
('14:29:44.828274', b'D3-75687**********************\trssi:-39\r\n', '')
('14:29:44.830682', b'D3-75688**********************\trssi:-39\r\n', '')
('14:29:44.835257', b'D3-75689**********************\trssi:-39\r\n', '')
('14:29:44.838260', b'D3-75685**********************\trssi:-40\r\n', '')
('14:29:44.842286', b'D3-75686**********************\trssi:-40\r\n', '')
('14:29:44.845253', b'D3-75690**********************\trssi:-41\r\n', '')
('14:29:44.847214', b's-dur: 71244\r\n', '')
('14:29:44.847214', b'>\r\n', 'sent:100-10903*')
('14:29:44.863930', b'b-dur: 39508\r\n', '')
('14:29:44.863930', b'>\r\n', 'sent:100-10904*')
('14:29:44.895277', b'b-dur: 29960\r\n', '')
('14:29:44.895277', b'>\r\n', 'sent:100-10905*')
('14:29:44.937990', b'b-dur: 31964\r\n', '')
('14:29:44.939434', b'>\r\n', 'sent:100-10906*')
('14:29:44.965654', b'b-dur: 29964\r\n', '')
('14:29:44.965654', b'>\r\n', 'sent:100-10907*')
('14:29:44.999238', b'b-dur: 30964\r\n', '')
('14:29:45.000273', b'>\r\n', 'sent:100-10908*')
('14:29:45.028647', b'b-dur: 29964\r\n', '')
('14:29:45.029834', b'>\r\n', 'sent:100-10909*')
('14:29:45.058906', b'b-dur: 29964\r\n', '')
('14:29:45.060088', b'S\r\n', '')
('14:29:45.123285', b'D3-75719**********************\trssi:-42\r\n', '')
('14:29:45.126345', b'D3-75720**********************\trssi:-42\r\n', '')
('14:29:45.130279', b'D3-75715**********************\trssi:-43\r\n', '')
('14:29:45.133250', b'D3-75718**********************\trssi:-43\r\n', '')
('14:29:45.137280', b'D3-75716**********************\trssi:-44\r\n', '')
('14:29:45.141283', b'D3-75717**********************\trssi:-44\r\n', '')
('14:29:45.142276', b's-dur: 71319\r\n', '')
('14:29:45.142276', b'S\r\n', '')
('14:29:45.195206', b'D3-75723**********************\trssi:-43\r\n', '')
('14:29:45.195206', b'D3-75726**********************\trssi:-43\r\n', '')
('14:29:45.195206', b'D3-75722**********************\trssi:-44\r\n', '')
('14:29:45.195206', b'D3-75724**********************\trssi:-44\r\n', '')
('14:29:45.195206', b'D3-75725**********************\trssi:-44\r\n', '')
('14:29:45.213010', b'D3-75727**********************\trssi:-44\r\n', '')
('14:29:45.215190', b's-dur: 71613\r\n', '')
('14:29:45.215190', b'S\r\n', '')
('14:29:45.263464', b'D3-75731**********************\trssi:-43\r\n', '')
('14:29:45.263464', b'D3-75732**********************\trssi:-43\r\n', '')
('14:29:45.263464', b'D3-75729**********************\trssi:-44\r\n', '')
('14:29:45.278990', b'D3-75730**********************\trssi:-44\r\n', '')
('14:29:45.278990', b'D3-75733**********************\trssi:-44\r\n', '')
('14:29:45.278990', b'D3-75734**********************\trssi:-44\r\n', '')
('14:29:45.278990', b's-dur: 71602\r\n', '')
('14:29:45.278990', b'S\r\n', '')
('14:29:45.342182', b'D3-75737**********************\trssi:-43\r\n', '')
('14:29:45.345175', b'D3-75738**********************\trssi:-43\r\n', '')
('14:29:45.348245', b'D3-75739**********************\trssi:-44\r\n', '')
('14:29:45.348245', b'D3-75740**********************\trssi:-44\r\n', '')
('14:29:45.348245', b'D3-75741**********************\trssi:-44\r\n', '')
('14:29:45.348245', b's-dur: 68772\r\n', '')
('14:29:45.348245', b'S\r\n', '')
('14:29:45.411024', b'D3-75745**********************\trssi:-42\r\n', '')
('14:29:45.415200', b'D3-75747**********************\trssi:-42\r\n', '')
('14:29:45.418153', b'D3-75744**********************\trssi:-43\r\n', '')
('14:29:45.422265', b'D3-75746**********************\trssi:-43\r\n', '')
('14:29:45.424565', b'D3-75748**********************\trssi:-43\r\n', '')
('14:29:45.429302', b'D3-75743**********************\trssi:-45\r\n', '')
('14:29:45.430281', b's-dur: 71635\r\n', '')
('14:29:45.430281', b'>\r\n', 'sent:100-10910*')
('14:29:45.461096', b'b-dur: 40970\r\n', '')
('14:29:45.462071', b'S\r\n', '')
('14:29:45.525303', b'D3-75756**********************\trssi:-42\r\n', '')
('14:29:45.528256', b'D3-75755**********************\trssi:-43\r\n', '')
('14:29:45.532244', b'D3-75757**********************\trssi:-43\r\n', '')
('14:29:45.535173', b'D3-75760**********************\trssi:-43\r\n', '')
('14:29:45.539178', b'D3-75758**********************\trssi:-44\r\n', '')
('14:29:45.543189', b'D3-75759**********************\trssi:-44\r\n', '')
('14:29:45.544186', b's-dur: 71267\r\n', '')
('14:29:45.544496', b'>\r\n', 'sent:100-10911*')
('14:29:45.564214', b'b-dur: 40484\r\n', '')
('14:29:45.564214', b'>\r\n', 'sent:100-10912*')
('14:29:45.595727', b'b-dur: 28960\r\n', '')
('14:29:45.595727', b'>\r\n', 'sent:100-10913*')
('14:29:45.633974', b'b-dur: 30964\r\n', '')
('14:29:45.635180', b'>\r\n', 'sent:100-10914*')
('14:29:45.648767', b'b-dur: 29964\r\n', '')
('14:29:45.664397', b'S\r\n', '')
('14:29:45.728245', b'D3-75775**********************\trssi:-43\r\n', '')
('14:29:45.731062', b'D3-75776**********************\trssi:-43\r\n', '')
('14:29:45.735276', b'D3-75777**********************\trssi:-43\r\n', '')
('14:29:45.738337', b'D3-75779**********************\trssi:-43\r\n', '')
('14:29:45.742331', b'D3-75778**********************\trssi:-44\r\n', '')
('14:29:45.745344', b'D3-75780**********************\trssi:-44\r\n', '')
('14:29:45.746320', b's-dur: 71273\r\n', '')
('14:29:45.747317', b'S\r\n', '')
('14:29:45.800012', b'D3-75782**********************\trssi:-43\r\n', '')
('14:29:45.804365', b'D3-75785**********************\trssi:-43\r\n', '')
('14:29:45.808344', b'D3-75787**********************\trssi:-43\r\n', '')
('14:29:45.811339', b'D3-75783**********************\trssi:-44\r\n', '')
('14:29:45.814331', b'D3-75784**********************\trssi:-44\r\n', '')
('14:29:45.818349', b'D3-75786**********************\trssi:-44\r\n', '')
('14:29:45.819348', b's-dur: 71580\r\n', '')
('14:29:45.820341', b'>\r\n', 'sent:100-10915*')
('14:29:45.847209', b'b-dur: 39692\r\n', '')
('14:29:45.847209', b'S\r\n', '')
('14:29:45.912244', b'D3-75797**********************\trssi:-43\r\n', '')
('14:29:45.916218', b'D3-75798**********************\trssi:-43\r\n', '')
('14:29:45.919209', b'D3-75794**********************\trssi:-44\r\n', '')
('14:29:45.923198', b'D3-75795**********************\trssi:-44\r\n', '')
