('16:53:53.785290', b'>\r\n', 'sent:120-3*')
('16:53:53.816798', b'b-dur: 40044\r\n', '')
('16:53:53.816798', b'>\r\n', 'sent:120-4*')
('16:53:53.848036', b'b-dur: 28951\r\n', '')
('16:53:53.848036', b'>\r\n', 'sent:120-5*')
('16:53:53.869963', b'b-dur: 29964\r\n', '')
('16:53:53.869963', b'>\r\n', 'sent:120-6*')
('16:53:53.901226', b'b-dur: 30964\r\n', '')
('16:53:53.901226', b'>\r\n', 'sent:120-7*')
('16:53:53.932465', b'b-dur: 30964\r\n', '')
('16:53:53.932465', b'>\r\n', 'sent:120-8*')
('16:53:53.969925', b'b-dur: 30964\r\n', '')
('16:53:53.969925', b'>\r\n', 'sent:120-9*')
('16:53:54.001175', b'b-dur: 29964\r\n', '')
('16:53:54.001175', b'>\r\n', 'sent:120-10*')
('16:53:54.032418', b'b-dur: 29964\r\n', '')
('16:53:54.032418', b'>\r\n', 'sent:120-11*')
('16:53:54.054045', b'b-dur: 30964\r\n', '')
('16:53:54.054045', b'S\r\n', '')
('16:53:54.116812', b'D3-51326**********************\trssi:-41\r\n', '')
('16:53:54.132195', b'D3-51328**********************\trssi:-41\r\n', '')
('16:53:54.132195', b'D3-51329**********************\trssi:-41\r\n', '')
('16:53:54.132195', b'D3-51330**********************\trssi:-41\r\n', '')
('16:53:54.132195', b'D3-51332**********************\trssi:-41\r\n', '')
('16:53:54.147951', b'D3-51338**********************\trssi:-41\r\n', '')
('16:53:54.147951', b'D3-51343**********************\trssi:-41\r\n', '')
('16:53:54.153971', b'D3-51327**********************\trssi:-42\r\n', '')
('16:53:54.153971', b'D3-51331**********************\trssi:-42\r\n', '')
('16:53:54.153971', b'D3-51333**********************\trssi:-42\r\n', '')
('16:53:54.153971', b'D3-51335**********************\trssi:-42\r\n', '')
('16:53:54.169596', b'D3-51336**********************\trssi:-42\r\n', '')
('16:53:54.169596', b'D3-51340**********************\trssi:-42\r\n', '')
('16:53:54.169596', b'D3-51342**********************\trssi:-42\r\n', '')
('16:53:54.169596', b'D3-51344**********************\trssi:-42\r\n', '')
('16:53:54.169596', b'D3-51345**********************\trssi:-42\r\n', '')
('16:53:54.185237', b'D3-51346**********************\trssi:-42\r\n', '')
('16:53:54.185237', b'D3-51322**********************\trssi:-43\r\n', '')
('16:53:54.185237', b'D3-51323**********************\trssi:-43\r\n', '')
('16:53:54.185237', b'D3-51324**********************\trssi:-43\r\n', '')
('16:53:54.200987', b'D3-51325**********************\trssi:-43\r\n', '')
('16:53:54.200987', b'D3-51334**********************\trssi:-43\r\n', '')
('16:53:54.200987', b'D3-51337**********************\trssi:-43\r\n', '')
('16:53:54.200987', b'D3-51339**********************\trssi:-43\r\n', '')
('16:53:54.200987', b'D3-51341**********************\trssi:-43\r\n', '')
