('15:59:26.230753', b's-dur: 61543\r\n', '')
('15:59:26.230753', b'>\r\n', 'sent:50-35*')
('15:59:26.273032', b'b-dur: 39945\r\n', '')
('15:59:26.273316', b'>\r\n', 'sent:50-36*')
('15:59:26.300431', b'b-dur: 29960\r\n', '')
('15:59:26.300431', b'>\r\n', 'sent:50-37*')
('15:59:26.331849', b'b-dur: 29964\r\n', '')
('15:59:26.331849', b'>\r\n', 'sent:50-38*')
('15:59:26.364073', b'b-dur: 30964\r\n', '')
('15:59:26.364073', b'>\r\n', 'sent:50-39*')
('15:59:26.394173', b'b-dur: 29964\r\n', '')
('15:59:26.394173', b'>\r\n', 'sent:50-40*')
('15:59:26.415588', b'b-dur: 28964\r\n', '')
('15:59:26.415588', b'>\r\n', 'sent:50-41*')
('15:59:26.452333', b'b-dur: 29964\r\n', '')
('15:59:26.452333', b'S\r\n', '')
('15:59:26.515256', b'D3-34*************************\trssi:-45\r\n', '')
('15:59:26.515256', b'D3-35*************************\trssi:-47\r\n', '')
('15:59:26.515256', b's-dur: 61170\r\n', '')
('15:59:26.515256', b'>\r\n', 'sent:50-42*')
('15:59:26.552135', b'b-dur: 37760\r\n', '')
('15:59:26.552429', b'>\r\n', 'sent:50-43*')
('15:59:26.582251', b'b-dur: 30960\r\n', '')
('15:59:26.583254', b'>\r\n', 'sent:50-44*')
('15:59:26.599405', b'b-dur: 29964\r\n', '')
('15:59:26.599405', b'S\r\n', '')
('15:59:26.676067', b'D3-43*************************\trssi:-45\r\n', '')
('15:59:26.680190', b'D3-42*************************\trssi:-46\r\n', '')
('15:59:26.681154', b's-dur: 61202\r\n', '')
('15:59:26.681154', b'>\r\n', 'sent:50-45*')
('15:59:26.699915', b'b-dur: 35728\r\n', '')
('15:59:26.699915', b'S\r\n', '')
('15:59:26.772710', b'D3-47*************************\trssi:-43\r\n', '')
('15:59:26.776666', b'D3-46*************************\trssi:-44\r\n', '')
('15:59:26.780107', b'D3-48*************************\trssi:-44\r\n', '')
('15:59:26.780905', b's-dur: 61273\r\n', '')
('15:59:26.782095', b'>\r\n', 'sent:50-46*')
('15:59:26.798946', b'b-dur: 40210\r\n', '')
('15:59:26.798946', b'S\r\n', '')
('15:59:26.875095', b'D3-53*************************\trssi:-41\r\n', '')
('15:59:26.879183', b'D3-52*************************\trssi:-42\r\n', '')
('15:59:26.879539', b's-dur: 61179\r\n', '')
('15:59:26.879539', b'S\r\n', '')
('15:59:26.930858', b'D3-54*************************\trssi:-41\r\n', '')
('15:59:26.930858', b'D3-55*************************\trssi:-41\r\n', '')
('15:59:26.930858', b'D3-57*************************\trssi:-41\r\n', '')
('15:59:26.946698', b'D3-56*************************\trssi:-42\r\n', '')
('15:59:26.947894', b's-dur: 64199\r\n', '')
('15:59:26.947894', b'S\r\n', '')
('15:59:26.998812', b'D3-58*************************\trssi:-41\r\n', '')
('15:59:26.998812', b'D3-59*************************\trssi:-41\r\n', '')
('15:59:26.998812', b'D3-60*************************\trssi:-41\r\n', '')
('15:59:26.998812', b's-dur: 61632\r\n', '')
('15:59:26.998812', b'>\r\n', 'sent:50-47*')
('15:59:27.030333', b'b-dur: 38226\r\n', '')
('15:59:27.030333', b'>\r\n', 'sent:50-48*')
('15:59:27.068322', b'b-dur: 29960\r\n', '')
('15:59:27.068322', b'>\r\n', 'sent:50-49*')
('15:59:27.098288', b'b-dur: 29964\r\n', '')
('15:59:27.098288', b'S\r\n', '')
('15:59:27.162215', b'D3-66*************************\trssi:-43\r\n', '')
('15:59:27.165216', b'D3-67*************************\trssi:-44\r\n', '')
('15:59:27.169201', b'D3-68*************************\trssi:-44\r\n', '')
('15:59:27.170193', b's-dur: 61391\r\n', '')
('15:59:27.171192', b'>\r\n', 'sent:50-50*')
('15:59:27.199213', b'b-dur: 39096\r\n', '')
('15:59:27.199213', b'>\r\n', 'sent:50-51*')
('15:59:27.215113', b'b-dur: 28960\r\n', '')
('15:59:27.215113', b'>\r\n', 'sent:50-52*')
('15:59:27.258169', b'b-dur: 28964\r\n', '')
('15:59:27.258169', b'>\r\n', 'sent:50-53*')
('15:59:27.288117', b'b-dur: 29964\r\n', '')
('15:59:27.288117', b'>\r\n', 'sent:50-54*')
('15:59:27.315286', b'b-dur: 28964\r\n', '')
('15:59:27.315286', b'>\r\n', 'sent:50-55*')
('15:59:27.331144', b'b-dur: 28964\r\n', '')
('15:59:27.331144', b'S\r\n', '')
('15:59:27.398725', b'D3-80*************************\trssi:-41\r\n', '')
('15:59:27.398725', b'D3-78*************************\trssi:-42\r\n', '')
('15:59:27.414357', b'D3-79*************************\trssi:-43\r\n', '')
('15:59:27.414357', b's-dur: 61345\r\n', '')
('15:59:27.414357', b'>\r\n', 'sent:50-56*')
('15:59:27.448236', b'b-dur: 41142\r\n', '')
('15:59:27.449211', b'>\r\n', 'sent:50-57*')
('15:59:27.476108', b'b-dur: 27960\r\n', '')
('15:59:27.477076', b'S\r\n', '')
('15:59:27.530283', b'D3-87*************************\trssi:-41\r\n', '')
('15:59:27.530283', b'D3-85*************************\trssi:-42\r\n', '')
('15:59:27.546980', b'D3-86*************************\trssi:-42\r\n', '')
('15:59:27.547989', b's-dur: 61268\r\n', '')
('15:59:27.547989', b'S\r\n', '')
('15:59:27.598491', b'D3-88*************************\trssi:-41\r\n', '')
('15:59:27.598491', b'D3-90*************************\trssi:-41\r\n', '')
('15:59:27.598491', b'D3-89*************************\trssi:-42\r\n', '')
('15:59:27.598491', b's-dur: 61626\r\n', '')
('15:59:27.598491', b'>\r\n', 'sent:50-58*')
('15:59:27.629991', b'b-dur: 40115\r\n', '')
('15:59:27.629991', b'S\r\n', '')
('15:59:27.699259', b'D3-94*************************\trssi:-41\r\n', '')
('15:59:27.699259', b'D3-93*************************\trssi:-42\r\n', '')
('15:59:27.699259', b'D3-95*************************\trssi:-43\r\n', '')
('15:59:27.699259', b's-dur: 61289\r\n', '')
('15:59:27.699259', b'S\r\n', '')
('15:59:27.765990', b'D3-98*************************\trssi:-41\r\n', '')
('15:59:27.770116', b'D3-96*************************\trssi:-42\r\n', '')
('15:59:27.773221', b'D3-97*************************\trssi:-43\r\n', '')
('15:59:27.774219', b's-dur: 61637\r\n', '')
('15:59:27.775181', b'>\r\n', 'sent:50-59*')
('15:59:27.798738', b'b-dur: 40079\r\n', '')
('15:59:27.798738', b'>\r\n', 'sent:50-60*')
('15:59:27.834862', b'b-dur: 29960\r\n', '')
('15:59:27.834862', b'>\r\n', 'sent:50-61*')
('15:59:27.864584', b'b-dur: 29964\r\n', '')
('15:59:27.864584', b'>\r\n', 'sent:50-62*')
('15:59:27.894122', b'b-dur: 28964\r\n', '')
('15:59:27.894122', b'S\r\n', '')
('15:59:27.956503', b'D3-106************************\trssi:-42\r\n', '')
('15:59:27.960500', b'D3-107************************\trssi:-42\r\n', '')
('15:59:27.961490', b's-dur: 61152\r\n', '')
('15:59:27.961490', b'S\r\n', '')
('15:59:28.015651', b'D3-109************************\trssi:-41\r\n', '')
('15:59:28.015651', b'D3-111************************\trssi:-42\r\n', '')
('15:59:28.015651', b'D3-110************************\trssi:-43\r\n', '')
('15:59:28.015651', b's-dur: 61379\r\n', '')
('15:59:28.015651', b'>\r\n', 'sent:50-63*')
('15:59:28.056750', b'b-dur: 39920\r\n', '')
('15:59:28.056750', b'S\r\n', '')
('15:59:28.115897', b'D3-114************************\trssi:-41\r\n', '')
('15:59:28.115897', b'D3-116************************\trssi:-41\r\n', '')
('15:59:28.115897', b'D3-115************************\trssi:-42\r\n', '')
('15:59:28.115897', b's-dur: 61279\r\n', '')
('15:59:28.115897', b'>\r\n', 'sent:50-64*')
('15:59:28.158342', b'b-dur: 40205\r\n', '')
('15:59:28.158342', b'>\r\n', 'sent:50-65*')
('15:59:28.181899', b'b-dur: 29960\r\n', '')
('15:59:28.181899', b'>\r\n', 'sent:50-66*')
('15:59:28.213436', b'b-dur: 29964\r\n', '')
('15:59:28.213436', b'S\r\n', '')
('15:59:28.281365', b'D3-124************************\trssi:-41\r\n', '')
('15:59:28.283446', b'D3-122************************\trssi:-42\r\n', '')
('15:59:28.283446', b'D3-123************************\trssi:-42\r\n', '')
('15:59:28.283446', b's-dur: 61318\r\n', '')
('15:59:28.283446', b'S\r\n', '')
('15:59:28.330591', b'D3-125************************\trssi:-42\r\n', '')
('15:59:28.347343', b'D3-126************************\trssi:-42\r\n', '')
('15:59:28.350360', b'D3-127************************\trssi:-42\r\n', '')
('15:59:28.352320', b's-dur: 61618\r\n', '')
('15:59:28.352320', b'S\r\n', '')
('15:59:28.398554', b'D3-129************************\trssi:-43\r\n', '')
('15:59:28.398554', b'D3-128************************\trssi:-44\r\n', '')
('15:59:28.414193', b'D3-130************************\trssi:-44\r\n', '')
('15:59:28.414193', b's-dur: 62961\r\n', '')
('15:59:28.414193', b'>\r\n', 'sent:50-67*')
('15:59:28.445676', b'b-dur: 39652\r\n', '')
('15:59:28.446201', b'>\r\n', 'sent:50-68*')
('15:59:28.474628', b'b-dur: 28960\r\n', '')
('15:59:28.474628', b'>\r\n', 'sent:50-69*')
('15:59:28.499865', b'b-dur: 29964\r\n', '')
('15:59:28.499865', b'>\r\n', 'sent:50-70*')
('15:59:28.531401', b'b-dur: 28964\r\n', '')
('15:59:28.531401', b'S\r\n', '')
('15:59:28.581943', b'D3-139************************\trssi:-43\r\n', '')
('15:59:28.597571', b'D3-138************************\trssi:-44\r\n', '')
('15:59:28.597571', b's-dur: 61158\r\n', '')
('15:59:28.597571', b'>\r\n', 'sent:50-71*')
('15:59:28.629005', b'b-dur: 36772\r\n', '')
('15:59:28.629005', b'>\r\n', 'sent:50-72*')
('15:59:28.661258', b'b-dur: 28960\r\n', '')
('15:59:28.661258', b'>\r\n', 'sent:50-73*')
('15:59:28.683460', b'b-dur: 29964\r\n', '')
('15:59:28.683460', b'>\r\n', 'sent:50-74*')
('15:59:28.714981', b'b-dur: 29964\r\n', '')
('15:59:28.714981', b'>\r\n', 'sent:50-75*')
('15:59:28.750483', b'b-dur: 29964\r\n', '')
