('17:49:24.207418', '2-200')
('17:49:24.301198', '2-201')
('17:49:24.394953', '2-202')
('17:49:24.488657', '2-203')
('17:49:24.519919', '2-204')
('17:49:24.676136', '2-205')
('17:49:24.816729', '2-206')
('17:49:24.972848', '2-207')
('17:49:25.066682', '2-208')
('17:49:25.457125', '2-209')
('17:49:25.550929', '2-210')
('17:49:25.644595', '2-211')
('17:49:25.863357', '2-212')
('17:49:25.894621', '2-213')
('17:49:26.034916', '2-214')
('17:49:26.128930', '2-215')
('17:49:26.160155', '2-216')
('17:49:26.316394', '2-217')
('17:49:26.347620', '2-218')
('17:49:26.363242', '2-219')
('17:49:26.394235', '2-220')
('17:49:26.738175', '2-221')
('17:49:26.769413', '2-222')
('17:49:27.284906', '2-223')
('17:49:27.316152', '2-224')
('17:49:27.409867', '2-225')
('17:49:27.550491', '2-226')
('17:49:27.833157', '2-227')
('17:49:27.926892', '2-228')
('17:49:27.958132', '2-229')
('17:49:27.989327', '2-230')
('17:49:28.254720', '2-231')
('17:49:28.411161', '2-232')
('17:49:28.442414', '2-233')
('17:49:28.832932', '2-234')
('17:49:28.864168', '2-235')
('17:49:28.895434', '2-236')
('17:49:30.254380', '2-237')
('17:49:30.285720', '2-238')
('17:49:30.379449', '2-239')
('17:49:30.410709', '2-240')
('17:49:30.504143', '2-241')
('17:49:30.894956', '2-242')
('17:49:30.926215', '2-243')
('17:49:30.941771', '2-244')
('17:49:31.347974', '2-245')
('17:49:31.693667', '2-246')
('17:49:31.834260', '2-247')
('17:49:31.927971', '2-248')
('17:49:31.959232', '2-249')
('17:49:32.115373', '2-250')
('17:49:32.334134', '2-251')
('17:49:32.490357', '2-252')
('17:49:32.584072', '2-253')
('17:49:32.615510', '2-254')
('17:49:32.822190', '2-255')
('17:49:32.978461', '2-256')
('17:49:33.009702', '2-257')
('17:49:33.040737', '2-258')
('17:49:33.056278', '2-259')
('17:49:33.150290', '2-260')
('17:49:33.665786', '2-261')
('17:49:33.697027', '2-262')
('17:49:33.728291', '2-263')
('17:49:33.821940', '2-264')
('17:49:34.025077', '2-265')
('17:49:34.181291', '2-266')
('17:49:34.337227', '2-267')
('17:49:34.368733', '2-268')
('17:49:34.399995', '2-269')
('17:49:34.431150', '2-270')
('17:49:34.821723', '2-271')
('17:49:34.852983', '2-272')
('17:49:35.009245', '2-273')
('17:49:35.165454', '2-274')
('17:49:35.258911', '2-275')
('17:49:35.336995', '2-276')
('17:49:35.555956', '2-277')
('17:49:35.946233', '2-278')
('17:49:36.165206', '2-279')
('17:49:36.430771', '2-280')
('17:49:36.462019', '2-281')
('17:49:36.555495', '2-282')
('17:49:36.821254', '2-283')
('17:49:36.852567', '2-284')
('17:49:37.118112', '2-285')
('17:49:37.336566', '2-286')
('17:49:37.368053', '2-287')
