('10:49:02.550045', b'D1-49*************************\trssi:-14\r\n', '')
('10:49:02.550149', b'>\r\n', 'sent:2-72*')
('10:49:02.572048', b'>\r\n', 'sent:2-73*')
('10:49:02.594125', b'>\r\n', 'sent:2-74*')
('10:49:02.742017', b'D1-50*************************\trssi:-12\r\n', '')
('10:49:02.742129', b'>\r\n', 'sent:2-75*')
('10:49:02.825086', b'>\r\n', 'sent:2-76*')
('10:49:02.912044', b'D1-51*************************\trssi:-12\r\n', '')
('10:49:02.912155', b'>\r\n', 'sent:2-77*')
('10:49:02.995070', b'>\r\n', 'sent:2-78*')
('10:49:03.078087', b'>\r\n', 'sent:2-79*')
('10:49:03.225998', b'D1-52*************************\trssi:-12\r\n', '')
('10:49:03.226109', b'>\r\n', 'sent:2-80*')
('10:49:03.246185', b'>\r\n', 'sent:2-81*')
('10:49:03.394100', b'D1-54*************************\trssi:-12\r\n', '')
('10:49:03.394205', b'>\r\n', 'sent:2-82*')
('10:49:03.416097', b'>\r\n', 'sent:2-83*')
('10:49:03.624107', b'D1-55*************************\trssi:-12\r\n', '')
('10:49:03.628277', b'D1-56*************************\trssi:-12\r\n', '')
('10:49:03.628376', b'>\r\n', 'sent:2-84*')
('10:49:03.776124', b'D1-57*************************\trssi:-13\r\n', '')
('10:49:03.776240', b'>\r\n', 'sent:2-85*')
('10:49:03.920259', b'>\r\n', 'sent:2-86*')
('10:49:04.007141', b'D1-59*************************\trssi:-13\r\n', '')
('10:49:04.068053', b'D1-60*************************\trssi:-14\r\n', '')
('10:49:04.186086', b'>\r\n', 'sent:2-87*')
('10:49:04.208143', b'>\r\n', 'sent:2-88*')
('10:49:04.229092', b'>\r\n', 'sent:2-89*')
('10:49:04.251072', b'>\r\n', 'sent:2-90*')
('10:49:04.272223', b'>\r\n', 'sent:2-91*')
('10:49:04.293366', b'>\r\n', 'sent:2-92*')
('10:49:04.312082', b'>\r\n', 'sent:2-93*')
('10:49:04.336062', b'>\r\n', 'sent:2-94*')
('10:49:04.420080', b'>\r\n', 'sent:2-95*')
('10:49:04.442017', b'>\r\n', 'sent:2-96*')
('10:49:04.525073', b'>\r\n', 'sent:2-97*')
('10:49:04.547063', b'>\r\n', 'sent:2-98*')
('10:49:04.634021', b'D1-63*************************\trssi:-11\r\n', '')
('10:49:04.637052', b'D1-64*************************\trssi:-11\r\n', '')
('10:49:04.692033', b'>\r\n', 'sent:2-99*')
('10:49:04.775074', b'>\r\n', 'sent:2-100*')
('10:49:04.919108', b'>\r\n', 'sent:2-101*')
('10:49:05.066962', b'D1-65*************************\trssi:-13\r\n', '')
('10:49:05.067071', b'>\r\n', 'sent:2-102*')
('10:49:05.215993', b'D1-68*************************\trssi:-14\r\n', '')
('10:49:05.219039', b'D1-69*************************\trssi:-14\r\n', '')
('10:49:05.456118', b'>\r\n', 'sent:2-103*')
('10:49:05.603996', b'D1-70*************************\trssi:-13\r\n', '')
('10:49:05.604074', b'>\r\n', 'sent:2-104*')
('10:49:05.752015', b'D1-72*************************\trssi:-13\r\n', '')
('10:49:05.873204', b'D1-73*************************\trssi:-12\r\n', '')
('10:49:06.056079', b'D1-74*************************\trssi:-12\r\n', '')
('10:49:06.119016', b'D1-75*************************\trssi:-12\r\n', '')
('10:49:06.122040', b'D1-76*************************\trssi:-12\r\n', '')
('10:49:06.241013', b'D1-77*************************\trssi:-12\r\n', '')
('10:49:06.298063', b'>\r\n', 'sent:2-105*')
('10:49:06.385001', b'D1-78*************************\trssi:-10\r\n', '')
('10:49:06.385103', b'>\r\n', 'sent:2-106*')
('10:49:06.407020', b'>\r\n', 'sent:2-107*')
('10:49:06.494025', b'D1-79*************************\trssi:-10\r\n', '')
('10:49:06.496974', b'D1-80*************************\trssi:-10\r\n', '')
('10:49:06.555024', b'D1-81*************************\trssi:-11\r\n', '')
('10:49:06.558966', b'D1-82*************************\trssi:-11\r\n', '')
('10:49:06.677035', b'D1-83*************************\trssi:-11\r\n', '')
('10:49:06.677138', b'>\r\n', 'sent:2-108*')
('10:49:06.760047', b'>\r\n', 'sent:2-109*')
('10:49:06.846008', b'D1-84*************************\trssi:-11\r\n', '')
('10:49:06.846113', b'>\r\n', 'sent:2-110*')
('10:49:06.933004', b'D1-85*************************\trssi:-11\r\n', '')
('10:49:06.933110', b'>\r\n', 'sent:2-111*')
('10:49:07.016059', b'>\r\n', 'sent:2-112*')
('10:49:07.038020', b'>\r\n', 'sent:2-113*')
('10:49:07.060117', b'>\r\n', 'sent:2-114*')
('10:49:07.147018', b'D1-86*************************\trssi:-11\r\n', '')
('10:49:07.204191', b'>\r\n', 'sent:2-115*')
('10:49:07.291028', b'D1-87*************************\trssi:-11\r\n', '')
('10:49:07.291112', b'>\r\n', 'sent:2-116*')
('10:49:07.314074', b'>\r\n', 'sent:2-117*')
('10:49:07.399995', b'D1-91*************************\trssi:-11\r\n', '')
('10:49:07.403033', b'D1-92*************************\trssi:-11\r\n', '')
('10:49:07.404013', b'>\r\n', 'sent:2-118*')
('10:49:07.426069', b'>\r\n', 'sent:2-119*')
('10:49:07.509048', b'>\r\n', 'sent:2-120*')
('10:49:07.653189', b'>\r\n', 'sent:2-121*')
('10:49:07.675016', b'>\r\n', 'sent:2-122*')
('10:49:07.697180', b'>\r\n', 'sent:2-123*')
('10:49:07.783959', b'D1-94*************************\trssi:-11\r\n', '')
('10:49:07.787027', b'D1-95*************************\trssi:-11\r\n', '')
('10:49:07.845034', b'D1-97*************************\trssi:-11\r\n', '')
('10:49:07.848966', b'D1-98*************************\trssi:-11\r\n', '')
('10:49:07.849070', b'>\r\n', 'sent:2-124*')
('10:49:07.871149', b'>\r\n', 'sent:2-125*')
('10:49:07.893158', b'>\r\n', 'sent:2-126*')
('10:49:07.920013', b'>\r\n', 'sent:2-127*')
('10:49:07.942030', b'>\r\n', 'sent:2-128*')
('10:49:07.964054', b'>\r\n', 'sent:2-129*')
('10:49:07.986114', b'>\r\n', 'sent:2-130*')
('10:49:08.008029', b'>\r\n', 'sent:2-131*')
('10:49:08.032021', b'>\r\n', 'sent:2-132*')
('10:49:08.055033', b'>\r\n', 'sent:2-133*')
('10:49:08.142010', b'D1-102************************\trssi:-13\r\n', '')
('10:49:08.264001', b'D1-103************************\trssi:-12\r\n', '')
('10:49:08.267026', b'D1-104************************\trssi:-13\r\n', '')
('10:49:08.325017', b'D1-105************************\trssi:-12\r\n', '')
('10:49:08.383009', b'>\r\n', 'sent:2-134*')
('10:49:08.713139', b'D1-106************************\trssi:-12\r\n', '')
('10:49:08.713243', b'>\r\n', 'sent:2-135*')
('10:49:08.736023', b'>\r\n', 'sent:2-136*')
('10:49:08.758009', b'>\r\n', 'sent:2-137*')
('10:49:08.778993', b'>\r\n', 'sent:2-138*')
('10:49:08.801002', b'>\r\n', 'sent:2-139*')
('10:49:08.822041', b'>\r\n', 'sent:2-140*')
('10:49:08.905046', b'>\r\n', 'sent:2-141*')
('10:49:08.992008', b'D1-108************************\trssi:-11\r\n', '')
('10:49:09.049047', b'>\r\n', 'sent:2-142*')
('10:49:09.071235', b'>\r\n', 'sent:2-143*')
('10:49:09.214101', b'>\r\n', 'sent:2-144*')
('10:49:09.235000', b'>\r\n', 'sent:2-145*')
('10:49:09.322003', b'D1-111************************\trssi:-11\r\n', '')
('10:49:09.379033', b'>\r\n', 'sent:2-146*')
('10:49:09.401153', b'>\r\n', 'sent:2-147*')
('10:49:09.484048', b'>\r\n', 'sent:2-148*')
('10:49:09.570990', b'D1-112************************\trssi:-11\r\n', '')
('10:49:09.571094', b'>\r\n', 'sent:2-149*')
('10:49:09.593107', b'>\r\n', 'sent:2-150*')
('10:49:09.615027', b'>\r\n', 'sent:2-151*')
('10:49:09.701997', b'D1-113************************\trssi:-11\r\n', '')
('10:49:09.702099', b'>\r\n', 'sent:2-152*')
('10:49:09.849953', b'D1-114************************\trssi:-10\r\n', '')
('10:49:09.852963', b'D1-115************************\trssi:-10\r\n', '')
('10:49:09.911005', b'D1-116************************\trssi:-11\r\n', '')
('10:49:09.971973', b'D1-117************************\trssi:-10\r\n', '')
('10:49:09.974955', b'D1-118************************\trssi:-11\r\n', '')
('10:49:09.975963', b'>\r\n', 'sent:2-153*')
('10:49:10.122046', b'D1-120************************\trssi:-10\r\n', '')
('10:49:10.125996', b'D1-121************************\trssi:-10\r\n', '')
('10:49:10.126091', b'>\r\n', 'sent:2-154*')
('10:49:10.148040', b'>\r\n', 'sent:2-155*')
