('76.27137809600003', ('192.168.4.9', 8000), b'message: 24\r\n')
('76.44717189800008', ('192.168.4.4', 8000), b'message: 33\r\n')
('77.52499351300003', ('192.168.4.9', 8000), b'message: 25\r\n')
('78.80046747000006', ('192.168.4.20', 8000), b'message: 8\r\n')
('79.86211658499997', ('192.168.4.4', 8000), b'message: 34\r\n')
('80.26600465699994', ('192.168.4.9', 8000), b'message: 26\r\n')
('80.99609022999994', ('192.168.4.20', 8000), b'message: 9\r\n')
('81.09662252199996', ('192.168.4.4', 8000), b'message: 35\r\n')
('82.21847449999996', ('192.168.4.20', 8000), b'message: 10\r\n')
('83.24480496899992', ('192.168.4.9', 8000), b'message: 27\r\n')
('83.45000298900004', ('192.168.4.4', 8000), b'message: 36\r\n')
('83.77313366599992', ('192.168.4.9', 8000), b'message: 28\r\n')
('84.56631210399996', ('192.168.4.4', 8000), b'message: 37\r\n')
('85.37766324900008', ('192.168.4.4', 8000), b'message: 38\r\n')
('86.15443595700003', ('192.168.4.9', 8000), b'message: 29\r\n')
('86.76515934200006', ('192.168.4.4', 8000), b'message: 39\r\n')
('87.46996330000002', ('192.168.4.4', 8000), b'message: 40\r\n')
('91.26543048600001', ('192.168.4.9', 8000), b'message: 30\r\n')
('91.55035178799994', ('192.168.4.9', 8000), b'message: 31\r\n')
('92.87327803800008', ('192.168.4.4', 8000), b'message: 41\r\n')
('97.89214923400004', ('192.168.4.4', 8000), b'message: 42\r\n')
('101.35428277400001', ('192.168.4.4', 8000), b'message: 43\r\n')
('101.78537371199991', ('192.168.4.9', 8000), b'message: 32\r\n')
('102.17529938899997', ('192.168.4.9', 8000), b'message: 33\r\n')
('103.00482516900001', ('192.168.4.4', 8000), b'message: 44\r\n')
('103.37558928399994', ('192.168.4.20', 8000), b'message: 0\r\n')
('105.60029136599996', ('192.168.4.4', 8000), b'message: 45\r\n')
('105.74145391799993', ('192.168.4.9', 8000), b'message: 34\r\n')
('106.81165532399996', ('192.168.4.20', 8000), b'message: 1\r\n')
('106.98004745999992', ('192.168.4.4', 8000), b'message: 46\r\n')
('108.22695079200003', ('192.168.4.20', 8000), b'message: 2\r\n')
('109.68674589600005', ('192.168.4.9', 8000), b'message: 35\r\n')
('110.10063011500006', ('192.168.4.9', 8000), b'message: 36\r\n')
('110.93790125999999', ('192.168.4.20', 8000), b'message: 3\r\n')
('111.05082042699996', ('192.168.4.9', 8000), b'message: 37\r\n')
('112.33456266600001', ('192.168.4.9', 8000), b'message: 38\r\n')
('113.62484808199997', ('192.168.4.4', 8000), b'message: 47\r\n')
('113.95828151899991', ('192.168.4.20', 8000), b'message: 4\r\n')
('114.116542665', ('192.168.4.9', 8000), b'message: 39\r\n')
('116.77339334099997', ('192.168.4.9', 8000), b'message: 40\r\n')
('117.18052177899995', ('192.168.4.4', 8000), b'message: 48\r\n')
('117.36890016400002', ('192.168.4.9', 8000), b'message: 41\r\n')
('118.44151479900006', ('192.168.4.4', 8000), b'message: 49\r\n')
('118.75231391300008', ('192.168.4.20', 8000), b'message: 5\r\n')
('119.2659479240001', ('192.168.4.9', 8000), b'message: 42\r\n')
('119.8140704760001', ('192.168.4.9', 8000), b'message: 43\r\n')
('119.91692672599993', ('192.168.4.20', 8000), b'message: 6\r\n')
('120.18739365300007', ('192.168.4.4', 8000), b'message: 50\r\n')
('120.86374162099992', ('192.168.4.4', 8000), b'message: 51\r\n')
('120.96430505800004', ('192.168.4.20', 8000), b'message: 7\r\n')
('121.16060948500012', ('192.168.4.9', 8000), b'message: 44\r\n')
('121.33924339200007', ('192.168.4.4', 8000), b'message: 52\r\n')
('121.98118417299997', ('192.168.4.20', 8000), b'message: 8\r\n')
('124.18405021300009', ('192.168.4.4', 8000), b'message: 53\r\n')
('125.52646182800004', ('192.168.4.4', 8000), b'message: 54\r\n')
('126.05414255699998', ('192.168.4.20', 8000), b'message: 9\r\n')
('126.36895703599998', ('192.168.4.20', 8000), b'message: 10\r\n')
('126.70605088999991', ('192.168.4.20', 8000), b'message: 11\r\n')
('127.389413806', ('192.168.4.4', 8000), b'message: 55\r\n')
('127.64575255599993', ('192.168.4.9', 8000), b'message: 45\r\n')
('127.74629583699993', ('192.168.4.4', 8000), b'message: 56\r\n')
('127.96277078499998', ('192.168.4.20', 8000), b'message: 12\r\n')
('128.87577870099994', ('192.168.4.4', 8000), b'message: 57\r\n')
('129.30414651399997', ('192.168.4.4', 8000), b'message: 58\r\n')
('129.51903245099993', ('192.168.4.9', 8000), b'message: 46\r\n')
('130.54974104400003', ('192.168.4.9', 8000), b'message: 47\r\n')
('132.752565731', ('192.168.4.20', 8000), b'message: 13\r\n')
('133.028781408', ('192.168.4.9', 8000), b'message: 48\r\n')
('133.34201458500002', ('192.168.4.4', 8000), b'message: 59\r\n')
('134.566099012', ('192.168.4.20', 8000), b'message: 14\r\n')
('136.3399831260001', ('192.168.4.20', 8000), b'message: 15\r\n')
