2019-09-13 11:55:51.753155
(10.006978992999848, '', 2)
(20.014940945000035, '', 2)
(30.02293457099995, '', 2)
(40.03094367299991, '', 2)
(50.04107163499975, '', 2)
(60.05119484299985, '', 2)
(70.05950012499989, '', 2)
(80.06697945299993, '', 2)
(90.07498571499991, '', 2)
(100.08297604000018, '', 2)
(110.09097330399982, '', 2)
(120.09897219100003, '', 2)
(130.10697565100008, '', 2)
(140.11497688999998, '', 2)
(150.12299088600003, '', 2)
(160.13098440500016, '', 2)
(170.13896466100005, '', 2)
(180.14696829000013, '', 2)
(190.15509210599976, '', 2)
(200.16297768699997, '', 2)
(210.17096581099986, '', 2)
(220.1789725929998, '', 2)
(230.1869701999999, '', 2)
(240.19497657800002, '', 2)
(250.2029770700001, '', 2)
(260.2109550189998, '', 2)
(270.2206101460001, '', 2)
(280.2269423590001, '', 2)
(290.23497546299996, '', 2)
(300.24296721500014, '', 2)
(310.2509830529998, '', 2)
(320.25897941799985, '', 2)
(330.2669546500001, '', 2)
(340.2770515950001, '', 2)
(350.2871508190001, '', 2)
(360.2949471500001, '', 2)
(370.3029543869998, '', 2)
(380.31094920299984, '', 2)
(390.32104817699974, '', 2)
(400.33114562499986, '', 2)
(410.33895225000015, '', 2)
(420.3469542419998, '', 2)
(430.3549542559999, '', 2)
(440.36423281199995, '', 2)
(450.3740367820001, '', 2)
(460.38023732600004, '', 2)
(470.3903403459999, '', 2)
(480.4004395060001, '', 2)
(490.4105376039997, '', 2)
(500.418965327, '', 2)
(510.42695383399996, '', 2)
(520.434947881, '', 2)
(530.445045257, '', 2)
(540.454954969, '', 2)
(550.4650504209999, '', 2)
(560.4719613990001, '', 2)
(570.4789485239999, '', 2)
(580.486952576, '', 2)
(590.4970482569997, '', 2)
(600.5071464909997, '', 2)
(610.5172410499999, '', 2)
(620.527349034, '', 2)
(630.532193173, '', 2)
(640.5412784519999, '', 2)
(650.550960729, '', 2)
(660.5589503629999, '', 2)
(670.566955232, '', 2)
(680.5749734269998, '', 2)
(690.5829485039999, '', 2)
(700.5930450759997, '', 2)
(710.6029485919998, '', 2)
(720.6109549889998, '', 2)
(730.6189554289999, '', 2)
(740.629049141, '', 2)
(750.6389542520001, '', 2)
(760.6469522009997, '', 2)
(770.654950655, '', 2)
(780.6629525980002, '', 2)
(790.6730485069997, '', 2)
(800.683146844, '', 2)
(810.6932382760001, '', 2)
(820.7033376129998, '', 2)
(830.7134355779999, '', 2)
(840.7229530270001, '', 2)
(850.7309611840001, '', 2)
(860.7389528260001, '', 2)
(870.744620256, '', 2)
(880.7547152550001, '', 2)
(890.7629531130001, '', 2)
(900.770956802, '', 2)
(910.7810510250001, '', 2)
(920.7861847549998, '', 2)
(930.7909855540001, '', 2)
(940.8010682159997, '', 2)
(950.811166163, '', 2)
(960.821231424, '', 2)
(970.831348015, '', 2)
(980.8389486840001, '', 2)
(990.8469567349998, '', 2)
(1000.8549550170001, '', 2)
(1010.8650465860001, '', 2)
(1020.874966757, '', 2)
(1030.882948944, '', 2)
(1040.8855107509999, '', 2)
(1050.894964731, '', 2)
(1060.9029647930001, '', 2)
(1070.9130354190002, '', 2)
(1080.923117966, '', 2)
(1090.933216422, '', 2)
(1100.936825153, '', 2)
(1110.942955558, '', 2)
(1120.9509497899999, '', 2)
(1130.958921424, '', 2)
(1140.9690156719998, '', 2)
(1150.978954651, '', 2)
(1160.9890505550002, '', 2)
(1170.9989642069995, '', 2)
(1181.00905031, '', 2)
(1191.009356222, '', 2)
(1201.0194532469995, '', 2)
(1211.695361483, '', 2)
(1221.702961983, '', 2)
(1231.713089594, '', 2)
