('15:27:24.763035', b'dur: 20969\r\n', '')
('15:27:24.763035', b'S\r\n', '')
('15:27:24.825347', b'D2-52*************************\trssi:-46\r\n', '')
('15:27:24.825347', b'D2-53*************************\trssi:-48\r\n', '')
('15:27:24.825347', b'>\r\n', 'sent:1-46*')
('15:27:24.841231', b'dur: 27685\r\n', '')
('15:27:24.841231', b'S\r\n', '')
('15:27:24.903703', b'D2-56*************************\trssi:-48\r\n', '')
('15:27:24.919056', b'D2-57*************************\trssi:-48\r\n', '')
('15:27:24.919056', b'D2-58*************************\trssi:-48\r\n', '')
('15:27:24.919056', b'>\r\n', 'sent:1-47*')
('15:27:24.934959', b'dur: 31606\r\n', '')
('15:27:24.934959', b'>\r\n', 'sent:1-48*')
('15:27:24.950572', b'dur: 18967\r\n', '')
('15:27:24.950572', b'>\r\n', 'sent:1-49*')
('15:27:24.981817', b'dur: 28973\r\n', '')
('15:27:24.981817', b'S\r\n', '')
('15:27:25.044267', b'D2-63*************************\trssi:-48\r\n', '')
('15:27:25.059765', b'D2-64*************************\trssi:-48\r\n', '')
('15:27:25.059765', b'>\r\n', 'sent:1-50*')
('15:27:25.075269', b'dur: 27112\r\n', '')
('15:27:25.075269', b'>\r\n', 'sent:1-51*')
('15:27:25.091184', b'dur: 20967\r\n', '')
('15:27:25.091184', b'S\r\n', '')
('15:27:25.153658', b'>\r\n', 'sent:1-52*')
('15:27:25.169290', b'dur: 19677\r\n', '')
('15:27:25.184801', b'>\r\n', 'sent:1-53*')
('15:27:25.200535', b'dur: 20967\r\n', '')
('15:27:25.200535', b'>\r\n', 'sent:1-54*')
('15:27:25.216067', b'dur: 20969\r\n', '')
('15:27:25.216067', b'S\r\n', '')
('15:27:25.278611', b'D2-67*************************\trssi:-48\r\n', '')
('15:27:25.294037', b'D2-68*************************\trssi:-48\r\n', '')
('15:27:25.294037', b'>\r\n', 'sent:1-55*')
('15:27:25.309620', b'dur: 27462\r\n', '')
('15:27:25.309620', b'>\r\n', 'sent:1-56*')
('15:27:25.325509', b'dur: 20967\r\n', '')
('15:27:25.325509', b'>\r\n', 'sent:1-57*')
('15:27:25.356649', b'dur: 20969\r\n', '')
('15:27:25.356649', b'>\r\n', 'sent:1-58*')
('15:27:25.372349', b'dur: 21969\r\n', '')
('15:27:25.372349', b'S\r\n', '')
('15:27:25.434841', b'D2-70*************************\trssi:-49\r\n', '')
('15:27:25.434841', b'>\r\n', 'sent:1-59*')
('15:27:25.450475', b'dur: 23462\r\n', '')
('15:27:25.450475', b'>\r\n', 'sent:1-60*')
('15:27:25.481691', b'dur: 20967\r\n', '')
('15:27:25.481691', b'>\r\n', 'sent:1-61*')
('15:27:25.497315', b'dur: 20969\r\n', '')
('15:27:25.497315', b'>\r\n', 'sent:1-62*')
('15:27:25.528323', b'dur: 21969\r\n', '')
('15:27:25.528323', b'>\r\n', 'sent:1-63*')
('15:27:25.544136', b'dur: 21969\r\n', '')
('15:27:25.544136', b'>\r\n', 'sent:1-64*')
('15:27:25.575155', b'dur: 25969\r\n', '')
('15:27:25.575155', b'>\r\n', 'sent:1-65*')
('15:27:25.591059', b'dur: 20969\r\n', '')
('15:27:25.591059', b'>\r\n', 'sent:1-66*')
('15:27:25.606666', b'dur: 20969\r\n', '')
('15:27:25.606666', b'>\r\n', 'sent:1-67*')
('15:27:25.637916', b'dur: 20969\r\n', '')
('15:27:25.637916', b'>\r\n', 'sent:1-68*')
('15:27:25.653559', b'dur: 23969\r\n', '')
('15:27:25.653559', b'>\r\n', 'sent:1-69*')
('15:27:25.669183', b'dur: 17969\r\n', '')
('15:27:25.669183', b'>\r\n', 'sent:1-70*')
('15:27:25.700423', b'dur: 22969\r\n', '')
('15:27:25.700423', b'>\r\n', 'sent:1-71*')
('15:27:25.716033', b'dur: 22969\r\n', '')
('15:27:25.716033', b'>\r\n', 'sent:1-72*')
('15:27:25.746994', b'dur: 20969\r\n', '')
('15:27:25.746994', b'>\r\n', 'sent:1-73*')
('15:27:25.762898', b'dur: 20969\r\n', '')
('15:27:25.762898', b'>\r\n', 'sent:1-74*')
('15:27:25.794099', b'dur: 26969\r\n', '')
('15:27:25.794099', b'>\r\n', 'sent:1-75*')
('15:27:25.809482', b'dur: 20969\r\n', '')
('15:27:25.809482', b'>\r\n', 'sent:1-76*')
('15:27:25.825368', b'dur: 20969\r\n', '')
('15:27:25.825368', b'>\r\n', 'sent:1-77*')
('15:27:25.856529', b'dur: 20969\r\n', '')
('15:27:25.856529', b'>\r\n', 'sent:1-78*')
('15:27:25.872175', b'dur: 20969\r\n', '')
('15:27:25.872175', b'>\r\n', 'sent:1-79*')
('15:27:25.887584', b'dur: 21969\r\n', '')
('15:27:25.887584', b'>\r\n', 'sent:1-80*')
('15:27:25.918944', b'dur: 20969\r\n', '')
('15:27:25.918944', b'S\r\n', '')
('15:27:25.981316', b'>\r\n', 'sent:1-81*')
('15:27:25.997231', b'dur: 16784\r\n', '')
('15:27:25.997231', b'>\r\n', 'sent:1-82*')
('15:27:26.012833', b'dur: 19967\r\n', '')
('15:27:26.012833', b'>\r\n', 'sent:1-83*')
('15:27:26.043879', b'dur: 23969\r\n', '')
('15:27:26.043879', b'S\r\n', '')
('15:27:26.108086', b'D2-86*************************\trssi:-48\r\n', '')
('15:27:26.108086', b'S\r\n', '')
