('21:55:35.096142', b'>\r\n', 'sent:1-21:55:34.769665*')
('21:55:35.360132', b'>\r\n', 'sent:1-21:55:35.096225*')
('21:55:35.866654', b'>\r\n', 'sent:1-21:55:35.360227*')
('21:55:35.885401', b'>\r\n', 'sent:1-21:55:35.866737*')
('21:55:35.968199', b'>\r\n', 'sent:1-21:55:35.885470*')
('21:55:36.112235', b'>\r\n', 'sent:1-21:55:35.968275*')
('21:55:36.438769', b'>\r\n', 'sent:1-21:55:36.112325*')
('21:55:36.520207', b'>\r\n', 'sent:1-21:55:36.438855*')
('21:55:37.331751', b'>\r\n', 'sent:1-21:55:36.520295*')
('21:55:37.474448', b'>\r\n', 'sent:1-21:55:37.331843*')
('21:55:37.618468', b'>\r\n', 'sent:1-21:55:37.474536*')
('21:55:37.701212', b'>\r\n', 'sent:1-21:55:37.618553*')
('21:55:37.964016', b'>\r\n', 'sent:1-21:55:37.701293*')
('21:55:38.107973', b'>\r\n', 'sent:1-21:55:37.964097*')
('21:55:38.678257', b'>\r\n', 'sent:1-21:55:38.108057*')
('21:55:38.880948', b'>\r\n', 'sent:1-21:55:38.678346*')
('21:55:38.902319', b'>\r\n', 'sent:1-21:55:38.881029*')
('21:55:38.985085', b'>\r\n', 'sent:1-21:55:38.902398*')
('21:55:39.247868', b'>\r\n', 'sent:1-21:55:38.985167*')
('21:55:39.511894', b'>\r\n', 'sent:1-21:55:39.247952*')
('21:55:39.837224', b'>\r\n', 'sent:1-21:55:39.511981*')
('21:55:39.858416', b'>\r\n', 'sent:1-21:55:39.837318*')
('21:55:40.001246', b'>\r\n', 'sent:1-21:55:39.858477*')
('21:55:40.081460', b'>\r\n', 'sent:1-21:55:40.001334*')
('21:55:40.164213', b'>\r\n', 'sent:1-21:55:40.081543*')
('21:55:40.428270', b'>\r\n', 'sent:1-21:55:40.164295*')
('21:55:40.448322', b'>\r\n', 'sent:1-21:55:40.428362*')
('21:55:40.468441', b'>\r\n', 'sent:1-21:55:40.448404*')
('21:55:40.793725', b'>\r\n', 'sent:1-21:55:40.468522*')
('21:55:40.813795', b'>\r\n', 'sent:1-21:55:40.793806*')
('21:55:40.836411', b'>\r\n', 'sent:1-21:55:40.813862*')
