(14:6:1.74531500, '1-1569***********')
(14:6:7.18348900, '1-1616***********')
(14:6:7.29294700, '1-1619***********')
(14:6:7.30845600, '1-1620***********')
(14:6:8.40199800, '1-1628***********')
(14:6:9.37111500, '1-1639***********')
(14:6:9.43358400, '1-1640***********')
(14:6:11.05823200, '1-1648***********')
(14:6:11.27663600, '1-1649***********')
(14:6:12.76367300, '1-1654***********')
(14:6:13.01361000, '1-1656***********')
(14:6:13.56035800, '1-1661***********')
(14:6:13.56035800, '1-1662***********')
(14:6:14.43514600, '1-1673***********')
(14:6:14.43514600, '1-1674***********')
(14:6:15.96473100, '1-1689***********')
(14:6:16.18320000, '1-1690***********')
(14:6:16.74565000, '1-1699***********')
(14:6:16.74565000, '1-1700***********')
(14:6:17.68285900, '1-1707***********')
(14:6:19.26469500, '1-1722***********')
(14:6:19.90489900, '1-1729***********')
(14:6:20.35820900, '1-1740***********')
(14:6:21.16955300, '1-1750***********')
(14:6:21.16955300, '1-1751***********')
(14:6:21.26310300, '1-1752***********')
(14:6:26.03156200, '1-1775***********')
(14:6:26.03156200, '1-1776***********')
(14:6:26.28152200, '1-1783***********')
(14:6:28.04871400, '1-1797***********')
(14:6:28.04871400, '1-1798***********')
(14:6:28.37689600, '1-1802***********')
(14:6:34.87743200, '1-1860***********')
(14:6:34.87743200, '1-1861***********')
(14:6:37.37860100, '1-1879***********')
(14:6:37.37860100, '1-1878***********')
(14:6:38.23793200, '1-1886***********')
(14:6:38.70679500, '1-1893***********')
(14:6:38.80025900, '1-1895***********')
(14:6:38.86273400, '1-1896***********')
(14:6:38.86273400, '1-1897***********')
(14:6:40.91107600, '1-1914***********')
(14:6:40.91107600, '1-1915***********')
(14:6:41.75491300, '1-1927***********')
(14:6:42.61407100, '1-1933***********')
(14:6:44.51962600, '1-1939***********')
(14:6:45.61508700, '1-1946***********')
(14:6:46.02122200, '1-1950***********')
(14:6:46.02122200, '1-1951***********')
(14:6:46.08370800, '1-1952***********')
(14:6:48.16136100, '1-1964***********')
(14:6:50.53810200, '1-1992***********')
(14:6:51.47538800, '1-2003***********')
(14:6:51.53787300, '1-2004***********')
(14:6:51.53787300, '1-2005***********')
(14:6:51.92843300, '1-2009***********')
(14:6:53.71150100, '1-2025***********')
(14:6:55.91412400, '1-2039***********')
(14:6:58.85328400, '1-2060***********')
(14:6:59.72808600, '1-2068***********')
(14:7:1.80573700, '1-2084***********')
(14:7:4.90119400, '1-2110***********')
(14:7:5.26048700, '1-2114***********')
(14:7:5.26048700, '1-2115***********')
(14:7:7.07484800, '1-2130***********')
(14:7:7.41852000, '1-2135***********')
(14:7:8.71509900, '1-2145***********')
(14:7:14.18424500, '1-2187***********')
(14:7:14.27794600, '1-2189***********')
(14:7:14.88718200, '1-2193***********')
(14:7:14.88718200, '1-2194***********')
(14:7:17.57643200, '1-2215***********')
(14:7:18.82518300, '1-2229***********')
(14:7:18.82518300, '1-2230***********')
(14:7:20.04367500, '1-2248***********')
(14:7:20.05927500, '1-2249***********')
(14:7:22.76318200, '1-2273***********')
(14:7:25.74687900, '1-2294***********')
(14:7:25.93435900, '1-2297***********')
(14:7:26.93648900, '1-2307***********')
(14:7:28.98298600, '1-2329***********')
(14:7:32.80885100, '1-2354***********')
(14:7:32.87133600, '1-2355***********')
(14:7:32.87133600, '1-2356***********')
(14:7:34.32526500, '1-2366***********')
(14:7:37.10588400, '1-2386***********')
(14:7:37.29333900, '1-2389***********')
(14:7:39.76307000, '1-2410***********')
(14:7:42.55933700, '1-2428***********')
(14:7:42.55933700, '1-2429***********')
(14:7:44.32911100, '1-2438***********')
(14:7:44.90487200, '1-2445***********')
(14:7:46.94998400, '1-2457***********')
(14:7:49.03300800, '1-2468***********')
(14:7:49.03300800, '1-2469***********')
(14:7:49.09552700, '1-2470***********')
(14:7:49.09552700, '1-2471***********')
(14:7:49.15798000, '1-2472***********')
(14:7:49.84532200, '1-2481***********')
(14:7:49.90780800, '1-2482***********')
(14:7:49.90780800, '1-2483***********')
(14:7:49.97031700, '1-2485***********')
(14:7:51.41985200, '1-2504***********')
(14:7:52.39369600, '1-2518***********')
(14:7:53.97144900, '1-2531***********')
(14:7:55.11182500, '1-2536***********')
(14:7:55.11182500, '1-2537***********')
(14:7:58.22177800, '1-2560***********')
(14:7:58.69044800, '1-2563***********')
(14:7:58.69044800, '1-2564***********')
(14:8:0.64310100, '1-2584***********')
(14:8:4.62794600, '1-2605***********')
(14:8:6.41038600, '1-2618***********')
(14:8:6.59784300, '1-2620***********')
(14:8:7.12897100, '1-2623***********')
(14:8:8.53490000, '1-2634***********')
(14:8:8.53490000, '1-2635***********')
(14:8:9.08165000, '1-2639***********')
(14:8:11.33249600, '1-2659***********')
(14:8:13.58200300, '1-2673***********')
(14:8:13.58200300, '1-2674***********')
(14:8:13.73821700, '1-2678***********')
(14:8:13.80068300, '1-2680***********')
(14:8:17.97291800, '1-2714***********')
(14:8:22.41398400, '1-2749***********')
(14:8:23.72851400, '1-2756***********')
(14:8:24.43145700, '1-2760***********')
(14:8:26.30605000, '1-2771***********')
(14:8:26.36853700, '1-2773***********')
(14:8:29.13489000, '1-2792***********')
(14:8:30.97819800, '1-2806***********')
(14:8:30.97819800, '1-2807***********')
(14:8:34.38645100, '1-2834***********')
(14:8:34.80822200, '1-2836***********')
(14:8:34.80822200, '1-2837***********')
(14:8:35.52681100, '1-2843***********')
(14:8:36.04231500, '1-2850***********')
(14:8:37.23097600, '1-2856***********')
(14:8:37.54338300, '1-2861***********')
(14:8:37.54338300, '1-2862***********')
(14:8:40.08968000, '1-2896***********')
(14:8:40.08968000, '1-2897***********')
(14:8:40.85515300, '1-2904***********')
(14:8:40.85515300, '1-2905***********')
(14:8:41.27690700, '1-2913***********')
(14:8:43.90275800, '1-2933***********')
(14:8:44.62131700, '1-2938***********')
(14:8:45.96611800, '1-2946***********')
(14:8:45.96611800, '1-2947***********')
(14:8:45.96611800, '1-2948***********')
(14:8:46.01296100, '1-2949***********')
(14:8:46.02858200, '1-2950***********')
(14:8:50.32448400, '1-2974***********')
(14:8:50.85808700, '1-2976***********')
(14:8:50.87373500, '1-2977***********')
(14:8:54.48102900, '1-2997***********')
(14:8:55.54328700, '1-3001***********')
(14:8:55.54328700, '1-3002***********')
(14:8:56.96612700, '1-3014***********')
(14:8:57.93465700, '1-3019***********')
(14:8:58.88756500, '1-3026***********')
(14:8:58.88756500, '1-3027***********')
(14:8:58.95007100, '1-3028***********')
(14:9:0.24665900, '1-3036***********')
(14:9:2.62350300, '1-3054***********')
(14:9:2.62350300, '1-3055***********')
(14:9:3.65449700, '1-3065***********')
(14:9:3.67133900, '1-3066***********')
(14:9:4.01242700, '1-3074***********')
(14:9:4.01242700, '1-3075***********')
(14:9:4.76227700, '1-3079***********')
(14:9:4.76227700, '1-3080***********')
(14:9:5.48084100, '1-3090***********')
(14:9:5.85575700, '1-3093***********')
(14:9:6.21507000, '1-3101***********')
(14:9:6.48061500, '1-3106***********')
(14:9:7.52725100, '1-3115***********')
(14:9:11.09098300, '1-3137***********')
(14:9:11.40342100, '1-3144***********')
(14:9:11.40342100, '1-3145***********')
(14:9:13.99932900, '1-3174***********')
(14:9:13.99932900, '1-3175***********')
(14:9:14.53047900, '1-3185***********')
(14:9:14.59297000, '1-3186***********')
(14:9:14.59297000, '1-3187***********')
(14:9:15.43533600, '1-3190***********')
(14:9:16.35702400, '1-3202***********')
(14:9:16.35702400, '1-3203***********')
(14:9:17.59123900, '1-3213***********')
(14:9:17.91943300, '1-3216***********')
(14:9:17.91943300, '1-3217***********')
(14:9:17.98190900, '1-3219***********')
(14:9:18.61034400, '1-3222***********')
(14:9:22.57982100, '1-3247***********')
(14:9:25.11058700, '1-3260***********')
(14:9:25.11058700, '1-3261***********')
(14:9:26.64147700, '1-3270***********')
(14:9:26.79960000, '1-3272***********')
(14:9:26.79960000, '1-3273***********')
(14:9:28.90845700, '1-3281***********')
(14:9:28.92402500, '1-3282***********')
(14:9:28.97094300, '1-3283***********')
(14:9:28.98632700, '1-3284***********')
(14:9:30.70678600, '1-3291***********')
(14:9:31.09716200, '1-3293***********')
(14:9:34.69027400, '1-3313***********')
(14:9:34.75269600, '1-3315***********')
(14:9:38.50351600, '1-3347***********')
(14:9:39.36296400, '1-3356***********')
(14:9:39.36296400, '1-3357***********')
(14:9:40.27068500, '1-3370***********')
(14:9:41.22367700, '1-3381***********')
(14:9:41.81739100, '1-3385***********')
(14:9:41.81739100, '1-3386***********')
(14:9:41.87995800, '1-3387***********')
(14:9:43.17687000, '1-3400***********')
