('14:27:20.081555', b'>\r\n', 'sent:2-14:27:19.940862*')
('14:27:20.097192', b'>\r\n', 'sent:2-14:27:20.081555*')
('14:27:20.112802', b'>\r\n', 'sent:2-14:27:20.097192*')
('14:27:20.331221', b'>\r\n', 'sent:2-14:27:20.112802*')
('14:27:20.534579', b'>\r\n', 'sent:2-14:27:20.331221*')
('14:27:21.159436', b'>\r\n', 'sent:2-14:27:20.534579*')
('14:27:21.487500', b'>\r\n', 'sent:2-14:27:21.159436*')
('14:27:21.518451', b'>\r\n', 'sent:2-14:27:21.487500*')
('14:27:21.596835', b'>\r\n', 'sent:2-14:27:21.518451*')
('14:27:21.612473', b'>\r\n', 'sent:2-14:27:21.596835*')
('14:27:22.252939', b'>\r\n', 'sent:2-14:27:21.612473*')
('14:27:22.518517', b'>\r\n', 'sent:2-14:27:22.252939*')
('14:27:22.908361', b'>\r\n', 'sent:2-14:27:22.518517*')
('14:27:22.923956', b'>\r\n', 'sent:2-14:27:22.908361*')
('14:27:22.939533', b'>\r\n', 'sent:2-14:27:22.923956*')
('14:27:22.970827', b'>\r\n', 'sent:2-14:27:22.939533*')
('14:27:23.111142', b'>\r\n', 'sent:2-14:27:22.970827*')
('14:27:23.127058', b'>\r\n', 'sent:2-14:27:23.111142*')
('14:27:23.267634', b'>\r\n', 'sent:2-14:27:23.127058*')
('14:27:23.361378', b'>\r\n', 'sent:2-14:27:23.267634*')
('14:27:23.376977', b'>\r\n', 'sent:2-14:27:23.361378*')
('14:27:23.454814', b'>\r\n', 'sent:2-14:27:23.376977*')
('14:27:23.719629', b'>\r\n', 'sent:2-14:27:23.454814*')
('14:27:23.813357', b'>\r\n', 'sent:2-14:27:23.719629*')
('14:27:24.016452', b'>\r\n', 'sent:2-14:27:23.813357*')
('14:27:24.344491', b'>\r\n', 'sent:2-14:27:24.016452*')
('14:27:24.360125', b'>\r\n', 'sent:2-14:27:24.344491*')
('14:27:24.437938', b'>\r\n', 'sent:2-14:27:24.360125*')
('14:27:24.828745', b'>\r\n', 'sent:2-14:27:24.437938*')
('14:27:25.286050', b'>\r\n', 'sent:2-14:27:24.828745*')
('14:27:25.426627', b'>\r\n', 'sent:2-14:27:25.286050*')
('14:27:25.629705', b'>\r\n', 'sent:2-14:27:25.426627*')
('14:27:26.395155', b'>\r\n', 'sent:2-14:27:25.629705*')
('14:27:26.660722', b'>\r\n', 'sent:2-14:27:26.395155*')
('14:27:26.863799', b'>\r\n', 'sent:2-14:27:26.660722*')
('14:27:27.191850', b'>\r\n', 'sent:2-14:27:26.863799*')
('14:27:27.394927', b'>\r\n', 'sent:2-14:27:27.191850*')
('14:27:27.410271', b'>\r\n', 'sent:2-14:27:27.394927*')
('14:27:27.738551', b'>\r\n', 'sent:2-14:27:27.410271*')
('14:27:27.879208', b'>\r\n', 'sent:2-14:27:27.738551*')
('14:27:28.207258', b'>\r\n', 'sent:2-14:27:27.879208*')
('14:27:28.597521', b'>\r\n', 'sent:2-14:27:28.207258*')
('14:27:28.739832', b'>\r\n', 'sent:2-14:27:28.597521*')
('14:27:28.818233', b'>\r\n', 'sent:2-14:27:28.739832*')
('14:27:28.911946', b'>\r\n', 'sent:2-14:27:28.818233*')
('14:27:28.990046', b'>\r\n', 'sent:2-14:27:28.911946*')
('14:27:29.005602', b'>\r\n', 'sent:2-14:27:28.990046*')
('14:27:29.333727', b'>\r\n', 'sent:2-14:27:29.005602*')
('14:27:29.536783', b'>\r\n', 'sent:2-14:27:29.333727*')
('14:27:30.052325', b'>\r\n', 'sent:2-14:27:29.536783*')
('14:27:30.192896', b'>\r\n', 'sent:2-14:27:30.052325*')
('14:27:30.286624', b'>\r\n', 'sent:2-14:27:30.192896*')
('14:27:30.302273', b'>\r\n', 'sent:2-14:27:30.286624*')
('14:27:30.630321', b'>\r\n', 'sent:2-14:27:30.302273*')
('14:27:30.770804', b'>\r\n', 'sent:2-14:27:30.630321*')
('14:27:30.786535', b'>\r\n', 'sent:2-14:27:30.770804*')
('14:27:30.817764', b'>\r\n', 'sent:2-14:27:30.786535*')
('14:27:31.270516', b'>\r\n', 'sent:2-14:27:30.817764*')
('14:27:31.348889', b'>\r\n', 'sent:2-14:27:31.270516*')
('14:27:31.801911', b'>\r\n', 'sent:2-14:27:31.348889*')
('14:27:31.817549', b'>\r\n', 'sent:2-14:27:31.801911*')
('14:27:32.090810', b'>\r\n', 'sent:2-14:27:31.817549*')
('14:27:32.902941', b'>\r\n', 'sent:2-14:27:32.090810*')
('14:27:33.043712', b'>\r\n', 'sent:2-14:27:32.902941*')
('14:27:33.074851', b'>\r\n', 'sent:2-14:27:33.043712*')
('14:27:33.215550', b'>\r\n', 'sent:2-14:27:33.074851*')
('14:27:33.231194', b'>\r\n', 'sent:2-14:27:33.215550*')
('14:27:33.246798', b'>\r\n', 'sent:2-14:27:33.231194*')
