(11:23:22.18773500, '2-1948***********')
(11:23:24.59313700, '2-1971***********')
(11:23:24.65591900, '2-1972***********')
(11:23:25.07760900, '2-1975***********')
(11:23:25.09302200, '2-1976***********')
(11:23:26.17275800, '2-1984***********')
(11:23:28.84395100, '2-2006***********')
(11:23:29.75004500, '2-2019***********')
(11:23:31.09339600, '2-2030***********')
(11:23:31.09339600, '2-2031***********')
(11:23:36.59693400, '2-2074***********')
(11:23:37.14367600, '2-2080***********')
(11:23:37.14367600, '2-2081***********')
(11:23:38.23750600, '2-2096***********')
(11:23:38.30000900, '2-2098***********')
(11:23:38.58119300, '2-2105***********')
(11:23:38.76863500, '2-2107***********')
(11:23:38.76863500, '2-2108***********')
(11:23:39.39518600, '2-2115***********')
(11:23:40.48868500, '2-2128***********')
(11:23:42.69122600, '2-2148***********')
(11:23:42.69122600, '2-2149***********')
(11:23:44.45841400, '2-2169***********')
(11:23:44.45841400, '2-2170***********')
(11:23:45.05207700, '2-2176***********')
(11:23:45.70949100, '2-2182***********')
(11:23:47.08445500, '2-2195***********')
(11:23:48.70906300, '2-2211***********')
(11:23:48.78691900, '2-2212***********')
(11:23:48.78691900, '2-2213***********')
(11:23:50.87902600, '2-2233***********')
(11:23:50.87988600, '2-2234***********')
(11:23:50.93805200, '2-2235***********')
(11:23:51.13142000, '2-2239***********')
(11:23:55.09757200, '2-2281***********')
(11:23:56.75467000, '2-2300***********')
(11:23:58.89503600, '2-2320***********')
(11:23:59.81836900, '2-2331***********')
(11:24:2.98979000, '2-2360***********')
(11:24:4.83757500, '2-2378***********')
(11:24:5.30605600, '2-2389***********')
(11:24:5.68122500, '2-2393***********')
(11:24:5.68122500, '2-2392***********')
(11:24:5.74370000, '2-2395***********')
(11:24:5.96239700, '2-2400***********')
(11:24:7.66514700, '2-2417***********')
(11:24:8.11816600, '2-2422***********')
(11:24:8.18059600, '2-2423***********')
(11:24:8.72724400, '2-2432***********')
(11:24:10.29092100, '2-2450***********')
(11:24:11.68063000, '2-2466***********')
(11:24:17.37050100, '2-2511***********')
(11:24:17.37050100, '2-2512***********')
(11:24:19.52650500, '2-2525***********')
(11:24:19.52650500, '2-2526***********')
(11:24:21.54454700, '2-2543***********')
(11:24:21.60704800, '2-2544***********')
(11:24:22.98170300, '2-2553***********')
(11:24:23.73126100, '2-2560***********')
(11:24:25.57638000, '2-2587***********')
(11:24:26.20119700, '2-2591***********')
(11:24:27.12289900, '2-2602***********')
(11:24:27.12289900, '2-2603***********')
(11:24:27.41970400, '2-2608***********')
(11:24:29.01515000, '2-2624***********')
(11:24:31.97450600, '2-2647***********')
(11:24:33.69804400, '2-2670***********')
(11:24:41.12917000, '2-2728***********')
(11:24:42.59445200, '2-2743***********')
(11:24:43.64101000, '2-2751***********')
(11:24:44.19668500, '2-2757***********')
(11:24:46.42390300, '2-2788***********')
(11:24:49.39143200, '2-2812***********')
(11:24:50.85361200, '2-2827***********')
(11:24:54.22238300, '2-2866***********')
(11:24:55.42524500, '2-2875***********')
(11:24:56.65647400, '2-2885***********')
(11:24:59.76509700, '2-2905***********')
(11:24:59.76509700, '2-2906***********')
(11:25:0.75537600, '2-2918***********')
(11:25:0.75537600, '2-2919***********')
(11:25:1.28651800, '2-2925***********')
(11:25:1.55207200, '2-2927***********')
(11:25:1.77076900, '2-2930***********')
(11:25:1.77076900, '2-2931***********')
(11:25:2.17233200, '2-2934***********')
(11:25:2.62535500, '2-2938***********')
(11:25:2.78153700, '2-2940***********')
(11:25:3.46888400, '2-2946***********')
(11:25:3.56261700, '2-2948***********')
(11:25:4.28120500, '2-2954***********')
(11:25:4.98418500, '2-2965***********')
(11:25:6.71943700, '2-2985***********')
(11:25:11.15771000, '2-3030***********')
(11:25:11.15771000, '2-3031***********')
(11:25:12.20524700, '2-3040***********')
(11:25:15.90907000, '2-3075***********')
(11:25:16.47155700, '2-3083***********')
(11:25:22.33238900, '2-3137***********')
(11:25:22.48875900, '2-3141***********')
(11:25:24.66491500, '2-3157***********')
(11:25:27.99503300, '2-3179***********')
