('12:02:03.170444', '2-0')
('12:02:03.498225', '2-1')
('12:02:03.576607', '2-2')
('12:02:03.966864', '2-3')
('12:02:04.045248', '2-4')
('12:02:04.060886', '2-5')
('12:02:04.263941', '2-6')
('12:02:04.279571', '2-7')
('12:02:04.685458', '2-8')
('12:02:04.701358', '2-9')
('12:02:04.795077', '2-10')
('12:02:04.872906', '2-11')
('12:02:05.078184', '2-12')
('12:02:05.156294', '2-13')
('12:02:05.234384', '2-14')
('12:02:05.374991', '2-15')
('12:02:05.531191', '2-16')
('12:02:05.546820', '2-17')
('12:02:05.640540', '2-18')
('12:02:06.327897', '2-19')
('12:02:06.406009', '2-20')
('12:02:06.734055', '2-21')
('12:02:06.999606', '2-22')
('12:02:07.077713', '2-23')
('12:02:07.218321', '2-24')
('12:02:07.312047', '2-25')
('12:02:07.452369', '2-26')
('12:02:07.655456', '2-27')
('12:02:07.733802', '2-28')
('12:02:07.827450', '2-29')
('12:02:07.843160', '2-30')
('12:02:07.983753', '2-31')
('12:02:08.374304', '2-32')
('12:02:08.389925', '2-33')
('12:02:08.420903', '2-34')
('12:02:08.436781', '2-35')
('12:02:08.577378', '2-36')
('12:02:08.593009', '2-37')
('12:02:08.796085', '2-38')
('12:02:08.874189', '2-39')
('12:02:08.952025', '2-40')
('12:02:08.983523', '2-41')
('12:02:09.061630', '2-42')
('12:02:09.077266', '2-43')
('12:02:09.280326', '2-44')
('12:02:09.546047', '2-45')
('12:02:09.686772', '2-46')
('12:02:10.014544', '2-47')
('12:02:10.155138', '2-48')
('12:02:10.233526', '2-49')
('12:02:10.327140', '2-50')
('12:02:10.342810', '2-51')
('12:02:10.470628', '2-52')
('12:02:10.548659', '2-53')
('12:02:10.579701', '2-54')
('12:02:10.595322', '2-55')
('12:02:10.673441', '2-56')
('12:02:10.876748', '2-57')
('12:02:10.892400', '2-58')
('12:02:11.095489', '2-59')
('12:02:11.189228', '2-60')
('12:02:11.392309', '2-61')
('12:02:11.532862', '2-62')
('12:02:11.626600', '2-63')
('12:02:11.642249', '2-64')
('12:02:11.673199', '2-65')
('12:02:11.814068', '2-66')
('12:02:11.892192', '2-67')
('12:02:12.032768', '2-68')
('12:02:12.048392', '2-69')
('12:02:12.079636', '2-70')
('12:02:12.095274', '2-71')
('12:02:12.173096', '2-72')
('12:02:12.329298', '2-73')
('12:02:12.407688', '2-74')
('12:02:12.548292', '2-75')
('12:02:12.563899', '2-76')
('12:02:13.141634', '2-77')
('12:02:13.298123', '2-78')
('12:02:13.438418', '2-79')
('12:02:13.641496', '2-80')
('12:02:13.719890', '2-81')
('12:02:13.985446', '2-82')
('12:02:14.128011', '2-83')
('12:02:14.268587', '2-84')
('12:02:14.409195', '2-85')
('12:02:14.549773', '2-86')
('12:02:14.643505', '2-87')
('12:02:14.659014', '2-88')
('12:02:14.877817', '2-89')
('12:02:14.893435', '2-90')
('12:02:14.987172', '2-91')
('12:02:15.065236', '2-92')
('12:02:15.143401', '2-93')
('12:02:15.283885', '2-94')
('12:02:15.549533', '2-95')
('12:02:15.564887', '2-96')
('12:02:15.658896', '2-97')
('12:02:15.861987', '2-98')
('12:02:16.252486', '2-99')
('12:02:16.393115', '2-100')
('12:02:16.408721', '2-101')
('12:02:16.424362', '2-102')
('12:02:16.768007', '2-103')
('12:02:16.971091', '2-104')
('12:02:17.221552', '2-105')
('12:02:17.252792', '2-106')
('12:02:17.705819', '2-107')
('12:02:17.721441', '2-108')
('12:02:17.737072', '2-109')
('12:02:17.768290', '2-110')
('12:02:17.846420', '2-111')
('12:02:17.862041', '2-112')
('12:02:18.486883', '2-113')
('12:02:18.580610', '2-114')
('12:02:18.658717', '2-115')
('12:02:18.924301', '2-116')
('12:02:19.017762', '2-117')
('12:02:19.096133', '2-118')
('12:02:19.111732', '2-119')
('12:02:19.127354', '2-120')
('12:02:19.392942', '2-121')
('12:02:19.408454', '2-122')
('12:02:19.439511', '2-123')
('12:02:19.517639', '2-124')
('12:02:19.955294', '2-125')
('12:02:20.222762', '2-126')
('12:02:20.300789', '2-127')
('12:02:20.628934', '2-128')
('12:02:20.644538', '2-129')
('12:02:20.738270', '2-130')
('12:02:20.753905', '2-131')
('12:02:20.956980', '2-132')
('12:02:20.972509', '2-133')
('12:02:20.988222', '2-134')
('12:02:21.191304', '2-135')
('12:02:21.285032', '2-136')
('12:02:21.363117', '2-137')
('12:02:21.503722', '2-138')
('12:02:21.581822', '2-139')
('12:02:21.597443', '2-140')
('12:02:21.628686', '2-141')
('12:02:21.706794', '2-142')
('12:02:21.972374', '2-143')
('12:02:21.987989', '2-144')
('12:02:22.441017', '2-145')
('12:02:22.456606', '2-146')
('12:02:22.784676', '2-147')
('12:02:22.862679', '2-148')
('12:02:23.065866', '2-149')
('12:02:23.393905', '2-150')
('12:02:23.472033', '2-151')
('12:02:23.677683', '2-152')
('12:02:23.752036', '2-153')
('12:02:23.783303', '2-154')
('12:02:23.798913', '2-155')
('12:02:23.814519', '2-156')
('12:02:24.080109', '2-157')
('12:02:24.408159', '2-158')
('12:02:24.486267', '2-159')
('12:02:24.501876', '2-160')
('12:02:24.595353', '2-161')
('12:02:24.845543', '2-162')
('12:02:24.876787', '2-163')
('12:02:24.892368', '2-164')
('12:02:24.908044', '2-165')
('12:02:25.298565', '2-166')
('12:02:25.505752', '2-167')
('12:02:25.583856', '2-168')
('12:02:25.599476', '2-169')
('12:02:25.630719', '2-170')
('12:02:25.958769', '2-171')
('12:02:26.349298', '2-172')
('12:02:26.427134', '2-173')
('12:02:26.583631', '2-174')
('12:02:26.724239', '2-175')
('12:02:27.177259', '2-176')
('12:02:27.192862', '2-177')
('12:02:27.333453', '2-178')
('12:02:27.474061', '2-179')
('12:02:27.505282', '2-180')
('12:02:27.583416', '2-181')
('12:02:27.911464', '2-182')
('12:02:27.942698', '2-183')
('12:02:28.020803', '2-184')
('12:02:28.161381', '2-185')
('12:02:28.239494', '2-186')
('12:02:28.442574', '2-187')
('12:02:28.708158', '2-188')
('12:02:28.739124', '2-189')
('12:02:29.115974', '2-190')
('12:02:29.506213', '2-191')
('12:02:29.521834', '2-192')
('12:02:29.678343', '2-193')
('12:02:29.756426', '2-194')
('12:02:29.787679', '2-195')
('12:02:29.803291', '2-196')
('12:02:30.068861', '2-197')
('12:02:30.162596', '2-198')
('12:02:30.240700', '2-199')
('12:02:30.256339', '2-200')
('12:02:30.287547', '2-201')
('12:02:30.303135', '2-202')
('12:02:30.631247', '2-203')
('12:02:30.724965', '2-204')
('12:02:30.865554', '2-205')
('12:02:30.943652', '2-206')
('12:02:31.021490', '2-207')
('12:02:31.302969', '2-208')
('12:02:31.318575', '2-209')
('12:02:31.412320', '2-210')
('12:02:31.490428', '2-211')
('12:02:31.521654', '2-212')
('12:02:32.084040', '2-213')
('12:02:32.537061', '2-214')
('12:02:32.552658', '2-215')
('12:02:32.568305', '2-216')
('12:02:32.646394', '2-217')
('12:02:32.849488', '2-218')
('12:02:33.130664', '2-219')
('12:02:33.380340', '2-220')
('12:02:33.474067', '2-221')
('12:02:33.724016', '2-222')
('12:02:34.364750', '2-223')
('12:02:34.567722', '2-224')
('12:02:34.779130', '2-225')
('12:02:34.795022', '2-226')
('12:02:34.810644', '2-227')
('12:02:34.904318', '2-228')
('12:02:34.919947', '2-229')
('12:02:34.950961', '2-230')
('12:02:35.154330', '2-231')
('12:02:35.169936', '2-232')
('12:02:35.200930', '2-233')
('12:02:35.279290', '2-234')
('12:02:35.429795', '2-235')
('12:02:35.445391', '2-236')
('12:02:35.476619', '2-237')
('12:02:35.617267', '2-238')
('12:02:35.695352', '2-239')
('12:02:36.085866', '2-240')
('12:02:36.226503', '2-241')
('12:02:36.429551', '2-242')
('12:02:36.445174', '2-243')
('12:02:36.523294', '2-244')
('12:02:36.538915', '2-245')
('12:02:36.570130', '2-246')
('12:02:36.585606', '2-247')
('12:02:36.616871', '2-248')
('12:02:36.632648', '2-249')
('12:02:36.897979', '2-250')
('12:02:37.101301', '2-251')
('12:02:37.179392', '2-252')
('12:02:37.507441', '2-253')
('12:02:37.601170', '2-254')
('12:02:37.616515', '2-255')
('12:02:37.632414', '2-256')
('12:02:37.648056', '2-257')
('12:02:38.093113', '2-258')
('12:02:38.170984', '2-259')
('12:02:38.202348', '2-260')
('12:02:38.405567', '2-261')
('12:02:38.421134', '2-262')
('12:02:38.749235', '2-263')
('12:02:38.889821', '2-264')
('12:02:38.905443', '2-265')
('12:02:38.921088', '2-266')
('12:02:38.952330', '2-267')
('12:02:38.967860', '2-268')
('12:02:39.061670', '2-269')
('12:02:39.077303', '2-270')
('12:02:39.217880', '2-271')
('12:02:39.295975', '2-272')
('12:02:39.326975', '2-273')
('12:02:39.405352', '2-274')
('12:02:39.483183', '2-275')
('12:02:39.498804', '2-276')
('12:02:39.530048', '2-277')
('12:02:39.545797', '2-278')
('12:02:39.561413', '2-279')
('12:02:39.764627', '2-280')
('12:02:40.045816', '2-281')
('12:02:40.061446', '2-282')
('12:02:40.202041', '2-283')
('12:02:40.342612', '2-284')
('12:02:40.492593', '2-285')
('12:02:40.523891', '2-286')
('12:02:40.539736', '2-287')
('12:02:40.555356', '2-288')
('12:02:40.586592', '2-289')
('12:02:40.602215', '2-290')
('12:02:40.805303', '2-291')
('12:02:41.195826', '2-292')
('12:02:41.211456', '2-293')
('12:02:41.227077', '2-294')
('12:02:41.383307', '2-295')
('12:02:41.461412', '2-296')
('12:02:41.914435', '2-297')
('12:02:42.117513', '2-298')
('12:02:42.258111', '2-299')
('12:02:42.336198', '2-300')
('12:02:42.539280', '2-301')
('12:02:42.554701', '2-302')
('12:02:42.695505', '2-303')
('12:02:43.163876', '2-304')
('12:02:43.601551', '2-305')
('12:02:43.679629', '2-306')
('12:02:43.710881', '2-307')
('12:02:43.851474', '2-308')
('12:02:43.929583', '2-309')
('12:02:43.945196', '2-310')
('12:02:43.976439', '2-311')
('12:02:44.056176', '2-312')
('12:02:44.072076', '2-313')
('12:02:44.103063', '2-314')
('12:02:44.243915', '2-315')
('12:02:44.446915', '2-316')
('12:02:44.775039', '2-317')
('12:02:45.102957', '2-318')
('12:02:45.368605', '2-319')
('12:02:45.462397', '2-320')
('12:02:45.540505', '2-321')
('12:02:45.556127', '2-322')
('12:02:45.634233', '2-323')
('12:02:45.665475', '2-324')
('12:02:45.743565', '2-325')
('12:02:45.759145', '2-326')
('12:02:45.962284', '2-327')
('12:02:45.993506', '2-328')
('12:02:46.134010', '2-329')
('12:02:46.462099', '2-330')
('12:02:46.852623', '2-331')
('12:02:46.930794', '2-332')
('12:02:47.071402', '2-333')
('12:02:47.087013', '2-334')
('12:02:47.102634', '2-335')
('12:02:47.196261', '2-336')
('12:02:47.274482', '2-337')
('12:02:47.540046', '2-338')
('12:02:47.680345', '2-339')
('12:02:47.711867', '2-340')
('12:02:47.727389', '2-341')
('12:02:47.930288', '2-342')
('12:02:48.071176', '2-343')
('12:02:48.102416', '2-344')
('12:02:48.195882', '2-345')
('12:02:48.394583', '2-346')
('12:02:48.526170', '2-347')
('12:02:48.557382', '2-348')
('12:02:48.572992', '2-349')
('12:02:48.711091', '2-350')
('12:02:48.927206', '2-351')
('12:02:49.011594', '2-352')
('12:02:49.027217', '2-353')
('12:02:49.042842', '2-354')
('12:02:49.374635', '2-355')
('12:02:49.459082', '2-356')
('12:02:49.597150', '2-357')
('12:02:49.744803', '2-358')
('12:02:49.829493', '2-359')
('12:02:50.098864', '2-360')
('12:02:50.230699', '2-361')
('12:02:50.261941', '2-362')
('12:02:50.277577', '2-363')
('12:02:50.415431', '2-364')
('12:02:50.431338', '2-365')
('12:02:50.462582', '2-366')
('12:02:50.600030', '2-367')
('12:02:50.615656', '2-368')
('12:02:50.716281', '2-369')
('12:02:50.800662', '2-370')
('12:02:50.879055', '2-371')
('12:02:50.900948', '2-372')
('12:02:50.916849', '2-373')
('12:02:50.932425', '2-374')
('12:02:50.963715', '2-375')
('12:02:51.101686', '2-376')
('12:02:51.201980', '2-377')
('12:02:51.465082', '2-378')
('12:02:51.480984', '2-379')
('12:02:51.502871', '2-380')
('12:02:51.518763', '2-381')
('12:02:51.665933', '2-382')
('12:02:51.681572', '2-383')
('12:02:51.766209', '2-384')
('12:02:51.797452', '2-385')
('12:02:51.819556', '2-386')
('12:02:51.835174', '2-387')
('12:02:51.982333', '2-388')
('12:02:52.066962', '2-389')
('12:02:52.151323', '2-390')
('12:02:52.367522', '2-391')
('12:02:52.568360', '2-392')
('12:02:52.583992', '2-393')
('12:02:52.605865', '2-394')
('12:02:52.822371', '2-395')
('12:02:52.953633', '2-396')
('12:02:52.984878', '2-397')
('12:02:53.007005', '2-398')
('12:02:53.077689', '2-399')
('12:02:53.107585', '2-400')
('12:02:53.185977', '2-401')
('12:02:53.207886', '2-402')
('12:02:53.223786', '2-403')
('12:02:53.308164', '2-404')
('12:02:53.324080', '2-405')
('12:02:53.355308', '2-406')
('12:02:53.439740', '2-407')
('12:02:53.524346', '2-408')
('12:02:53.540230', '2-409')
('12:02:53.687563', '2-410')
('12:02:53.825516', '2-411')
('12:02:54.025820', '2-412')
('12:02:54.041458', '2-413')
('12:02:54.072417', '2-414')
('12:02:54.273303', '2-415')
('12:02:54.288909', '2-416')
('12:02:54.511390', '2-417')
('12:02:54.712009', '2-418')
('12:02:54.790120', '2-419')
('12:02:54.812032', '2-420')
('12:02:54.827934', '2-421')
('12:02:54.912336', '2-422')
('12:02:54.928259', '2-423')
('12:02:54.943863', '2-424')
('12:02:55.028573', '2-425')
('12:02:55.044193', '2-426')
('12:02:55.191368', '2-427')
('12:02:55.213219', '2-428')
('12:02:55.244744', '2-429')
('12:02:55.386615', '2-430')
('12:02:55.402528', '2-431')
('12:02:55.429670', '2-432')
('12:02:55.561215', '2-433')
('12:02:55.592166', '2-434')
('12:02:55.730324', '2-435')
('12:02:56.061729', '2-436')
('12:02:56.262337', '2-437')
('12:02:56.462524', '2-438')
('12:02:56.547200', '2-439')
('12:02:56.816334', '2-440')
('12:02:57.079436', '2-441')
('12:02:57.349142', '2-442')
('12:02:57.496276', '2-443')
('12:02:57.697138', '2-444')
('12:02:57.850521', '2-445')
('12:02:58.051042', '2-446')
('12:02:58.066666', '2-447')
('12:02:58.282730', '2-448')
('12:02:58.670890', '2-449')
('12:02:58.748996', '2-450')
('12:02:58.952013', '2-451')
('12:02:58.983330', '2-452')
('12:02:59.125814', '2-453')
('12:02:59.203921', '2-454')
('12:02:59.235167', '2-455')
('12:02:59.313205', '2-456')
('12:02:59.516094', '2-457')
('12:02:59.656943', '2-458')
('12:02:59.922504', '2-459')
('12:03:00.016242', '2-460')
('12:03:00.094358', '2-461')
('12:03:00.375251', '2-462')
('12:03:00.391140', '2-463')
('12:03:00.484877', '2-464')
('12:03:00.562985', '2-465')
('12:03:00.578622', '2-466')
('12:03:00.594244', '2-467')
('12:03:00.625486', '2-468')
('12:03:00.766033', '2-469')
('12:03:00.797050', '2-470')
('12:03:01.172234', '2-471')
('12:03:01.203463', '2-472')
('12:03:01.344061', '2-473')
('12:03:01.422180', '2-474')
('12:03:01.515883', '2-475')
('12:03:01.718970', '2-476')
('12:03:01.734612', '2-477')
('12:03:01.875183', '2-478')
('12:03:01.953310', '2-479')
('12:03:02.046930', '2-480')
('12:03:02.187615', '2-481')
('12:03:02.203230', '2-482')
('12:03:02.218815', '2-483')
('12:03:02.671875', '2-484')
('12:03:02.749984', '2-485')
('12:03:02.781011', '2-486')
('12:03:02.796847', '2-487')
('12:03:02.812191', '2-488')
('12:03:02.953067', '2-489')
('12:03:03.156161', '2-490')
('12:03:03.187381', '2-491')
('12:03:03.312369', '2-492')
('12:03:03.343612', '2-493')
('12:03:03.421695', '2-494')
('12:03:03.437342', '2-495')
('12:03:03.530984', '2-496')
('12:03:03.609180', '2-497')
('12:03:03.827864', '2-498')
('12:03:03.843449', '2-499')
('12:03:04.296523', '2-500')
('12:03:04.733907', '2-501')
