('10:22:01.754728', '1-0')
('10:22:02.066860', '1-1')
('10:22:02.113725', '1-2')
('10:22:02.238968', '1-3')
('10:22:02.301188', '1-4')
('10:22:02.410824', '1-5')
('10:22:02.660474', '1-6')
('10:22:02.847932', '1-7')
('10:22:03.019983', '1-8')
('10:22:03.144739', '1-9')
('10:22:03.269987', '1-10')
('10:22:03.566810', '1-11')
('10:22:03.613456', '1-12')
('10:22:03.729847', '1-13')
('10:22:03.855109', '1-14')
('10:22:04.026946', '1-15')
('10:22:04.073786', '1-16')
('10:22:04.136021', '1-17')
('10:22:04.245576', '1-18')
('10:22:04.558008', '1-19')
('10:22:04.667164', '1-20')
('10:22:04.729897', '1-21')
('10:22:04.776772', '1-22')
('10:22:04.823621', '1-23')
('10:22:05.198291', '1-24')
('10:22:05.245320', '1-25')
('10:22:05.417237', '1-26')
('10:22:05.541929', '1-27')
('10:22:05.729622', '1-28')
('10:22:05.854386', '1-29')
('10:22:06.213681', '1-30')
('10:22:06.514185', '1-31')
('10:22:06.701915', '1-32')
('10:22:06.748778', '1-33')
('10:22:06.811008', '1-34')
('10:22:06.857850', '1-35')
('10:22:06.905011', '1-36')
('10:22:06.951578', '1-37')
('10:22:07.076835', '1-38')
('10:22:07.123413', '1-39')
('10:22:07.295443', '1-40')
('10:22:07.545213', '1-41')
('10:22:07.710344', '1-42')
('10:22:07.835596', '1-43')
('10:22:07.882460', '1-44')
('10:22:07.929313', '1-45')
('10:22:07.991552', '1-46')
('10:22:08.038592', '1-47')
('10:22:08.163398', '1-48')
('10:22:08.397718', '1-49')
('10:22:08.586760', '1-50')
('10:22:08.755712', '1-51')
('10:22:08.818383', '1-52')
('10:22:08.871546', '1-53')
('10:22:08.918356', '1-54')
('10:22:09.087592', '1-55')
('10:22:09.272884', '1-56')
('10:22:09.319505', '1-57')
('10:22:09.573198', '1-58')
('10:22:09.692302', '1-59')
('10:22:09.734615', '1-60')
('10:22:09.973942', '1-61')
('10:22:10.089848', '1-62')
('10:22:10.152303', '1-63')
('10:22:10.205218', '1-64')
('10:22:10.305535', '1-65')
('10:22:10.358835', '1-66')
('10:22:10.474968', '1-67')
('10:22:10.521633', '1-68')
('10:22:10.575028', '1-69')
('10:22:10.690883', '1-70')
('10:22:10.753487', '1-71')
('10:22:10.806414', '1-72')
('10:22:10.853526', '1-73')
('10:22:10.906706', '1-74')
('10:22:10.959615', '1-75')
('10:22:11.006655', '1-76')
('10:22:11.059861', '1-77')
('10:22:11.238508', '1-78')
('10:22:11.407392', '1-79')
('10:22:11.839342', '1-80')
('10:22:11.892743', '1-81')
('10:22:11.992788', '1-82')
('10:22:12.055178', '1-83')
('10:22:12.161853', '1-84')
('10:22:12.340549', '1-85')
('10:22:12.393751', '1-86')
('10:22:12.440870', '1-87')
('10:22:12.494475', '1-88')
('10:22:12.795662', '1-89')
('10:22:12.842513', '1-90')
('10:22:12.958428', '1-91')
('10:22:13.196120', '1-92')
('10:22:13.312033', '1-93')
('10:22:13.365197', '1-94')
('10:22:13.481388', '1-95')
('10:22:13.527975', '1-96')
('10:22:13.644386', '1-97')
('10:22:13.828853', '1-98')
('10:22:13.882230', '1-99')
('10:22:14.182717', '1-100')
('10:22:14.229838', '1-101')
('10:22:14.283343', '1-102')
