('10:22:25.410987', '5-200')
('10:22:25.583099', '5-201')
('10:22:25.707799', '5-202')
('10:22:25.817313', '5-203')
('10:22:25.864280', '5-204')
('10:22:26.113981', '5-205')
('10:22:26.161109', '5-206')
('10:22:26.207708', '5-207')
('10:22:26.317308', '5-208')
('10:22:26.512332', '5-209')
('10:22:26.802277', '5-210')
('10:22:26.864715', '5-211')
('10:22:26.911589', '5-212')
('10:22:26.958568', '5-213')
('10:22:27.208513', '5-214')
('10:22:27.552034', '5-215')
('10:22:27.614521', '5-216')
('10:22:27.739640', '5-217')
('10:22:27.786443', '5-218')
('10:22:27.973812', '5-219')
('10:22:28.145859', '5-220')
('10:22:28.333106', '5-221')
('10:22:28.380263', '5-222')
('10:22:28.427129', '5-223')
('10:22:28.786406', '5-224')
('10:22:28.911099', '5-225')
('10:22:28.957986', '5-226')
('10:22:29.004827', '5-227')
('10:22:29.239414', '5-228')
('10:22:29.301663', '5-229')
('10:22:29.410984', '5-230')
('10:22:29.535957', '5-231')
('10:22:29.707814', '5-232')
('10:22:29.817141', '5-233')
('10:22:29.864298', '5-234')
('10:22:29.911149', '5-235')
('10:22:29.957953', '5-236')
('10:22:30.004598', '5-237')
('10:22:30.192057', '5-238')
('10:22:30.238920', '5-239')
('10:22:30.285806', '5-240')
('10:22:30.332944', '5-241')
('10:22:30.629742', '5-242')
('10:22:30.740792', '5-243')
('10:22:30.912903', '5-244')
('10:22:30.975348', '5-245')
('10:22:31.022256', '5-246')
('10:22:31.194110', '5-247')
('10:22:31.256298', '5-248')
('10:22:31.365925', '5-249')
('10:22:31.428329', '5-250')
('10:22:31.475265', '5-251')
('10:22:31.647054', '5-252')
('10:22:31.771805', '5-253')
('10:22:31.818955', '5-254')
('10:22:31.943640', '5-255')
('10:22:32.053288', '5-256')
('10:22:32.100155', '5-257')
('10:22:32.474768', '5-258')
('10:22:32.584372', '5-259')
('10:22:32.756081', '5-260')
('10:22:32.818718', '5-261')
('10:22:32.865576', '5-262')
('10:22:32.912192', '5-263')
('10:22:32.959271', '5-264')
('10:22:33.021700', '5-265')
('10:22:33.068664', '5-266')
('10:22:33.255840', '5-267')
('10:22:33.302916', '5-268')
('10:22:33.349720', '5-269')
('10:22:33.396464', '5-270')
('10:22:33.443299', '5-271')
('10:22:33.505921', '5-272')
('10:22:33.552939', '5-273')
('10:22:33.599754', '5-274')
('10:22:33.646376', '5-275')
('10:22:33.833833', '5-276')
('10:22:33.880697', '5-277')
('10:22:33.927562', '5-278')
('10:22:33.974658', '5-279')
('10:22:34.224619', '5-280')
('10:22:34.286854', '5-281')
('10:22:34.333996', '5-282')
('10:22:34.380871', '5-283')
('10:22:34.505689', '5-284')
('10:22:34.552540', '5-285')
('10:22:34.677395', '5-286')
('10:22:34.724256', '5-287')
('10:22:34.849227', '5-288')
('10:22:34.896091', '5-289')
('10:22:35.146065', '5-290')
('10:22:35.318009', '5-291')
('10:22:35.380382', '5-292')
('10:22:35.427218', '5-293')
('10:22:35.474082', '5-294')
('10:22:35.520970', '5-295')
('10:22:35.645923', '5-296')
('10:22:35.895861', '5-297')
('10:22:35.942726', '5-298')
('10:22:36.114590', '5-299')
('10:22:36.177063', '5-300')
('10:22:36.223939', '5-301')
('10:22:36.520986', '5-302')
('10:22:36.645936', '5-303')
('10:22:36.834830', '5-304')
('10:22:36.881730', '5-305')
('10:22:37.006665', '5-306')
('10:22:37.053529', '5-307')
('10:22:37.100424', '5-308')
('10:22:37.147258', '5-309')
('10:22:37.397242', '5-310')
('10:22:37.444337', '5-311')
('10:22:37.569036', '5-312')
('10:22:37.694008', '5-313')
('10:22:37.741133', '5-314')
('10:22:37.803636', '5-315')
('10:22:37.928331', '5-316')
('10:22:37.975193', '5-317')
('10:22:38.022058', '5-318')
('10:22:38.147029', '5-319')
('10:22:38.256605', '5-320')
('10:22:38.381351', '5-321')
('10:22:38.443849', '5-322')
('10:22:38.740782', '5-323')
('10:22:38.787553', '5-324')
('10:22:38.834372', '5-325')
('10:22:39.084314', '5-326')
('10:22:39.318635', '5-327')
('10:22:39.365540', '5-328')
('10:22:39.537603', '5-329')
('10:22:39.724793', '5-330')
('10:22:39.834143', '5-331')
('10:22:39.896663', '5-332')
('10:22:39.943736', '5-333')
('10:22:39.990545', '5-334')
('10:22:40.162467', '5-335')
('10:22:40.287176', '5-336')
('10:22:40.518780', '5-337')
('10:22:40.565667', '5-338')
('10:22:40.752854', '5-339')
('10:22:40.862193', '5-340')
('10:22:40.924677', '5-341')
('10:22:40.971543', '5-342')
('10:22:41.143654', '5-343')
('10:22:41.205904', '5-344')
('10:22:41.315234', '5-345')
('10:22:41.362359', '5-346')
('10:22:41.487030', '5-347')
('10:22:41.659941', '5-348')
('10:22:41.831953', '5-349')
('10:22:41.894509', '5-350')
('10:22:41.941102', '5-351')
('10:22:41.987966', '5-352')
('10:22:42.160094', '5-353')
('10:22:42.222287', '5-354')
('10:22:42.269432', '5-355')
('10:22:42.394126', '5-356')
('10:22:42.441278', '5-357')
('10:22:42.487851', '5-358')
('10:22:42.534935', '5-359')
('10:22:42.581773', '5-360')
('10:22:42.644239', '5-361')
('10:22:42.693450', '5-362')
('10:22:42.804807', '5-363')
('10:22:43.039345', '5-364')
('10:22:43.226565', '5-365')
('10:22:43.351574', '5-366')
('10:22:43.398679', '5-367')
('10:22:43.570515', '5-368')
('10:22:43.617371', '5-369')
('10:22:43.804557', '5-370')
('10:22:43.929727', '5-371')
('10:22:43.976669', '5-372')
('10:22:44.023257', '5-373')
('10:22:44.085743', '5-374')
('10:22:44.492154', '5-375')
('10:22:44.554385', '5-376')
('10:22:44.601535', '5-377')
('10:22:44.898355', '5-378')
('10:22:44.945218', '5-379')
('10:22:45.117049', '5-380')
('10:22:45.304217', '5-381')
('10:22:45.413782', '5-382')
('10:22:45.476327', '5-383')
('10:22:45.523174', '5-384')
('10:22:46.132151', '5-385')
('10:22:46.179315', '5-386')
('10:22:46.226179', '5-387')
('10:22:46.272997', '5-388')
('10:22:46.460339', '5-389')
('10:22:46.568125', '5-390')
('10:22:46.864955', '5-391')
('10:22:47.052587', '5-392')
('10:22:47.224503', '5-393')
('10:22:47.271089', '5-394')
('10:22:47.317971', '5-395')
('10:22:47.442924', '5-396')
('10:22:47.615035', '5-397')
('10:22:47.739765', '5-398')
('10:22:47.786873', '5-399')
('10:22:47.849081', '5-400')
('10:22:47.958455', '5-401')
('10:22:48.130267', '5-402')
('10:22:48.177408', '5-403')
('10:22:48.302103', '5-404')
('10:22:48.348967', '5-405')
('10:22:48.645809', '5-406')
('10:22:48.695601', '5-407')
('10:22:48.742744', '5-408')
('10:22:48.867616', '5-409')
('10:22:48.977069', '5-410')
('10:22:49.039461', '5-411')
('10:22:49.148920', '5-412')
('10:22:49.211406', '5-413')
('10:22:49.382965', '5-414')
('10:22:49.429830', '5-415')
('10:22:49.664406', '5-416')
('10:22:49.726805', '5-417')
('10:22:49.898729', '5-418')
('10:22:49.961034', '5-419')
('10:22:50.070322', '5-420')
('10:22:50.367095', '5-421')
('10:22:50.492065', '5-422')
('10:22:50.663900', '5-423')
('10:22:50.726386', '5-424')
('10:22:50.773523', '5-425')
('10:22:50.945365', '5-426')
('10:22:51.132543', '5-427')
('10:22:51.382508', '5-428')
('10:22:51.507640', '5-429')
('10:22:51.617056', '5-430')
('10:22:51.991974', '5-431')
