(10:41:20.08106600, '2-1719***********')
(10:41:21.58098800, '2-1732***********')
(10:41:22.13491500, '2-1735***********')
(10:41:22.59336600, '2-1742***********')
(10:41:26.73381800, '2-1780***********')
(10:41:29.03436200, '2-1796***********')
(10:41:29.03635700, '2-1797***********')
(10:41:30.98906100, '2-1815***********')
(10:41:33.90247700, '2-1835***********')
(10:41:35.18987800, '2-1844***********')
(10:41:36.43849900, '2-1856***********')
(10:41:36.44149000, '2-1857***********')
(10:41:38.83941000, '2-1874***********')
(10:41:39.24920100, '2-1878***********')
(10:41:39.81155000, '2-1883***********')
(10:41:42.33615100, '2-1905***********')
(10:41:42.33911500, '2-1906***********')
(10:41:45.52723100, '2-1937***********')
(10:41:45.87549300, '2-1939***********')
(10:41:47.94321500, '2-1946***********')
(10:41:48.91949100, '2-1955***********')
(10:41:49.40019800, '2-1959***********')
(10:41:50.03649600, '2-1963***********')
(10:41:50.42546700, '2-1966***********')
(10:41:52.39568600, '2-1981***********')
(10:41:53.61524800, '2-1992***********')
(10:41:53.61724200, '2-1993***********')
(10:41:54.01183300, '2-1996***********')
(10:41:55.33236300, '2-2006***********')
(10:41:56.45718600, '2-2012***********')
(10:41:56.45918100, '2-2013***********')
(10:41:58.10723200, '2-2033***********')
(10:41:58.30070800, '2-2037***********')
(10:42:3.51108600, '2-2077***********')
(10:42:3.70541300, '2-2080***********')
(10:42:6.18092700, '2-2099***********')
(10:42:6.18292100, '2-2100***********')
(10:42:6.34253000, '2-2102***********')
(10:42:6.76040200, '2-2108***********')
(10:42:7.66230600, '2-2117***********')
(10:42:8.47852100, '2-2123***********')
(10:42:8.48147400, '2-2124***********')
(10:42:8.57106400, '2-2126***********')
(10:42:9.40239500, '2-2133***********')
(10:42:9.40439500, '2-2134***********')
(10:42:9.65926500, '2-2139***********')
(10:42:10.18831100, '2-2143***********')
(10:42:12.08973700, '2-2158***********')
(10:42:16.33689700, '2-2199***********')
(10:42:16.34388400, '2-2200***********')
(10:42:17.07293600, '2-2207***********')
(10:42:17.49262800, '2-2212***********')
(10:42:17.49562100, '2-2213***********')
(10:42:18.86134800, '2-2224***********')
(10:42:20.91102000, '2-2240***********')
(10:42:23.96457100, '2-2261***********')
(10:42:25.13747700, '2-2270***********')
(10:42:25.14147700, '2-2271***********')
(10:42:29.17097000, '2-2300***********')
(10:42:30.44136500, '2-2314***********')
(10:42:30.44336500, '2-2315***********')
(10:42:30.72729100, '2-2318***********')
(10:42:30.73028700, '2-2319***********')
(10:42:30.78869200, '2-2321***********')
(10:42:30.79171900, '2-2320***********')
(10:42:30.88138800, '2-2323***********')
(10:42:32.65524400, '2-2341***********')
(10:42:34.10591300, '2-2352***********')
(10:42:34.10889800, '2-2353***********')
(10:42:35.76134600, '2-2365***********')
(10:42:37.73639700, '2-2386***********')
(10:42:38.02508600, '2-2390***********')
(10:42:43.32639100, '2-2435***********')
(10:42:47.15437100, '2-2456***********')
(10:42:47.78324100, '2-2462***********')
(10:42:49.32914200, '2-2474***********')
(10:42:52.01491700, '2-2503***********')
(10:42:52.49807700, '2-2508***********')
(10:42:52.50107300, '2-2509***********')
(10:42:52.72325400, '2-2511***********')
(10:42:53.85811000, '2-2520***********')
(10:42:55.86359500, '2-2537***********')
(10:42:55.86559000, '2-2538***********')
(10:42:57.11320100, '2-2546***********')
(10:42:57.57351900, '2-2551***********')
(10:42:58.50503000, '2-2560***********')
(10:42:59.59062200, '2-2568***********')
(10:43:0.09956600, '2-2575***********')
(10:43:0.16154400, '2-2576***********')
(10:43:0.44986200, '2-2579***********')
(10:43:0.45487800, '2-2580***********')
(10:43:0.86015900, '2-2586***********')
(10:43:0.86314800, '2-2587***********')
(10:43:1.13941300, '2-2589***********')
(10:43:2.21058100, '2-2597***********')
(10:43:2.37327700, '2-2599***********')
(10:43:3.77938100, '2-2612***********')
(10:43:5.79995100, '2-2623***********')
(10:43:6.77363300, '2-2630***********')
(10:43:10.01574900, '2-2656***********')
(10:43:11.09675100, '2-2663***********')
(10:43:12.85433900, '2-2675***********')
(10:43:12.85733100, '2-2676***********')
(10:43:14.37057200, '2-2686***********')
(10:43:17.55314400, '2-2707***********')
(10:43:23.05618100, '2-2752***********')
(10:43:23.88130000, '2-2759***********')
(10:43:23.88329500, '2-2758***********')
(10:43:26.00716700, '2-2775***********')
(10:43:26.06752900, '2-2777***********')
(10:43:26.12876400, '2-2778***********')
(10:43:26.35341400, '2-2779***********')
(10:43:26.35640600, '2-2780***********')
(10:43:27.15108300, '2-2787***********')
