(10:37:40.97389600, '1-16*************')
(10:37:45.67438900, '1-56*************')
(10:37:45.67638700, '1-55*************')
(10:37:45.73740500, '1-57*************')
(10:37:45.73840300, '1-58*************')
(10:37:48.00029600, '1-71*************')
(10:37:48.00328600, '1-72*************')
(10:37:49.79835400, '1-83*************')
(10:37:50.60051000, '1-89*************')
(10:37:50.60153700, '1-90*************')
(10:37:55.79682400, '1-121************')
(10:37:56.12328100, '1-125************')
(10:38:1.84723000, '1-171************')
(10:38:2.71631400, '1-182************')
(10:38:6.52255800, '1-200************')
(10:38:8.90000300, '1-222************')
(10:38:9.28059000, '1-226************')
(10:38:9.34363000, '1-229************')
(10:38:9.40546300, '1-230************')
(10:38:11.21503500, '1-239************')
(10:38:12.24936400, '1-245************')
(10:38:13.17370200, '1-250************')
(10:38:13.97517800, '1-256************')
(10:38:14.37207600, '1-261************')
(10:38:20.50886700, '1-303************')
(10:38:20.50986400, '1-304************')
(10:38:20.63750500, '1-306************')
(10:38:22.08593700, '1-314************')
(10:38:23.22242500, '1-323************')
(10:38:24.56188100, '1-338************')
(10:38:24.56287800, '1-339************')
(10:38:26.17323100, '1-350************')
(10:38:27.57790000, '1-365************')
(10:38:27.67189200, '1-367************')
(10:38:30.87708600, '1-386************')
(10:38:31.03077100, '1-390************')
(10:38:35.15032400, '1-421************')
(10:38:36.02230600, '1-425************')
(10:38:36.02330400, '1-426************')
(10:38:37.23633300, '1-433************')
(10:38:37.23733100, '1-432************')
(10:38:37.94190000, '1-436************')
(10:38:38.57764200, '1-438************')
(10:38:38.86430200, '1-442************')
(10:38:45.60334800, '1-490************')
(10:38:50.77743500, '1-525************')
(10:38:50.77839500, '1-526************')
(10:38:52.29095300, '1-541************')
(10:38:54.77596300, '1-554************')
(10:38:55.79442100, '1-562************')
(10:38:56.55368400, '1-568************')
(10:38:56.90281700, '1-571************')
(10:38:58.13207200, '1-580************')
(10:38:58.13308500, '1-581************')
(10:38:58.61787900, '1-586************')
(10:38:59.60609300, '1-595************')
(10:39:0.18055600, '1-606************')
(10:39:0.57186600, '1-611************')
(10:39:0.82604200, '1-615************')
(10:39:2.59088600, '1-627************')
(10:39:2.59088600, '1-628************')
(10:39:7.84985600, '1-677************')
(10:39:7.85282500, '1-678************')
(10:39:9.14882200, '1-690************')
(10:39:10.24063900, '1-703************')
(10:39:10.24063900, '1-702************')
(10:39:12.87153600, '1-727************')
(10:39:15.76848600, '1-739************')
(10:39:17.85002400, '1-755************')
(10:39:18.30067900, '1-761************')
(10:39:18.46484400, '1-765************')
(10:39:19.24207100, '1-769************')
(10:39:19.39548400, '1-771************')
(10:39:21.31646100, '1-783************')
(10:39:21.38046300, '1-784************')
(10:39:21.38144600, '1-785************')
(10:39:24.66331600, '1-808************')
(10:39:25.05472500, '1-810************')
(10:39:25.97406100, '1-817************')
(10:39:27.18337500, '1-826************')
