(14:58:5.63236200, '2-714************')
(14:58:5.63535100, '2-715************')
(14:58:5.75581700, '2-716************')
(14:58:6.03406200, '2-718************')
(14:58:6.89936300, '2-724************')
(14:58:7.26948700, '2-727************')
(14:58:7.42463000, '2-732************')
(14:58:7.42762200, '2-731************')
(14:58:8.14591900, '2-744************')
(14:58:8.33062800, '2-748************')
(14:58:8.39243000, '2-749************')
(14:58:8.69964100, '2-752************')
(14:58:9.17078400, '2-756************')
(14:58:9.17377500, '2-757************')
(14:58:9.33385300, '2-760************')
(14:58:9.70502900, '2-763************')
(14:58:9.70802100, '2-762************')
(14:58:9.99244800, '2-770************')
(14:58:10.27143800, '2-776************')
(14:58:10.27343300, '2-775************')
(14:58:10.79712300, '2-782************')
(14:58:11.10613300, '2-786************')
(14:58:11.10812800, '2-787************')
(14:58:12.17582900, '2-802************')
(14:58:12.26898200, '2-804************')
(14:58:12.27197300, '2-805************')
(14:58:12.82449100, '2-813************')
(14:58:13.10321300, '2-817************')
(14:58:13.10520900, '2-818************')
(14:58:13.51410200, '2-824************')
(14:58:13.51709600, '2-823************')
(14:58:14.54112400, '2-835************')
(14:58:14.66486400, '2-837************')
(14:58:14.66685700, '2-838************')
(14:58:14.88393500, '2-839************')
(14:58:15.47921100, '2-850************')
(14:58:15.54005100, '2-852************')
(14:58:15.75617700, '2-856************')
(14:58:16.49952000, '2-866************')
(14:58:16.99559400, '2-874************')
(14:58:17.05701100, '2-875************')
(14:58:17.06003900, '2-876************')
(14:58:17.78502900, '2-886************')
(14:58:18.01117800, '2-889************')
(14:58:18.01416900, '2-890************')
(14:58:18.10393300, '2-892************')
(14:58:18.31870300, '2-894************')
(14:58:18.47259000, '2-896************')
(14:58:18.56530900, '2-899************')
(14:58:18.75184300, '2-902************')
(14:58:20.59022700, '2-925************')
(14:58:21.17749000, '2-932************')
(14:58:21.18048300, '2-933************')
(14:58:21.27008800, '2-935************')
(14:58:21.62035900, '2-940************')
(14:58:21.62434800, '2-941************')
(14:58:21.68187500, '2-942************')
(14:58:22.09522500, '2-947************')
(14:58:22.21805400, '2-949************')
(14:58:22.31205200, '2-951************')
(14:58:22.31703500, '2-952************')
(14:58:22.43632500, '2-954************')
(14:58:22.56008000, '2-957************')
(14:58:22.56506400, '2-958************')
(14:58:22.77477700, '2-961************')
(14:58:22.89679900, '2-963************')
(14:58:23.05151700, '2-964************')
(14:58:23.36111900, '2-969************')
(14:58:23.48478800, '2-972************')
(14:58:23.48778000, '2-973************')
(14:58:23.57770900, '2-974************')
(14:58:24.77062400, '2-985************')
(14:58:24.89540000, '2-987************')
(14:58:24.89839200, '2-988************')
(14:58:24.95623800, '2-989************')
(14:58:25.39935700, '2-993************')
(14:58:25.61509700, '2-997************')
(14:58:25.61812200, '2-998************')
(14:58:25.96419100, '2-1003***********')
(14:58:25.96733900, '2-1004***********')
(14:58:26.05721800, '2-1006***********')
(14:58:26.24205900, '2-1007***********')
(14:58:26.49059300, '2-1010***********')
(14:58:26.49258900, '2-1011***********')
(14:58:26.55139800, '2-1012***********')
(14:58:26.55439000, '2-1013***********')
(14:58:26.64433600, '2-1015***********')
(14:58:26.73758100, '2-1017***********')
(14:58:27.01440200, '2-1021***********')
(14:58:27.19997300, '2-1024***********')
(14:58:27.80053600, '2-1031***********')
(14:58:27.80253100, '2-1032***********')
(14:58:27.95215100, '2-1034***********')
(14:58:27.95412500, '2-1035***********')
(14:58:28.16814300, '2-1037***********')
(14:58:28.70113300, '2-1040***********')
(14:58:29.10074400, '2-1044***********')
(14:58:29.41104500, '2-1051***********')
(14:58:29.59885900, '2-1055***********')
(14:58:29.60088000, '2-1056***********')
(14:58:29.72252600, '2-1059***********')
(14:58:29.72554700, '2-1060***********')
(14:58:29.84623400, '2-1064***********')
(14:58:29.84918300, '2-1063***********')
(14:58:30.25507700, '2-1071***********')
(14:58:30.25810200, '2-1072***********')
(14:58:31.06975800, '2-1082***********')
(14:58:31.07178600, '2-1083***********')
(14:58:31.25468700, '2-1086***********')
(14:58:31.25668300, '2-1087***********')
(14:58:31.31549100, '2-1089***********')
(14:58:31.37635100, '2-1090***********')
