('14:57:19.416364', '')
('14:57:19.509159', '')
('14:57:19.887963', '')
('14:57:19.918881', '')
('14:57:20.072437', '')
('14:57:20.103357', '')
('14:57:20.134304', '')
('14:57:20.165221', '')
('14:57:20.196298', '')
('14:57:20.289304', '')
('14:57:20.320187', '')
('14:57:20.351138', '')
('14:57:20.383053', '')
('14:57:20.414034', '')
('14:57:20.444037', '')
('14:57:20.537999', '')
('14:57:20.568081', '')
('14:57:20.599962', '')
('14:57:20.631051', '')
('14:57:20.662053', '')
('14:57:20.754142', '')
('14:57:20.786056', '')
('14:57:20.940012', '')
('14:57:20.970926', '')
('14:57:21.063959', '')
('14:57:21.094874', '')
('14:57:21.127755', '')
('14:57:21.156672', '')
('14:57:21.186876', '')
('14:57:21.218005', '')
('14:57:21.351207', '')
('14:57:21.444180', '')
('14:57:21.475089', '')
('14:57:21.506182', '')
('14:57:21.537211', '')
('14:57:21.569106', '')
('14:57:21.599269', '')
('14:57:21.630185', '')
('14:57:21.723209', '')
('14:57:21.754093', '')
('14:57:21.846945', '')
('14:57:21.877854', '')
('14:57:21.909213', '')
('14:57:21.940257', '')
('14:57:22.135090', '')
('14:57:22.166008', '')
('14:57:22.196925', '')
('14:57:22.227843', '')
('14:57:22.258761', '')
('14:57:22.352509', '')
('14:57:22.506534', '')
('14:57:22.660481', '')
('14:57:22.691740', '')
('14:57:22.825350', '')
('14:57:22.855439', '')
('14:57:23.192804', '')
('14:57:23.224007', '')
('14:57:23.254121', '')
('14:57:23.286325', '')
('14:57:23.316656', '')
('14:57:23.347540', '')
('14:57:23.378493', '')
('14:57:23.410397', '')
('14:57:23.503438', '')
('14:57:23.596223', '')
('14:57:23.628137', '')
('14:57:23.720853', '')
('14:57:23.751771', '')
('14:57:23.844744', '')
('14:57:23.876035', '')
('14:57:23.907034', '')
('14:57:24.163110', '')
('14:57:24.194317', '')
('14:57:24.225293', '')
('14:57:24.255877', '')
('14:57:24.410109', '')
('14:57:24.441027', '')
('14:57:24.471943', '')
('14:57:24.502825', '')
('14:57:24.534035', '')
('14:57:24.565397', '')
('14:57:24.719293', '')
('14:57:24.812069', '')
('14:57:24.904821', '')
('14:57:24.935896', '')
('14:57:25.069394', '')
('14:57:25.100308', '')
('14:57:25.457012', '')
('14:57:25.487900', '')
('14:57:25.519164', '')
('14:57:25.550170', '')
('14:57:25.581085', '')
('14:57:25.611970', '')
('14:57:25.704922', '')
('14:57:25.736025', '')
('14:57:25.766907', '')
('14:57:25.797860', '')
('14:57:25.828774', '')
('14:57:25.863651', '')
('14:57:25.890576', '')
('14:57:26.085155', '')
('14:57:26.116332', '')
('14:57:26.147249', '')
('14:57:26.178161', '')
('14:57:26.209303', '')
('14:57:26.362987', '')
('14:57:26.455735', '')
('14:57:26.486653', '')
('14:57:26.517537', '')
('14:57:26.548454', '')
('14:57:26.580412', '')
('14:57:26.611319', '')
('14:57:26.642236', '')
('14:57:26.856902', '')
('14:57:26.887817', '')
('14:57:26.918735', '')
('14:57:27.072681', '')
