('14:57:23.104933', b'S-dur: 61088\r\n', '')
('14:57:23.159810', b'S-dur: 61005\r\n', '')
('14:57:23.192804', b'B-dur: 31060; ssid: 1-104\r\n', '')
('14:57:23.224007', b'B-dur: 30955; ssid: 1-105\r\n', '')
('14:57:23.254121', b'B-dur: 30959; ssid: 1-106\r\n', '')
('14:57:23.286325', b'B-dur: 30959; ssid: 1-107\r\n', '')
('14:57:23.316656', b'B-dur: 30959; ssid: 1-108\r\n', '')
('14:57:23.347540', b'B-dur: 30959; ssid: 1-109\r\n', '')
('14:57:23.378493', b'B-dur: 30959; ssid: 1-110\r\n', '')
('14:57:23.410397', b'B-dur: 30959; ssid: 1-111\r\n', '')
('14:57:23.471524', b'D2-94*************************\r\n', '')
('14:57:23.472521', b'S-dur: 61519\r\n', '')
('14:57:23.503438', b'B-dur: 31413; ssid: 1-112\r\n', '')
('14:57:23.563311', b'S-dur: 61368\r\n', '')
('14:57:23.596223', b'B-dur: 31556; ssid: 1-113\r\n', '')
('14:57:23.628137', b'B-dur: 31955; ssid: 1-114\r\n', '')
('14:57:23.687977', b'S-dur: 61217\r\n', '')
('14:57:23.720853', b'B-dur: 31715; ssid: 1-115\r\n', '')
('14:57:23.751771', b'B-dur: 30957; ssid: 1-116\r\n', '')
('14:57:23.813293', b'D2-98*************************\r\n', '')
('14:57:23.815335', b'S-dur: 61453\r\n', '')
('14:57:23.844744', b'B-dur: 31479; ssid: 1-117\r\n', '')
('14:57:23.876035', b'B-dur: 30955; ssid: 1-118\r\n', '')
('14:57:23.907034', b'B-dur: 30959; ssid: 1-119\r\n', '')
('14:57:24.006023', b'N-dur: 100960\r\n', '')
('14:57:24.068363', b'S-dur: 61762\r\n', '')
('14:57:24.131195', b'D2-104************************\r\n', '')
('14:57:24.134187', b'D2-105************************\r\n', '')
('14:57:24.135184', b'S-dur: 61183\r\n', '')
('14:57:24.163110', b'B-dur: 31929; ssid: 1-120\r\n', '')
('14:57:24.194317', b'B-dur: 30924; ssid: 1-121\r\n', '')
('14:57:24.225293', b'B-dur: 30959; ssid: 1-122\r\n', '')
('14:57:24.255877', b'B-dur: 30959; ssid: 1-123\r\n', '')
('14:57:24.316349', b'S-dur: 61123\r\n', '')
('14:57:24.377196', b'S-dur: 61087\r\n', '')
('14:57:24.410109', b'B-dur: 31695; ssid: 1-124\r\n', '')
('14:57:24.441027', b'B-dur: 30955; ssid: 1-125\r\n', '')
('14:57:24.471943', b'B-dur: 30959; ssid: 1-126\r\n', '')
('14:57:24.502825', b'B-dur: 30959; ssid: 1-127\r\n', '')
('14:57:24.534035', b'B-dur: 30959; ssid: 1-128\r\n', '')
('14:57:24.565397', b'B-dur: 30959; ssid: 1-129\r\n', '')
('14:57:24.626450', b'D2-114************************\r\n', '')
('14:57:24.629441', b'D2-115************************\r\n', '')
('14:57:24.630438', b'S-dur: 61518\r\n', '')
('14:57:24.688403', b'D2-116************************\r\n', '')
('14:57:24.689397', b'S-dur: 61187\r\n', '')
('14:57:24.719293', b'B-dur: 31201; ssid: 1-130\r\n', '')
('14:57:24.779124', b'S-dur: 61563\r\n', '')
('14:57:24.812069', b'B-dur: 31362; ssid: 1-131\r\n', '')
('14:57:24.871909', b'S-dur: 61396\r\n', '')
('14:57:24.904821', b'B-dur: 31532; ssid: 1-132\r\n', '')
('14:57:24.935896', b'B-dur: 30955; ssid: 1-133\r\n', '')
('14:57:25.036109', b'N-dur: 101959\r\n', '')
('14:57:25.069394', b'B-dur: 30963; ssid: 1-134\r\n', '')
('14:57:25.100308', b'B-dur: 30923; ssid: 1-135\r\n', '')
('14:57:25.160144', b'S-dur: 61586\r\n', '')
('14:57:25.221012', b'S-dur: 60892\r\n', '')
('14:57:25.322373', b'N-dur: 101429\r\n', '')
('14:57:25.424102', b'N-dur: 100961\r\n', '')
('14:57:25.457012', b'B-dur: 31968; ssid: 1-136\r\n', '')
('14:57:25.487900', b'B-dur: 30928; ssid: 1-137\r\n', '')
('14:57:25.519164', b'B-dur: 30959; ssid: 1-138\r\n', '')
('14:57:25.550170', b'B-dur: 30959; ssid: 1-139\r\n', '')
('14:57:25.581085', b'B-dur: 30959; ssid: 1-140\r\n', '')
('14:57:25.611970', b'B-dur: 30959; ssid: 1-141\r\n', '')
('14:57:25.671978', b'S-dur: 61593\r\n', '')
('14:57:25.704922', b'B-dur: 31335; ssid: 1-142\r\n', '')
('14:57:25.736025', b'B-dur: 30955; ssid: 1-143\r\n', '')
('14:57:25.766907', b'B-dur: 30959; ssid: 1-144\r\n', '')
('14:57:25.797860', b'B-dur: 30959; ssid: 1-145\r\n', '')
('14:57:25.828774', b'B-dur: 30959; ssid: 1-146\r\n', '')
('14:57:25.863651', b'B-dur: 30959; ssid: 1-147\r\n', '')
('14:57:25.890576', b'B-dur: 30959; ssid: 1-148\r\n', '')
('14:57:25.951422', b'S-dur: 61052\r\n', '')
('14:57:26.052174', b'N-dur: 100880\r\n', '')
('14:57:26.085155', b'B-dur: 31963; ssid: 1-149\r\n', '')
('14:57:26.116332', b'B-dur: 30923; ssid: 1-150\r\n', '')
('14:57:26.147249', b'B-dur: 30959; ssid: 1-151\r\n', '')
('14:57:26.178161', b'B-dur: 30959; ssid: 1-152\r\n', '')
('14:57:26.209303', b'B-dur: 30959; ssid: 1-153\r\n', '')
('14:57:26.269201', b'S-dur: 61353\r\n', '')
('14:57:26.332066', b'D2-141************************\r\n', '')
('14:57:26.333063', b'S-dur: 61104\r\n', '')
('14:57:26.362987', b'B-dur: 31448; ssid: 1-154\r\n', '')
('14:57:26.424819', b'D2-143************************\r\n', '')
('14:57:26.425815', b'S-dur: 61464\r\n', '')
('14:57:26.455735', b'B-dur: 31459; ssid: 1-155\r\n', '')
('14:57:26.486653', b'B-dur: 30955; ssid: 1-156\r\n', '')
('14:57:26.517537', b'B-dur: 30959; ssid: 1-157\r\n', '')
('14:57:26.548454', b'B-dur: 30959; ssid: 1-158\r\n', '')
('14:57:26.580412', b'B-dur: 30964; ssid: 1-159\r\n', '')
('14:57:26.611319', b'B-dur: 30958; ssid: 1-160\r\n', '')
('14:57:26.642236', b'B-dur: 30954; ssid: 1-161\r\n', '')
('14:57:26.702060', b'S-dur: 61390\r\n', '')
('14:57:26.762914', b'S-dur: 60772\r\n', '')
('14:57:26.823988', b'S-dur: 61082\r\n', '')
('14:57:26.856902', b'B-dur: 31638; ssid: 1-162\r\n', '')
('14:57:26.887817', b'B-dur: 30955; ssid: 1-163\r\n', '')
('14:57:26.918735', b'B-dur: 30959; ssid: 1-164\r\n', '')
('14:57:26.978540', b'S-dur: 61087\r\n', '')
('14:57:27.040410', b'S-dur: 61092\r\n', '')
('14:57:27.072681', b'B-dur: 31727; ssid: 1-165\r\n', '')
('14:57:27.103685', b'B-dur: 30955; ssid: 1-166\r\n', '')
('14:57:27.165519', b'D2-155************************\r\n', '')
('14:57:27.166517', b'S-dur: 61381\r\n', '')
('14:57:27.226723', b'D2-156************************\r\n', '')
('14:57:27.227719', b'S-dur: 61112\r\n', '')
('14:57:27.257640', b'B-dur: 31414; ssid: 1-167\r\n', '')
('14:57:27.318443', b'S-dur: 61366\r\n', '')
('14:57:27.351439', b'B-dur: 31558; ssid: 1-168\r\n', '')
('14:57:27.450404', b'N-dur: 100955\r\n', '')
('14:57:27.484284', b'B-dur: 30963; ssid: 1-169\r\n', '')
('14:57:27.514425', b'B-dur: 30923; ssid: 1-170\r\n', '')
('14:57:27.545318', b'B-dur: 30959; ssid: 1-171\r\n', '')
('14:57:27.578396', b'B-dur: 30959; ssid: 1-172\r\n', '')
('14:57:27.609343', b'B-dur: 30959; ssid: 1-173\r\n', '')
('14:57:27.641205', b'B-dur: 30959; ssid: 1-174\r\n', '')
('14:57:27.700351', b'D2-163************************\r\n', '')
('14:57:27.701346', b'S-dur: 61591\r\n', '')
('14:57:27.764686', b'D2-165************************\r\n', '')
('14:57:27.766679', b'D2-166************************\r\n', '')
('14:57:27.767676', b'S-dur: 61221\r\n', '')
('14:57:27.794690', b'B-dur: 31095; ssid: 1-175\r\n', '')
('14:57:27.825609', b'B-dur: 30955; ssid: 1-176\r\n', '')
('14:57:27.854526', b'B-dur: 30959; ssid: 1-177\r\n', '')
('14:57:27.885443', b'B-dur: 30959; ssid: 1-178\r\n', '')
('14:57:27.918357', b'B-dur: 30959; ssid: 1-179\r\n', '')
('14:57:27.949277', b'B-dur: 30959; ssid: 1-180\r\n', '')
('14:57:28.008119', b'S-dur: 61149\r\n', '')
('14:57:28.109360', b'N-dur: 101780\r\n', '')
('14:57:28.142454', b'B-dur: 31963; ssid: 1-181\r\n', '')
('14:57:28.173377', b'B-dur: 30923; ssid: 1-182\r\n', '')
('14:57:28.204363', b'B-dur: 30959; ssid: 1-183\r\n', '')
('14:57:28.237297', b'B-dur: 30959; ssid: 1-184\r\n', '')
('14:57:28.266309', b'B-dur: 30959; ssid: 1-185\r\n', '')
('14:57:28.328184', b'D2-177************************\r\n', '')
('14:57:28.329181', b'S-dur: 61582\r\n', '')
('14:57:28.359064', b'B-dur: 31351; ssid: 1-186\r\n', '')
('14:57:28.390304', b'B-dur: 30955; ssid: 1-187\r\n', '')
('14:57:28.421338', b'B-dur: 30959; ssid: 1-188\r\n', '')
('14:57:28.452228', b'B-dur: 30959; ssid: 1-189\r\n', '')
('14:57:28.483361', b'B-dur: 30959; ssid: 1-190\r\n', '')
('14:57:28.513857', b'B-dur: 30959; ssid: 1-191\r\n', '')
('14:57:28.545091', b'B-dur: 30964; ssid: 1-192\r\n', '')
('14:57:28.576175', b'B-dur: 30954; ssid: 1-193\r\n', '')
('14:57:28.608093', b'B-dur: 30959; ssid: 1-194\r\n', '')
('14:57:28.638007', b'B-dur: 30959; ssid: 1-195\r\n', '')
('14:57:28.668956', b'B-dur: 30959; ssid: 1-196\r\n', '')
('14:57:28.700035', b'B-dur: 30959; ssid: 1-197\r\n', '')
('14:57:28.731282', b'B-dur: 30959; ssid: 1-198\r\n', '')
