('14:57:23.398407', b'S-dur: 61751\r\n', '')
('14:57:23.421427', b'B-dur: 31181; ssid: 2-93\r\n', '')
('14:57:23.452577', b'B-dur: 30954; ssid: 2-94\r\n', '')
('14:57:23.512418', b'S-dur: 61424\r\n', '')
('14:57:23.614146', b'N-dur: 101509\r\n', '')
('14:57:23.675980', b'S-dur: 61829\r\n', '')
('14:57:23.708890', b'B-dur: 31100; ssid: 2-95\r\n', '')
('14:57:23.739807', b'B-dur: 30932; ssid: 2-96\r\n', '')
('14:57:23.769724', b'B-dur: 30959; ssid: 2-97\r\n', '')
('14:57:23.800720', b'B-dur: 30959; ssid: 2-98\r\n', '')
('14:57:23.831490', b'B-dur: 30959; ssid: 2-99\r\n', '')
('14:57:23.862908', b'B-dur: 30959; ssid: 2-100\r\n', '')
('14:57:23.895036', b'B-dur: 30958; ssid: 2-101\r\n', '')
('14:57:23.954909', b'S-dur: 61723\r\n', '')
('14:57:23.987784', b'B-dur: 31204; ssid: 2-102\r\n', '')
('14:57:24.047391', b'S-dur: 61221\r\n', '')
('14:57:24.081299', b'B-dur: 31708; ssid: 2-103\r\n', '')
('14:57:24.112214', b'B-dur: 30956; ssid: 2-104\r\n', '')
('14:57:24.143132', b'B-dur: 30958; ssid: 2-105\r\n', '')
('14:57:24.173048', b'B-dur: 30958; ssid: 2-106\r\n', '')
('14:57:24.204298', b'B-dur: 30958; ssid: 2-107\r\n', '')
('14:57:24.235463', b'B-dur: 30958; ssid: 2-108\r\n', '')
('14:57:24.267076', b'B-dur: 30958; ssid: 2-109\r\n', '')
('14:57:24.326304', b'S-dur: 61440\r\n', '')
('14:57:24.388138', b'S-dur: 61651\r\n', '')
('14:57:24.448992', b'S-dur: 61355\r\n', '')
('14:57:24.482883', b'B-dur: 31436; ssid: 2-110\r\n', '')
('14:57:24.512971', b'B-dur: 30956; ssid: 2-111\r\n', '')
('14:57:24.544181', b'B-dur: 30958; ssid: 2-112\r\n', '')
('14:57:24.575476', b'B-dur: 30958; ssid: 2-113\r\n', '')
('14:57:24.606498', b'B-dur: 30958; ssid: 2-114\r\n', '')
('14:57:24.637537', b'B-dur: 30958; ssid: 2-115\r\n', '')
('14:57:24.668425', b'B-dur: 30958; ssid: 2-116\r\n', '')
('14:57:24.728265', b'S-dur: 61457\r\n', '')
('14:57:24.790099', b'S-dur: 61583\r\n', '')
('14:57:24.823009', b'B-dur: 30865; ssid: 2-117\r\n', '')
('14:57:24.853926', b'B-dur: 30956; ssid: 2-118\r\n', '')
('14:57:24.952821', b'N-dur: 100959\r\n', '')
('14:57:24.986897', b'B-dur: 31963; ssid: 2-119\r\n', '')
('14:57:25.016981', b'B-dur: 30922; ssid: 2-120\r\n', '')
('14:57:25.081330', b'D1-134************************\r\n', '')
('14:57:25.082326', b'S-dur: 61818\r\n', '')
('14:57:25.111249', b'B-dur: 31111; ssid: 2-121\r\n', '')
('14:57:25.170085', b'S-dur: 61646\r\n', '')
('14:57:25.231360', b'S-dur: 61233\r\n', '')
('14:57:25.293421', b'S-dur: 61172\r\n', '')
('14:57:25.326332', b'B-dur: 30826; ssid: 2-122\r\n', '')
('14:57:25.357248', b'B-dur: 30956; ssid: 2-123\r\n', '')
('14:57:25.388165', b'B-dur: 30958; ssid: 2-124\r\n', '')
