(21:25:31.76453000, '2-6**************')
(21:25:32.37032000, '2-19*************')
(21:25:33.62944100, '2-28*************')
(21:25:34.82028300, '2-37*************')
(21:25:36.13646600, '2-52*************')
(21:25:36.13945800, '2-53*************')
(21:25:36.77324300, '2-58*************')
(21:25:36.77623300, '2-59*************')
(21:25:37.11539700, '2-63*************')
(21:25:37.17723100, '2-64*************')
(21:25:37.18022300, '2-65*************')
(21:25:37.43451700, '2-68*************')
(21:25:37.43753900, '2-69*************')
(21:25:38.48232200, '2-78*************')
(21:25:40.46338900, '2-101************')
(21:25:42.33635600, '2-125************')
(21:25:42.33835500, '2-126************')
(21:25:43.56561100, '2-138************')
(21:25:43.78186900, '2-142************')
(21:25:44.66605700, '2-153************')
(21:25:44.66904900, '2-154************')
(21:25:45.07846200, '2-158************')
(21:25:45.42903600, '2-163************')
(21:25:45.43203100, '2-164************')
(21:25:45.58214500, '2-166************')
(21:25:45.58521400, '2-167************')
(21:25:45.67542500, '2-170************')
(21:25:47.40854600, '2-196************')
(21:25:47.81164200, '2-201************')
(21:25:47.93474600, '2-203************')
(21:25:48.47046200, '2-209************')
(21:25:49.00663000, '2-213************')
(21:25:49.59952300, '2-219************')
(21:25:50.18841500, '2-227************')
(21:25:50.97124300, '2-237************')
(21:25:50.97426300, '2-238************')
(21:25:51.27963800, '2-241************')
(21:25:53.29479000, '2-261************')
(21:25:53.95578100, '2-270************')
(21:25:54.01658300, '2-271************')
(21:25:54.73894600, '2-280************')
(21:25:55.46278600, '2-287************')
(21:25:55.46574500, '2-288************')
(21:25:55.86645200, '2-293************')
(21:25:56.17778500, '2-295************')
(21:25:57.39182900, '2-304************')
(21:25:57.91481300, '2-314************')
(21:25:58.03792200, '2-317************')
(21:25:59.85728700, '2-329************')
(21:25:59.91923000, '2-330************')
(21:26:0.19789300, '2-336************')
(21:26:1.62241100, '2-355************')
(21:26:4.49328000, '2-382************')
(21:26:6.49428200, '2-403************')
(21:26:8.18879600, '2-424************')
(21:26:8.80891900, '2-430************')
(21:26:9.35513600, '2-436************')
(21:26:9.63186400, '2-439************')
(21:26:9.69369600, '2-440************')
(21:26:12.81498200, '2-476************')
(21:26:13.00946300, '2-478************')
(21:26:13.01242100, '2-479************')
(21:26:13.59795600, '2-488************')
(21:26:16.66619200, '2-519************')
(21:26:18.74155600, '2-545************')
(21:26:22.99205200, '2-588************')
(21:26:23.80567100, '2-597************')
(21:26:23.86747600, '2-598************')
(21:26:23.87049700, '2-599************')
(21:26:23.93000900, '2-600************')
(21:26:23.93296800, '2-601************')
(21:26:24.14724500, '2-603************')
(21:26:24.40383700, '2-605************')
(21:26:24.40682800, '2-606************')
(21:26:25.65478500, '2-620************')
(21:26:26.46337700, '2-629************')
(21:26:26.94459200, '2-633************')
(21:26:27.17130500, '2-637************')
(21:26:27.48985300, '2-639************')
(21:26:27.49281900, '2-640************')
(21:26:27.65298600, '2-643************')
(21:26:28.00250100, '2-649************')
(21:26:28.00549300, '2-650************')
(21:26:28.90941600, '2-660************')
(21:26:29.63981200, '2-665************')
(21:26:29.64280900, '2-666************')
(21:26:29.70164900, '2-668************')
(21:26:30.97130200, '2-686************')
(21:26:34.58211400, '2-714************')
(21:26:34.79946400, '2-717************')
(21:26:34.80348700, '2-718************')
(21:26:36.22824000, '2-731************')
(21:26:36.48462100, '2-736************')
(21:26:37.79215400, '2-750************')
(21:26:37.79514600, '2-751************')
(21:26:37.94696100, '2-753************')
(21:26:38.32854200, '2-758************')
(21:26:38.33153500, '2-757************')
(21:26:38.42190700, '2-760************')
(21:26:39.31871000, '2-767************')
(21:26:39.32173100, '2-768************')
(21:26:40.23848500, '2-778************')
(21:26:41.01401700, '2-788************')
(21:26:41.07489400, '2-789************')
(21:26:42.10539600, '2-799************')
(21:26:42.90706800, '2-807************')
